index,epsilon,pvalue,gene,product
NTC_1373,1.8393183333333332,0.016430203183185332,NTC,3.2820006644370308
NTC_766,1.4009183333333333,0.006352563378665696,NTC,3.0778890158643684
DUSP11,1.8307116666666665,0.02179881233027961,DUSP11,3.041850398524149
NTC_1293,1.8360443333333332,0.02238386699491396,NTC,3.0295922788452954
NTC_736,1.5368049999999998,0.011369503929409074,NTC,2.9879461593469223
KRT12,1.7982653333333332,0.022907900888265543,KRT12,2.949181589336612
NTC_1651,1.5673483333333331,0.013694665289556136,NTC,2.9206730227363735
LIMK1,1.9361183333333332,0.03175076840440452,LIMK1,2.900781083442993
PKM,2.0853316666666664,0.04159828116140968,PKM,2.8796858269070116
NTC_383,1.5634683333333332,0.016430203183185332,NTC,2.7897857678213707
GABRD,1.6761288333333333,0.022907900888265543,GABRD,2.748875933375194
PDE1B,1.9161613333333332,0.04207573632538569,PDE1B,2.636577204701689
SEC14L2,2.2780183333333337,0.07076780758556891,SEC14L2,2.620095267890445
NTC_496,1.3407216666666666,0.01248422559922078,NTC,2.5522492375352157
NTC_655,1.869195,0.045126935839927856,NTC,2.515121789714311
GIT1,1.8875063333333333,0.04675081813931744,GIT1,2.5107812805470613
NTC_1447,1.6744316666666665,0.03272957398220172,NTC,2.4866309007639846
NTC_1935,1.5060516666666666,0.02238386699491396,NTC,2.4850829677907678
UCKL1,1.609848333333333,0.03175076840440452,UCKL1,2.4119484393837305
NTC_83,1.253645,0.011915311170832561,NTC,2.4118808602070785
CCL8,1.7624403333333332,0.043478260869565216,CCL8,2.3999640612201247
NTC_1359,1.2617949999999998,0.013077064263405883,NTC,2.3765779390627313
NTC_1828,2.461565,0.11155718335859915,NTC,2.3446467167493976
CHEK2,1.8093193333333333,0.05329593267882187,CHEK2,2.303817042250228
SRPK1,1.6544028333333332,0.04207573632538569,SRPK1,2.2764058129554963
PANK2,2.0009723333333334,0.0729312762973352,PANK2,2.2752779992358647
RIPK4,2.2955416666666664,0.10602488735042226,RIPK4,2.2372169578821564
