index,epsilon,pvalue,gene,product
PPAP2A,-3.360081666666667,0.043478260869565216,PPAP2A,-4.575516736792387
ENPP1,-2.658481666666667,0.014025245441795231,ENPP1,-4.926404541803137
TYR,-2.2253316666666665,0.002805049088359046,TYR,-5.6791788966468815
GUCY2C,-3.751381666666666,0.021739130434782608,GUCY2C,-6.237639245876675
CD247,-2.5849149999999996,0.0030437766703470506,CD247,-6.505164043512981
F2,-3.9376816666666663,0.021739130434782608,F2,-6.547411029918953
GABRE,-4.632481666666666,0.021739130434782608,GABRE,-7.70269517137131
GSK3B,-5.164681666666667,0.021739130434782608,GSK3B,-8.587614889392245
