	differentiation	differentiation	differentiation	differentiation	lower	lower	lower	lower	upper	upper	upper	upper	upper_vs_lower	upper_vs_lower	upper_vs_lower	upper_vs_lower
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1
	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
AKAP9	0.4061698612539234	-1.7185092934886248	5	5	0.11040838292991145	0.35550932341259384	4	4	0.08010119535434986	-7.867908296088049	4	4	0.9374795878480127	-3.750395881696722	3	3
AKR1A1	0.8973955651911534	-4.550937947736475	4	4	0.30136537035113253	15.170861195859587	4	4	0.3779046906395127	4.227701872470024	4	4	0.7306965808687735	-9.371899849009798	4	4
AKR1B1	0.09479309294442109	1.3082224075969628	5	5	0.8185719710363678	8.8100461080766	5	5	0.2534258663688873	-4.527331206150866	5	5	0.49476133145231505	-7.746357787261654	4	4
AKR1B10	0.358743306317734	-1.0829225775406515	5	5	0.4152680050824561	1.998252092552736	3	3	0.7438608628845441	0.41172313274542266	4	4	0.17387155307239188	-3.26036127873342	4	4
AKT1	0.3002102762864932	-9.08767665557128	5	5	0.39603335649140736	-1.0834158156821987	2	2	0.3562349293256273	1.3965780747570349	2	2	0.1030180418608657	4.050860094513356	2	2
AKT2	0.590429892473969	-5.354474093401978	5	5	0.29862271666339757	1.5547780999278427	3	3	0.6779242354008781	3.8932822149474524	5	5	0.16582651897716705	0.5373095533003278	3	3
AKT3	0.24587584740573665	-1.128549312981282	5	5	0.3440613873543157	2.331112178983874	4	4	0.9808849433081536	-1.383533843606412	5	5	0.9774922380570643	-1.0119784426648994	4	4
ALAS1	0.5236253349324279	-5.601162203234623	5	5	0.7830870879699032	5.631997772765721	3	3	0.9964287148841453	-2.4618660660722544	4	4	0.6379060901010708	-6.783840720511314	3	3
ALAS2	0.32403221939848137	-4.3544045398163975	5	5	0.7231833113381831	8.432181205890211	4	4	0.9421699813262454	-0.07770241269635386	3	3	0.73919931021022	-7.131147599703842	4	4
ALDH18A1	0.8348846954256501	-4.924404532863357	5	5	0.04404672135171795	13.473748020222567	4	4	0.5547179011671135	-3.1588374074655445	3	3	0.01919695610496733	-14.941607547800814	4	4
ALDH1A2	0.358743306317734	0.5501862112595916	5	5	0.9344627775767147	5.778546125111178	5	5	0.9808849433081536	-3.0793923678960504	5	5	0.9235806701215031	-4.2520734398406	4	4
ALDH1B1	0.33017502771952645	-6.652838941988826	5	5	0.2857571729865991	10.38323410586939	4	4	0.4822269826599105	1.0030707909042043	4	4	0.35183790419360206	-8.003988659119566	4	4
ALDH1L1	0.11761514055512526	-1.29680573355382	5	5	0.12873349737007467	12.013074513781973	5	5	0.8983200688437224	2.893411058907747	5	5	0.15307664793370834	-8.108004836697152	5	5
ALDH3A1	0.4312245790918473	-2.081790039887905	5	5	0.6495149198167876	12.491886631136628	5	5	0.3883900652951122	-2.1981959552422925	5	5	0.07981101478978106	-13.10811223835222	3	3
ALDH3A2	0.8155056255135527	-3.2091730232591544	5	5	0.5474491261756043	9.561959830930208	5	5	0.20848437699439026	-9.2825068408573	4	4	0.3533121947871367	-9.929371637586424	3	3
