	Diff	Lower	T0	Upper
	Rep1	Rep1	Rep1	Rep1
sgId				
CUBN_-_17171723.23-P1P2	0	0	150	0
CUTA_+_33385267.23-P1P2	3	5	2459	3693
CUTA_+_33385646.23-P1P2	6	4406	2561	774
CUTA_+_33385660.23-P1P2	2308	2	1123	0
CUTA_-_33385272.23-P1P2	1148	1	444	0
CUTA_-_33385302.23-P1P2	2	2	251	1827
CXCL10_-_76944225.23-P1P2	3714	0	758	4
CXCL10_-_76944230.23-P1P2	2866	5	289	5
CXCL10_-_76944597.23-P1P2	3064	3	947	2
CXCL10_-_76944615.23-P1P2	4664	5332	1574	2084
CXCL10_-_76944661.23-P1P2	1686	1	363	0
CXCR1_+_219031625.23-P1P2	8329	3	2942	2
CXCR1_+_219031652.23-P1P2	3	0	861	1146
CXCR1_-_219031618.23-P1P2	1715	0	776	0
CXCR1_-_219031621.23-P1P2	4	5072	937	2
CXCR1_-_219031662.23-P1P2	1569	1	645	1725
CYB5A_+_71959106.23-P1P2	0	0	615	1500
CYB5A_+_71959187.23-P1P2	1584	1	1019	1
CYB5A_-_71958867.23-P1P2	4229	2	1833	0
CYB5A_-_71959191.23-P1P2	2	2	1669	3883
CYB5A_-_71959222.23-P1P2	3137	6021	1598	1286
CYB5B_-_69458558.23-P1P2	0	0	89	0
CYB5B_-_69458581.23-P1P2	2126	2	1082	2745
CYB5B_-_69458593.23-P1P2	1583	0	427	1
CYB5B_-_69458601.23-P1P2	1099	2	775	0
CYB5B_-_69458620.23-P1P2	1	0	151	651
CYB5R1_+_202936351.23-P1P2	3234	1836	2691	1517
CYB5R1_+_202936354.23-P1P2	1231	0	657	1777
CYB5R1_-_202935961.23-P1P2	2	1	1459	0
CYB5R1_-_202936137.23-P1P2	0	0	854	0
CYB5R1_-_202936337.23-P1P2	5389	2	708	3
CYC1_+_145150397.23-P1P2	2	0	440	0
CYC1_-_145149982.23-P1P2	0	0	0	0
CYC1_-_145150131.23-P1P2	1445	0	557	1
CYC1_-_145150142.23-P1P2	4	5584	317	3
CYC1_-_145150183.23-P1P2	920	2527	1475	2
CYGB_+_74533350.23-P1P2	2047	2	2327	2637
CYGB_+_74533414.23-P1P2	1	2	1011	1490
CYGB_+_74533557.23-P1P2	1652	0	2324	3
CYGB_-_74533364.23-P1P2	4367	5586	3947	567
CYGB_-_74533754.23-P1P2	2072	1	1376	1891
CYP2C18_+_96443542.23-P1P2	0	0	0	0
CYP2C18_+_96443673.23-P1P2	0	0	111	0
CYP2C18_+_96443678.23-P1P2	2	0	470	2510
CYP2C18_-_96443514.23-P1P2	0	0	451	2448
CYP2C18_-_96443670.23-P1P2	5	1	547	3402
CYP2C8_+_96829014.23-P1P2	3	3045	752	736
CYP2C8_+_96829078.23-P1P2	2	5766	1636	3
CYP2C8_-_96828869.23-P1P2	2	1	99	1733
CYP2C8_-_96828981.23-P1P2	1483	0	417	1
CYP2C8_-_96829141.23-P1P2	0	0	226	0
CYP2C9_+_96698676.23-P1P2	0	0	91	0
CYP2C9_+_96698778.23-P1P2	1	0	604	0
CYP2C9_-_96698454.23-P1P2	1341	1	517	2
CYP2C9_-_96698706.23-P1P2	3	0	1565	0
CYP2C9_-_96698919.23-P1P2	1	0	449	926
CYP2D6_+_42526470.23-P1P2	0	0	196	0
CYP2D6_+_42526787.23-P1P2	4	0	1024	1793
CYP2D6_+_42526794.23-P1P2	3863	3121	2361	2012
CYP2D6_-_42526481.23-P1P2	0	0	325	0
CYP2D6_-_42526814.23-P1P2	3716	5634	1598	3
CYP3A5_+_99277143.23-P1P2	7	5180	797	1957
CYP3A5_+_99277149.23-P1P2	1	0	459	0
CYP3A5_+_99277556.23-P1P2	3097	1371	1808	18
CYP3A5_+_99277628.23-P1P2	4	2	966	1777
CYP3A5_-_99277257.23-P1P2	590	0	602	0
CYP4A11_+_47406643.23-P1P2	3	5477	1582	1602
CYP4A11_+_47406647.23-P1P2	1	2706	474	1
CYP4A11_+_47406982.23-P1P2	0	0	513	0
CYP4A11_+_47407055.23-P1P2	195	1	1333	1025
CYP4A11_+_47407154.23-P1P2	1125	0	1297	0
CYSLTR1_+_77582557.23-P1P2	1	0	915	1
CYSLTR1_+_77582570.23-P1P2	1	0	1031	0
CYSLTR1_+_77583083.23-P1P2	0	0	109	0
CYSLTR1_-_77582695.23-P1P2	0	0	478	0
CYSLTR1_-_77583040.23-P1P2	0	0	192	0
CYSLTR2_+_49281226.23-ENST00000282018.3	2405	5659	335	539
CYSLTR2_+_49281378.23-ENST00000282018.3	1182	2	2236	2844
CYSLTR2_+_49281416.23-ENST00000282018.3	0	0	89	0
CYSLTR2_+_49281423.23-ENST00000282018.3	0	0	0	0
CYSLTR2_-_49281431.23-ENST00000282018.3	677	0	1212	0
CYTH2_+_48972662.23-P1P2	3784	12	2121	2014
CYTH2_-_48972593.23-P1P2	2	5933	700	2
CYTH2_-_48972650.23-P1P2	0	0	1518	1
CYTH2_-_48972707.23-P1P2	1463	0	873	338
CYTH2_-_48973064.23-P1P2	460	2	1358	1274
CYTH3_+_6311871.23-P1P2	6232	4499	1821	1470
CYTH3_+_6311923.23-P1P2	0	1	1371	0
CYTH3_+_6311994.23-P1P2	0	0	0	0
CYTH3_-_6312213.23-P1P2	4	5663	1870	1250
CYTH3_-_6312231.23-P1P2	1214	4975	1908	1719
DAO_+_109273872.23-P1P2	1728	1	2494	3552
DAO_+_109273913.23-P1P2	1	1	278	1632
DAO_+_109273929.23-P1P2	1077	4	876	1749
DAO_-_109273923.23-P1P2	0	0	0	0
DAO_-_109274296.23-P1P2	2361	0	1673	0
DAPK1_+_90112820.23-P1P2	1618	0	575	0
DAPK1_+_90112838.23-P1P2	10	8099	2730	5377
DAPK1_-_90112796.23-P1P2	1365	2	1544	1829
DAPK1_-_90112825.23-P1P2	761	5979	3125	2313
DAPK1_-_90112867.23-P1P2	4514	6520	4037	2
DAPK2_+_64338238.23-P1P2	1323	1	1302	1832
DAPK2_+_64338395.23-P1P2	2756	2616	1227	2
DAPK2_-_64338287.23-P1P2	4860	3	1850	2044
DAPK2_-_64338497.23-P1P2	2925	3364	2123	2
DAPK2_-_64338687.23-P1P2	1985	3	1189	2049
DAPK3_+_3970693.23-P1P2	1133	1	902	0
DAPK3_+_3971008.23-P1P2	2	2	849	23
DAPK3_+_3971028.23-P1P2	1187	2139	817	6038
DAPK3_-_3971041.23-P1P2	1	0	1989	1
DAPK3_-_3971045.23-P1P2	1	1	2317	1260
DAPP1_+_100738030.23-P1P2	4	1	830	2008
DAPP1_+_100738052.23-P1P2	762	4	1492	1598
DAPP1_-_100737993.23-P1P2	934	4	930	2687
DAPP1_-_100738017.23-P1P2	1576	1	845	0
DAPP1_-_100738024.23-P1P2	16	11739	1561	7
DARS2_+_173793647.23-P1P2	0	1	284	0
DARS2_+_173793665.23-P1P2	0	0	238	0
DARS2_+_173793774.23-P1P2	1634	0	159	0
DARS2_-_173793815.23-P1P2	1	0	544	0
DARS2_-_173793832.23-P1P2	1	2	442	758
DARS_+_136743129.23-P1P2	1404	1	1277	0
DARS_-_136743091.23-P1P2	3833	2	2511	0
DARS_-_136743104.23-P1P2	0	0	0	0
DARS_-_136743145.23-P1P2	2862	9338	856	3
DARS_-_136743164.23-P1P2	0	0	0	0
DBF4_+_87505817.23-P1P2	3642	1	1998	1
DBF4_+_87505826.23-P1P2	642	0	406	0
DBF4_+_87506208.23-P1P2	778	0	1627	2
DBF4_+_87506231.23-P1P2	0	1	735	1
DBF4_-_87505724.23-P1P2	7	3	946	3613
DBH_+_136501496.23-P1P2	1230	0	1230	1
DBH_+_136501500.23-P1P2	973	6413	1763	4806
DBH_+_136501863.23-P1P2	0	2	473	929
DBH_+_136501907.23-P1P2	1425	2	119	1763
DBH_-_136501544.23-P1P2	2854	1	1245	3
DBI_+_120124588.23-P1	1529	0	327	0
DBI_+_120124600.23-P1	1084	2219	950	5759
DBI_-_120124984.23-P1	0	0	409	0
DBI_-_120124997.23-P1	2994	2889	2166	1367
DBI_-_120125000.23-P1	2549	1	1918	1132
DBI_-_120125823.23-P2	5	5899	1464	2
DBI_-_120125842.23-P2	1534	0	2032	2780
DBI_-_120125881.23-P2	3	2950	134	1015
DBI_-_120126220.23-P2	3	4494	1097	0
DBI_-_120126235.23-P2	960	0	330	246
DCD_-_55041665.23-P1P2	1	2	586	1818
DCD_-_55041682.23-P1P2	1138	0	1839	2
DCD_-_55041698.23-P1P2	1	3	523	1838
DCD_-_55041900.23-P1P2	2262	4	455	1200
DCD_-_55042144.23-P1P2	0	0	126	0
DCK_+_71859153.23-P1P2	1682	2	1145	0
DCK_+_71859234.23-P1P2	0	1	463	1
DCK_+_71859804.23-P1P2	1635	1	1827	5165
DCK_-_71859323.23-P1P2	5817	3	2294	5230
DCK_-_71859688.23-P1P2	2226	1610	2472	2
DCLK1_+_36705061.23-ENST00000255448.4	2	4142	989	2
DCLK1_+_36705267.23-ENST00000255448.4	2	0	1550	0
DCLK1_+_36705270.23-ENST00000255448.4	3325	4	1921	0
DCLK1_+_36705492.23-ENST00000255448.4	616	2	349	0
DCLK1_-_36705511.23-ENST00000255448.4	0	0	720	1
DCLK2_+_151000068.23-P1P2	57	3	1884	5632
DCLK2_-_150999587.23-P1P2	2962	0	2110	3067
DCLK2_-_150999592.23-P1P2	5	1	983	2474
DCLK2_-_150999622.23-P1P2	951	1883	1933	3
DCLK2_-_150999968.23-P1P2	1478	2	599	1
DCLK3_+_36781225.23-P1P2	2738	0	408	1640
DCLK3_-_36781235.23-P1P2	5190	2	832	1965
DCLK3_-_36781240.23-P1P2	1	1	1406	894
DCLK3_-_36781293.23-P1P2	4	0	793	0
DCLK3_-_36781316.23-P1P2	1215	0	861	1
DCPS_-_126173845.23-P1P2	2	3608	178	0
DCPS_-_126173865.23-P1P2	0	0	588	0
DCPS_-_126174007.23-P1P2	0	0	142	0
DCPS_-_126174029.23-P1P2	3	0	992	1450
DCPS_-_126174186.23-P1P2	1	1	1	935
DCTD_+_183838462.23-P1P2	410	0	1719	1328
DCTD_+_183838478.23-P1P2	2	1580	1398	3420
DCTD_+_183838508.23-P1P2	2590	0	580	0
DCTD_-_183838133.23-P1P2	470	2	1385	1733
DCTD_-_183838536.23-P1P2	2445	1	643	2
DCXR_+_79995174.23-P1P2	1291	5795	1710	2
DCXR_+_79995501.23-P1P2	1415	1	2226	4
DCXR_+_79995505.23-P1P2	0	0	676	0
DCXR_-_79995537.23-P1P2	2	3	683	1718
DCXR_-_79995562.23-P1P2	2	1	802	0
DDAH1_+_85930405.23-P1P2	2739	1	824	1
DDAH1_+_85930831.23-P1P2	4	4096	1573	2
DDAH1_-_85930365.23-P1P2	4696	2778	1639	4
DDAH1_-_85930417.23-P1P2	1524	3931	1788	0
DDAH1_-_85930827.23-P1P2	2882	265	1330	1364
DDAH2_+_31697839.23-P1P2	5440	4799	2733	5036
DDAH2_-_31696730.23-P1P2	1487	3468	2354	7022
DDAH2_-_31697596.23-P1P2	4447	1	108	0
DDAH2_-_31697971.23-P1P2	0	0	858	0
DDAH2_-_31697994.23-P1P2	0	0	720	0
DDC_+_50632705.23-P1P2	853	5	906	3042
DDC_+_50633113.23-P1P2	771	1	776	2
DDC_+_50633123.23-P1P2	2600	3	966	1556
DDC_-_50632675.23-P1P2	1107	4331	1077	1074
DDC_-_50633079.23-P1P2	3	4	1420	1629
DDR1_+_30850728.23-P2	839	6	357	2002
DDR1_+_30850899.23-P2	1565	3	1181	3602
DDR1_+_30851171.23-P2	4856	3	523	3
DDR1_+_30852305.23-P1	3730	3	885	1385
DDR1_+_30852315.23-P1	4198	1	982	6
DDR1_+_30852745.23-P1	5934	5	1831	4
DDR1_-_30850727.23-P2	969	2367	2183	3449
DDR1_-_30850759.23-P2	0	0	392	0
DDR1_-_30852454.23-P1	4	2688	1612	901
DDR1_-_30852492.23-P1	1809	0	507	3
DDR2_+_162602272.23-P1P2	704	0	697	0
DDR2_+_162602286.23-P1P2	12	8967	1210	3246
DDR2_+_162602290.23-P1P2	2339	4272	1825	6
DDR2_+_162602592.23-P1P2	1	0	417	0
DDR2_-_162602245.23-P1P2	0	0	0	0
DDX39B_-_31509349.23-P1P2	0	0	142	0
DDX39B_-_31509735.23-P1P2	0	0	0	0
DDX39B_-_31509748.23-P1P2	0	0	0	0
DDX39B_-_31509751.23-P1P2	0	0	0	0
DDX39B_-_31509769.23-P1P2	0	0	0	0
DECR1_+_91013765.23-P1P2	3	5253	1145	1059
DECR1_-_91014077.23-P1P2	4435	5914	1658	2549
DECR1_-_91014106.23-P1P2	2692	2	956	1
DECR1_-_91014120.23-P1P2	0	0	660	0
DECR1_-_91014135.23-P1P2	2	0	1087	1879
DGKA_+_56324982.23-P1P2	6	2	1344	3657
DGKA_+_56325081.23-P1P2	0	0	0	0
DGKA_+_56325365.23-P1P2	1499	0	2074	4
DGKA_-_56325140.23-P1P2	1410	5	1060	3149
DGKA_-_56326234.23-P1P2	3	2158	2188	1
DGKB_+_14942616.23-P1P2	478	2	851	2110
DGKB_+_14942911.23-P1P2	1429	2685	1514	1
DGKB_+_14942915.23-P1P2	1986	5186	1374	1
DGKB_-_14942495.23-P1P2	485	2	1165	2415
DGKB_-_14942561.23-P1P2	2731	0	1078	3
DGKD_+_234263221.23-P1P2	1655	2253	1011	2796
DGKD_+_234263224.23-P1P2	5636	5	2265	3315
DGKD_-_234263173.23-P1P2	942	5	832	1492
DGKD_-_234263257.23-P1P2	1602	4866	1454	2
DGKD_-_234263522.23-P1P2	982	7624	1789	2851
DGKE_+_54911526.23-P1P2	1121	0	1369	1
DGKE_+_54911823.23-P1P2	2330	1	1172	2614
DGKE_+_54911838.23-P1P2	134	3009	599	0
DGKE_+_54911843.23-P1P2	3326	11761	1800	1163
DGKE_-_54911871.23-P1P2	4	2	1850	2933
DGKG_+_186079543.23-P1P2	1954	2	1114	1782
DGKG_+_186079624.23-P1P2	2917	1623	2224	6
DGKG_+_186079946.23-P1P2	1546	3	728	1469
DGKG_+_186079982.23-P1P2	3	1	504	2355
DGKG_-_186080016.23-P1P2	4	1	1132	3662
DGKH_+_42614250.23-P2	1034	5763	1339	5732
DGKH_+_42614259.23-P2	4	5151	331	1
DGKH_+_42614467.23-P2	2	2274	844	1
DGKH_+_42622843.23-P1	1151	1	1568	1843
DGKH_+_42622867.23-P1	6136	6	2724	1539
DGKH_-_42614236.23-P2	1422	2	1571	986
DGKH_-_42614276.23-P2	2	1	663	1674
DGKH_-_42622785.23-P1	993	1	2041	0
DGKH_-_42622801.23-P1	0	0	376	0
DGKH_-_42623106.23-P1	2718	2569	1179	3
DGKI_+_137531202.23-P1P2	1405	1	122	0
DGKI_+_137531206.23-P1P2	1262	1889	672	3378
DGKI_+_137531588.23-P1P2	6	0	645	3690
DGKI_-_137531157.23-P1P2	1319	3	660	1448
DGKI_-_137531574.23-P1P2	6221	1675	1887	4
DGKK_+_50213751.23-P1P2	11	4244	817	4143
DGKK_-_50213637.23-P1P2	4084	2	1237	3170
DGKK_-_50213743.23-P1P2	1140	1	1011	1
DGKK_-_50213780.23-P1P2	2940	4	2512	1414
DGKK_-_50213840.23-P1P2	0	0	258	2
DGKQ_+_966926.23-P1	2	0	715	0
DGKQ_+_967291.23-P1	2196	3	2015	3056
DGKQ_+_967322.23-P1	3370	4	999	3
DGKQ_+_967337.23-P1	4702	2	659	3
DGKQ_+_980664.23-P2	1301	0	1024	1428
DGKQ_+_980716.23-P2	823	5278	2146	2374
DGKQ_-_967335.23-P1	4842	4	2371	1215
DGKQ_-_980377.23-P2	0	0	10	0
DGKQ_-_980401.23-P2	1408	1547	274	5178
DGKQ_-_980679.23-P2	1525	1	1549	2
DGKZ_+_46369421.23-P1P2	0	0	0	0
DGKZ_+_46369445.23-P1P2	4311	2	1076	1695
DGKZ_-_46369028.23-P1P2	6	4	2333	4532
DGKZ_-_46369057.23-P1P2	2024	4404	1864	1893
DGKZ_-_46369488.23-P1P2	5	2	3035	1818
DGUOK_+_74154041.23-P1P2	3030	4	1344	1810
DGUOK_+_74154076.23-P1P2	0	0	336	0
DGUOK_+_74154214.23-P1P2	4	8	2508	1218
DGUOK_-_74153989.23-P1P2	0	1	191	0
DGUOK_-_74154035.23-P1P2	1532	2	2381	0
DHCR7_+_71159363.23-P1P2	2	2279	802	0
DHCR7_+_71159403.23-P1P2	1375	2	517	1
DHCR7_+_71159406.23-P1P2	2295	1	1093	1677
DHCR7_-_71158984.23-P1P2	0	0	146	0
DHCR7_-_71159000.23-P1P2	3	0	1208	0
DHFRL1_+_93781704.23-P1P2	1	2	2095	2
DHFRL1_+_93781711.23-P1P2	1254	1763	1058	2385
DHFRL1_+_93781714.23-P1P2	1605	1	736	3
DHFRL1_+_93781735.23-P1P2	3112	2	368	0
DHFRL1_-_93781340.23-P1P2	1495	5	1069	2483
DHODH_+_72049721.23-P2	6742	997	2054	3209
DHODH_+_72050082.23-P2	0	0	423	0
DHODH_-_72042655.23-P1	1	0	883	1
DHODH_-_72042659.23-P1	2663	3951	872	1650
DHODH_-_72042709.23-P1	7259	7	1376	2463
DHODH_-_72042714.23-P1	2	1	894	0
DHODH_-_72042728.23-P1	1	4003	563	0
DHODH_-_72049691.23-P2	8	8985	895	6
DHODH_-_72050053.23-P2	6	0	2753	452
DHODH_-_72050090.23-P2	1190	2105	1809	1952
DHPS_+_12792224.23-P1P2	4	2294	390	1925
DHPS_+_12792300.23-P1P2	2176	3	1445	2552
DHPS_+_12792543.23-P1P2	0	0	78	0
DHPS_+_12792611.23-P1P2	2877	7552	1621	1083
DHPS_-_12792690.23-P1P2	1585	4	547	3239
DHRS11_+_34948687.23-P1P2	0	0	0	0
DHRS11_+_34948809.23-P1P2	1226	1	373	0
DHRS11_-_34948321.23-P1P2	0	0	1764	0
DHRS11_-_34948355.23-P1P2	2	1	466	1710
DHRS11_-_34948705.23-P1P2	3622	3	1115	5
DHRS4L1_+_24506017.23-P1P2	724	3421	2160	4
DHRS4L1_+_24506061.23-P1P2	1448	2189	917	3
DHRS4L1_+_24506064.23-P1P2	2	0	1246	1940
DHRS4L1_+_24506110.23-P1P2	1420	3978	1530	4
DHRS4L1_-_24505684.23-P1P2	3	0	2135	1376
DHRS4L2_+_24458116.23-ENST00000382755.4	3	1	688	1275
DHRS4L2_+_24458437.23-ENST00000382755.4	1161	0	718	1560
DHRS4L2_+_24458467.23-ENST00000382755.4	747	1	1374	1644
DHRS4L2_-_24458057.23-ENST00000382755.4	1164	4831	1669	1768
DHRS4L2_-_24458131.23-ENST00000382755.4	1	3	696	0
DHRS4_+_24422957.23-P1P2	0	0	281	0
DHRS4_+_24423319.23-P1P2	2	0	1011	1
DHRS4_+_24423363.23-P1P2	1	0	459	758
DHRS4_-_24423009.23-P1P2	2	0	851	2
DHRS4_-_24423338.23-P1P2	1742	2	475	1
DLAT_+_111896129.23-P1P2	0	0	0	0
DLAT_+_111896480.23-P1P2	0	0	228	0
DLAT_+_111896544.23-P1P2	1572	1	252	0
DLAT_-_111896155.23-P1P2	0	0	0	0
DLAT_-_111896201.23-P1P2	1	0	429	0
DLD_+_107532066.23-P1P2	0	0	1047	1
DLD_-_107531631.23-P1P2	0	0	183	0
DLD_-_107531642.23-P1P2	0	0	0	0
DLD_-_107531670.23-P1P2	856	0	274	0
DLD_-_107531673.23-P1P2	0	5	109	0
DLG4_+_7108079.23-P2	621	3856	70	1
DLG4_+_7108461.23-P2	1220	3634	1955	2
DLG4_+_7108469.23-P2	3	2	2275	2883
DLG4_+_7120524.23-P1	1	3	163	2057
DLG4_+_7120527.23-P1	1227	0	124	1
DLG4_-_7108418.23-P2	1254	1	1027	3
DLG4_-_7108426.23-P2	192	3	1010	1811
DLG4_-_7120514.23-P1	0	0	40	0
DLG4_-_7120929.23-P1	1	5	3268	2
DLG4_-_7120934.23-P1	4206	5	1313	1535
DMPK_+_46285229.23-P1P2	4	2338	1185	0
DMPK_+_46285701.23-P1P2	6877	9	1197	3781
DMPK_-_46285333.23-P1P2	0	0	0	0
DMPK_-_46285540.23-P1P2	6458	5333	2155	5
DMPK_-_46285672.23-P1P2	1388	1	2398	1097
DNASE1_+_3704851.23-P1P2	2530	8214	1678	6
DNASE1_+_3704866.23-P1P2	1496	1	1428	1758
DNASE1_+_3705194.23-P1P2	8	1597	2500	2884
DNASE1_+_3705260.23-P1P2	6	5917	1089	65
DNASE1_-_3704881.23-P1P2	1464	6	1620	2003
DNPEP_+_220252560.23-P1P2	2	0	1211	0
DNPEP_+_220252581.23-P1P2	702	2038	1576	1680
DNPEP_+_220252606.23-P1P2	5	0	1064	1537
DNPEP_-_220252268.23-P1P2	1228	0	586	1808
DNPEP_-_220252618.23-P1P2	1002	3428	586	1630
DNTT_+_98064245.23-P1P2	685	1	488	0
DNTT_+_98064251.23-P1P2	323	1761	846	2
DNTT_+_98064273.23-P1P2	0	1	1196	2
DNTT_-_98064235.23-P1P2	1279	1	223	0
DNTT_-_98064304.23-P1P2	1074	0	321	0
DOK1_+_74781491.23-P1P2	1905	3	1703	1699
DOK1_+_74781500.23-P1P2	1330	4	1381	3839
DOK1_-_74781509.23-P1P2	1	2	679	1832
DOK1_-_74781904.23-P1P2	798	1	2370	1860
DOK1_-_74782111.23-P1P2	2715	6207	1151	4
DOLPP1_+_131843438.23-P1P2	2240	2	1352	1664
DOLPP1_+_131843452.23-P1P2	1357	4	2139	2188
DOLPP1_-_131843423.23-P1P2	2376	1	892	3385
DOLPP1_-_131843451.23-P1P2	2095	0	917	0
DOLPP1_-_131843622.23-P1P2	0	0	635	2
DPEP1_+_89680095.23-P2	2081	1610	3364	529
DPEP1_+_89680572.23-P2	0	0	0	0
DPEP1_+_89696684.23-P1	0	2	1211	0
DPEP1_+_89696690.23-P1	2	1	1340	0
DPEP1_+_89696743.23-P1	7	4203	2062	3
DPEP1_+_89696906.23-P1	515	5776	790	1
DPEP1_-_89680046.23-P2	3372	3457	1235	3109
DPEP1_-_89680073.23-P2	86	1464	2268	1592
DPEP1_-_89680121.23-P2	1	2411	891	3
DPEP1_-_89696965.23-P1	0	1	282	0
DPH5_+_101490943.23-P1P2	3	1	1162	1595
DPH5_+_101491288.23-P1P2	1284	3	1217	1381
DPH5_-_101490901.23-P1P2	1	0	832	0
DPH5_-_101491256.23-P1P2	2	0	920	0
DPH5_-_101491365.23-P1P2	1428	2	2944	2016
DPP4_+_162930180.23-P1P2	0	0	387	1
DPP4_+_162930574.23-P1P2	644	3937	1225	1642
DPP4_-_162930173.23-P1P2	0	0	98	0
DPP4_-_162930550.23-P1P2	1070	0	912	1
DPP4_-_162930554.23-P1P2	3944	3	2241	1616
DPP6_-_153750142.23-ENST00000377770.3	1258	4598	1163	2
DPP6_-_153750145.23-ENST00000377770.3	299	4723	1239	1430
DPP6_-_153750172.23-ENST00000377770.3	5605	3	1607	1485
DPP6_-_153750222.23-ENST00000377770.3	3509	2	2643	4
DPP6_-_153750330.23-ENST00000377770.3	3	0	608	3761
DRD1_+_174870696.23-P1P2	2604	5334	1383	6
DRD1_+_174870700.23-P1P2	0	0	147	0
DRD1_+_174871080.23-P1P2	2345	0	801	1
DRD1_+_174871119.23-P1P2	3049	2224	737	0
DRD1_-_174871153.23-P1P2	2975	4822	1114	3
DRD2_+_113345655.23-P1P2	3800	13096	2364	1306
DRD2_+_113345727.23-P1P2	5	1	894	1877
DRD2_+_113345743.23-P1P2	3	0	1600	1
DRD2_-_113345666.23-P1P2	0	0	246	0
DRD2_-_113345669.23-P1P2	648	2410	1755	1
DRD3_+_113897246.23-P1P2	0	0	0	0
DRD3_+_113897531.23-P1P2	2	0	228	0
DRD3_+_113897698.23-P1P2	0	0	272	0
DRD3_+_113897708.23-P1P2	0	0	201	0
DRD3_-_113897274.23-P1P2	5	0	376	1914
DRD4_+_637505.23-P1P2	2173	2	1248	1807
DRD4_+_637546.23-P1P2	0	0	316	0
DRD4_+_637647.23-P1P2	1109	5282	936	2
DRD4_+_637674.23-P1P2	6	5572	155	1714
DRD4_+_637851.23-P1P2	2828	3	467	2
DRD5_+_9783346.23-P1P2	1394	3	1319	1639
DRD5_+_9783764.23-P1P2	1631	1	1448	2
DRD5_+_9783903.23-P1P2	0	1	363	0
DRD5_-_9783675.23-P1P2	0	1	632	1
DRD5_-_9783776.23-P1P2	1457	0	1077	1
DSTN_+_17550778.23-P1P2	499	1	996	1711
DSTN_+_17551017.23-P1P2	1038	1	194	1753
DSTN_+_17551106.23-P1P2	628	0	1409	1432
DSTN_+_17551118.23-P1P2	0	0	229	0
DSTN_-_17550792.23-P1P2	3148	3	2136	2737
DSTYK_+_205180408.23-P1P2	2156	8037	4321	1074
DSTYK_+_205180637.23-P1P2	2862	6	2019	4157
DSTYK_+_205180672.23-P1P2	2113	0	1746	1544
DSTYK_-_205180469.23-P1P2	2	0	771	0
DSTYK_-_205180561.23-P1P2	0	0	743	1
DTYMK_+_242626160.23-P1P2	0	0	314	0
DTYMK_+_242626164.23-P1P2	0	1	230	1284
DTYMK_+_242626181.23-P1P2	2101	3668	1179	4
DTYMK_+_242626191.23-P1P2	1419	0	317	0
DTYMK_+_242626194.23-P1P2	627	0	1698	0
DUSP10_+_221914980.23-P1P2	1	1	1522	2
DUSP10_+_221915343.23-P1P2	0	0	125	0
DUSP10_+_221915358.23-P1P2	2	0	333	0
DUSP10_+_221915387.23-P1P2	4	1	1447	1408
DUSP10_-_221915401.23-P1P2	897	0	1148	1
DUSP11_+_74007021.23-P1P2	2428	5	1222	1212
DUSP11_+_74007168.23-P1P2	1	2959	454	1
DUSP11_+_74007204.23-P1P2	2444	1	814	1147
DUSP11_+_74007207.23-P1P2	4343	2	2431	1375
DUSP11_-_74007156.23-P1P2	1156	3744	3339	6
DUSP12_+_161719571.23-P1P2	4	4004	704	709
DUSP12_+_161719608.23-P1P2	1	1	824	2
DUSP12_+_161719994.23-P1P2	932	4	1242	1
DUSP12_-_161719619.23-P1P2	0	0	293	0
DUSP12_-_161719818.23-P1P2	0	0	679	0
DUSP13_+_76868493.23-P1P2	2793	3	534	1
DUSP13_+_76868578.23-P1P2	1694	0	212	795
DUSP13_+_76868587.23-P1P2	748	1	230	0
DUSP13_+_76868592.23-P1P2	6653	4	2739	1917
DUSP13_+_76868735.23-P1P2	9	0	1507	3273
DUSP14_+_35850028.23-P1	2181	5103	2331	4641
DUSP14_+_35850061.23-P1	1126	1	1443	1335
DUSP14_+_35850412.23-P1	1144	2	2439	1589
DUSP14_+_35850421.23-P1	0	0	358	1
DUSP14_+_35851647.23-P2	0	0	443	0
DUSP14_+_35851655.23-P2	4	1	462	1793
DUSP14_+_35852026.23-P2	0	0	0	0
DUSP14_-_35850145.23-P1	1271	4548	1153	2
DUSP14_-_35851878.23-P2	636	5524	1604	1924
DUSP14_-_35852044.23-P2	1	3	1312	1360
DUSP15_-_30457626.23-P1P2	0	0	103	0
DUSP15_-_30457629.23-P1P2	1	0	361	0
DUSP15_-_30457650.23-P1P2	3	3	1793	1804
DUSP15_-_30458018.23-P1P2	5010	2003	1683	2920
DUSP15_-_30458031.23-P1P2	2	0	104	1381
DUSP16_+_12715747.23-P1P2	4638	2	1377	1567
DUSP16_+_12715774.23-P1P2	3	0	756	1
DUSP16_-_12715408.23-P1P2	1142	0	416	2
DUSP16_-_12715572.23-P1P2	765	5371	1929	3310
DUSP16_-_12715800.23-P1P2	2804	0	1660	1
DUSP18_+_31063779.23-P1P2	1	1	956	1
DUSP18_+_31063837.23-P1P2	2059	6400	2578	3
DUSP18_+_31063843.23-P1P2	0	0	1485	0
DUSP18_-_31063389.23-P1P2	3	0	230	1581
DUSP18_-_31063814.23-P1P2	1005	6	2225	2146
DUSP19_+_183943540.23-P1P2	1039	0	1906	739
DUSP19_+_183943556.23-P1P2	6	4677	124	3606
