	Diff	Lower	T0	Upper
	Rep1	Rep1	Rep1	Rep1
sgId				
ABCC9_+_22093941.23-P1P2	1208	1	593	824
ABCC9_+_22094309.23-P1P2	0	0	424	0
ABCE1_+_146019317.23-P1P2	0	1	123	0
ABCE1_+_146019463.23-P1P2	1128	0	1	0
ABCE1_+_146019842.23-P1P2	437	1	321	1989
ABCE1_-_146019502.23-P1P2	0	0	0	0
ABCE1_-_146019516.23-P1P2	0	0	0	0
ABCG1_+_43639544.23-P1P2	3859	3	563	4864
ABCG1_+_43639681.23-P1P2	0	0	120	0
ABCG1_-_43639282.23-P1P2	4754	2375	3056	5631
ABCG1_-_43639541.23-P1P2	3021	2984	1692	3008
ABCG1_-_43639626.23-P1P2	12	4958	3072	3693
ABL1_+_133589617.23-ENST00000372348.2	782	0	683	1
ABL1_+_133589629.23-ENST00000372348.2	6	4924	1036	1
ABL1_+_133589636.23-ENST00000372348.2	1444	0	862	1564
ABL1_-_133589228.23-ENST00000372348.2	829	2451	1001	2
ABL1_-_133589268.23-ENST00000372348.2	1280	4448	845	2
ABL2_+_179112168.23-P1	1447	562	1632	0
ABL2_+_179112186.23-P1	0	0	189	0
ABL2_+_179198340.23-P2	3085	3	1540	939
ABL2_+_179198398.23-P2	1235	1	1382	1824
ABL2_+_179198565.23-P2	1452	0	668	3116
ABL2_+_179198740.23-P2	1309	3	1308	3
ABL2_-_179112151.23-P1	4	2	1468	1154
ABL2_-_179112154.23-P1	0	0	128	0
ABL2_-_179112158.23-P1	1542	2	607	1942
ABL2_-_179198834.23-P2	1733	0	1259	1465
ABO_+_136150190.23-P1	1401	2120	705	1657
ABO_+_136150601.23-P1	1384	8426	2785	7499
ABO_-_136130692.23-P2	4728	7345	2096	1656
ABO_-_136130921.23-P2	1470	1	1496	1843
ABO_-_136130955.23-P2	1508	3	224	0
ABO_-_136130959.23-P2	0	0	547	1494
ABO_-_136130966.23-P2	1	3	1090	1920
ABO_-_136150219.23-P1	0	0	1035	122
ABO_-_136150600.23-P1	787	3368	2407	3086
ABO_-_136150606.23-P1	1464	0	2008	996
ACACA_+_35715534.23-P1P2	3243	4549	561	2
ACACA_+_35715655.23-P1P2	1	0	198	0
ACACA_-_35715847.23-P1P2	0	0	0	0
ACACA_-_35715992.23-P1P2	0	0	0	0
ACACA_-_35716002.23-P1P2	0	0	0	0
ACACB_+_109569160.23-P1	6	1732	631	2
ACACB_+_109569170.23-P1	5702	3	2286	1523
ACACB_+_109592574.23-P2	1274	1	2206	2
ACACB_+_109592655.23-P2	3	0	652	0
ACACB_+_109592908.23-P2	0	0	252	0
ACACB_-_109569178.23-P1	414	0	793	2
ACACB_-_109569231.23-P1	1546	1	451	1
ACACB_-_109569639.23-P1	2140	6103	1843	0
ACACB_-_109592496.23-P2	1531	1	585	713
ACACB_-_109592519.23-P2	813	0	1605	1
ACAD8_+_134123511.23-P1P2	3538	2	1357	1869
ACAD8_-_134123448.23-P1P2	1027	0	2421	1328
ACAD8_-_134123455.23-P1P2	1102	2	757	1
ACAD8_-_134123502.23-P1P2	2	2	1304	1482
ACAD8_-_134123507.23-P1P2	4	1	1270	1979
ACADSB_+_124768874.23-P1P2	1336	4707	1675	1945
ACADSB_+_124768891.23-P1P2	0	0	679	0
ACADSB_+_124768941.23-P1P2	1216	2564	259	1
ACADSB_+_124768944.23-P1P2	3	0	1676	0
ACADSB_-_124768552.23-P1P2	2092	10993	1480	5
ACADS_+_121163685.23-P1P2	5295	19960	4141	7
ACADS_+_121164090.23-P1P2	0	0	0	0
ACADS_-_121163653.23-P1P2	2518	3930	2172	4674
ACADS_-_121163657.23-P1P2	1267	3275	1202	1856
ACADS_-_121163671.23-P1P2	26	10986	1952	5186
ACAN_+_89347139.23-P1P2	533	1	216	0
ACAN_+_89347148.23-P1P2	0	1	215	0
ACAN_+_89347151.23-P1P2	0	1	400	0
ACAN_-_89346701.23-P1P2	2	3940	952	1
