sgRNA	Gene	Diff	Lower	Upper
AADACL2_-_151451828.23-P1P2	AADACL2	1180	2	1
AADAT_+_171010904.23-P1P2	AADAT	1938	1962	5
AADAT_+_171010929.23-P1P2	AADAT	784	1	3
AADAT_+_171011392.23-P1P2	AADAT	2145	0	2319
AADAT_-_171011368.23-P1P2	AADAT	7318	1636	450
AAK1_+_69870290.23-P1P2	AAK1	1973	2653	2409
AAK1_+_69870701.23-P1P2	AAK1	2922	8	5346
AAK1_-_69870541.23-P1P2	AAK1	2480	4	1059
AAK1_-_69870791.23-P1P2	AAK1	2072	5	2860
AAK1_-_69870794.23-P1P2	AAK1	1547	0	0
AANAT_+_74464088.23-P1P2	AANAT	1713	0	1
AARS2_+_44280650.23-P1P2	AARS2	1425	2236	2050
AASS_+_121784219.23-P1P2	AASS	1413	4323	2255
AASS_-_121784277.23-P1P2	AASS	448	2	2007
AASS_-_121784328.23-P1P2	AASS	1165	0	0
AATK_+_79139571.23-ENST00000326724.4	AATK	1392	0	0
AATK_+_79139592.23-ENST00000326724.4	AATK	4464	5	1634
AATK_-_79139956.23-ENST00000326724.4	AATK	325	1	1
ABAT_+_8768492.23-P1	ABAT	2007	5765	1062
ABAT_+_8768682.23-P1	ABAT	1565	1	0
ABAT_+_8807445.23-P2	ABAT	1178	1583	3988
ABAT_+_8807450.23-P2	ABAT	6803	2	2
ABAT_+_8807464.23-P2	ABAT	3903	0	0
ABAT_+_8807696.23-P2	ABAT	1878	2	3355
ABAT_-_8768504.23-P1	ABAT	1985	0	1006
ABAT_-_8768523.23-P1	ABAT	762	1306	3946
ABAT_-_8768533.23-P1	ABAT	1239	0	2548
ABCC2_+_101542981.23-P1P2	ABCC2	1415	3	1472
ABCC8_+_17497953.23-P1P2	ABCC8	1278	8812	10
ABCC8_+_17498387.23-P1P2	ABCC8	1924	3	1420
ABCC8_-_17497979.23-P1P2	ABCC8	575	2	1589
ABCC8_-_17497997.23-P1P2	ABCC8	809	0	315
ABCC9_+_22093672.23-P1P2	ABCC9	1491	3	2765
ABCC9_+_22093941.23-P1P2	ABCC9	1208	1	824
ABCE1_+_146019463.23-P1P2	ABCE1	1128	0	0
ABCE1_+_146019842.23-P1P2	ABCE1	437	1	1989
ABCG1_+_43639544.23-P1P2	ABCG1	3859	3	4864
ABCG1_-_43639282.23-P1P2	ABCG1	4754	2375	5631
ABCG1_-_43639541.23-P1P2	ABCG1	3021	2984	3008
ABL1_+_133589617.23-ENST00000372348.2	ABL1	782	0	1
ABL1_+_133589636.23-ENST00000372348.2	ABL1	1444	0	1564
ABL1_-_133589228.23-ENST00000372348.2	ABL1	829	2451	2
ABL1_-_133589268.23-ENST00000372348.2	ABL1	1280	4448	2
ABL2_+_179112168.23-P1	ABL2	1447	562	0
