Gene	sgRNA	Lower|beta	Lower|z	Lower|p-value	Lower|fdr	Lower|wald-p-value	Lower|wald-fdr	Upper|beta	Upper|z	Upper|p-value	Upper|fdr	Upper|wald-p-value	Upper|wald-fdr
AADACL2	1	-1.4547	-1.1842	0.98522	0.99866	0.23635	0.60412	-3.8896	-3.1713	0.58647	0.9943	0.0015177	0.027541
AADAT	4	3.0821	0.28443	0.54167	0.96267	0.77608	0.99608	0.52208	0.047701	0.96013	0.99767	0.96195	1
AAK1	5	1.3384	0.39779	0.81989	0.99511	0.69078	0.99608	1.9921	0.6165	0.33826	0.97823	0.53757	1
AANAT	1	-2.9016	-2.1643	0.10036	0.96267	0.030443	0.46048	-4.26	-3.1623	0.39695	0.98251	0.0015653	0.028176
AARS2	1	4.9642	0.035034	0.44758	0.96267	0.97205	0.99608	2.8335	0.019997	0.37948	0.98251	0.98405	1
AASS	3	0.47807	1.1803	0.99283	0.99866	0.23788	0.60412	0.11367	0.27366	0.75538	0.9943	0.78434	1
AATK	3	-2.2791	-1.0672	0.24283	0.96267	0.28587	0.67952	0.060233	0.035746	0.6931	0.9943	0.97149	1
ABAT	9	0.21197	2.0021	0.25582	0.96267	0.045275	0.47176	0.06349	0.59169	0.99373	0.9991	0.55406	1
ABCC2	1	-1.3506	-0.12066	0.92384	0.99764	0.90396	0.99608	2.5102	0.2237	0.58244	0.9943	0.82299	1
ABCC8	4	0.19998	1.4199	0.6353	0.99511	0.15564	0.52303	0.014452	0.10127	0.40367	0.98362	0.91933	1
ABCC9	2	-1.6723	-0.21925	0.64337	0.99511	0.82645	0.99608	2.6001	0.35387	0.30376	0.97823	0.72344	1
ABCE1	2	-2.2333	-0.4888	0.39158	0.96267	0.62498	0.99608	1.8272	0.42419	0.64606	0.9943	0.67143	1
ABCG1	3	3.5479	0.18088	0.50941	0.96267	0.85646	0.99608	2.6342	0.13431	0.18907	0.93333	0.89316	1
ABL1	4	4.7193	0.082072	0.13754	0.96267	0.93459	0.99608	0.50267	0.0085265	0.96685	0.99909	0.9932	1
ABL2	7	0.87449	0.31429	0.74194	0.99511	0.7533	0.99608	2.0989	0.7809	0.20923	0.94036	0.43486	1
ABO	7	4.0442	0.20616	0.19758	0.96267	0.83666	0.99608	2.2002	0.11221	0.16891	0.93333	0.91066	1
ACACA	1	4.8531	0.03854	0.48029	0.96267	0.96926	0.99608	-4.4994	-0.035849	0.29256	0.97823	0.9714	1
ACACB	7	0.1523	1.4614	0.17249	0.96267	0.1439	0.52303	0.0097698	0.092413	0.097222	0.92557	0.92637	1
ACAD8	3	-2.2622	-0.94281	0.24866	0.96267	0.34578	0.80729	1.4986	0.68852	0.7164	0.9943	0.49112	1
ACADSB	3	5.7545	0.036083	0.021953	0.81667	0.97122	0.99608	0.78543	0.0048912	0.98477	0.99909	0.9961	1
ACADS	4	5.9357	0.038865	0.0040323	0.68421	0.969	0.99608	2.9778	0.019497	0.044355	0.92557	0.98444	1
ACAN	2	-1.6718	-0.32211	0.64337	0.99511	0.74737	0.99608	1.9199	0.4358	0.61514	0.9943	0.66298	1
ACAT1	4	2.0845	0.2595	0.71281	0.99511	0.79525	0.99608	2.64	0.33378	0.12366	0.92557	0.73855	1
ACAT2	3	-2.8407	-2.4487	0.072133	0.96267	0.014337	0.36781	-0.31665	-0.30995	0.21192	0.94036	0.7566	1
ACCS	4	4.3772	0.10591	0.2164	0.96267	0.91565	0.99608	2.1231	0.051277	0.32796	0.97823	0.95911	1
ACE2	2	-2.3886	-2.4038	0.30645	0.96267	0.016225	0.38526	-4.2083	-4.2375	0.17921	0.93333	2.2605e-05	0.00069114
ACE	8	1.2623	0.7416	0.65726	0.99511	0.45833	0.99608	1.3734	0.82216	0.51523	0.9943	0.41099	1
ACHE	8	0.2686	2.0741	0.54525	0.96434	0.038067	0.46048	0.067231	0.51276	0.97491	0.99909	0.60812	1
ACOT13	4	4.1174	0.14855	0.28943	0.96267	0.88191	0.99608	0.95664	0.034241	0.83602	0.9943	0.97268	1
ACOX1	4	0.27284	1.8401	0.80735	0.99511	0.065761	0.4781	0.0073163	0.048761	0.28136	0.97823	0.96111	1
ACP1	3	3.958	0.14048	0.41129	0.96267	0.88828	0.99608	1.4827	0.052622	0.72581	0.9943	0.95803	1
ACP2	2	-3.0113	-1.9639	0.042563	0.94231	0.049536	0.47176	0.68791	0.48972	0.92966	0.9943	0.62434	1
ACP5	8	3.337	0.30352	0.34767	0.96267	0.76149	0.99608	2.375	0.21641	0.091846	0.92557	0.82867	1
ACP6	4	4.8178	0.10461	0.11783	0.96267	0.91669	0.99608	1.4033	0.030431	0.68504	0.9943	0.97572	1
ACPP	3	-2.6179	-1.7165	0.12993	0.96267	0.086071	0.52303	-0.048226	-0.038568	0.27643	0.97823	0.96923	1
ACPT	1	5.2699	0.027501	0.33871	0.96267	0.97806	0.99608	2.0021	0.010448	0.83289	0.9943	0.99166	1
ACSL1	4	0.0039843	0.045553	0.32124	0.96267	0.96367	0.99608	0.13529	1.4714	0.85036	0.9943	0.14118	1
ACSL3	4	0.73919	0.82863	0.92249	0.99764	0.40732	0.93053	-1.2521	-1.4154	0.06586	0.92557	0.15694	1
ACSL4	3	4.4308	0.089803	0.27509	0.96267	0.92844	0.99608	1.6888	0.03422	0.62052	0.9943	0.9727	1
ACSS2	2	-2.4518	-0.53756	0.26434	0.96267	0.59088	0.99608	2.0153	0.44422	0.57751	0.9943	0.65688	1
ACTA1	6	0.57813	1.5065	0.90233	0.99764	0.13194	0.52303	0.1974	0.50227	0.98029	0.99909	0.61548	1
ACTR2	1	-3.7181	-2.7141	0.0026882	0.68421	0.0066452	0.22818	-5.7427	-4.1913	0.0031362	0.7	2.7741e-05	0.00081472
ACVR1B	2	3.296	0.16971	0.63127	0.99511	0.86524	0.99608	-4.7649	-0.20653	0.057348	0.92557	0.83638	1
ACVR1C	2	0.014147	0.045023	0.8069	0.99511	0.96409	0.99608	0.42735	1.212	0.81944	0.9943	0.22552	1
ACVR1	2	0.010699	0.035376	0.79839	0.99511	0.97178	0.99608	0.41546	1.2216	0.81676	0.9943	0.22187	1
ACVR2A	3	0.0018759	0.020118	0.48925	0.96267	0.98395	0.99608	0.14353	1.465	0.7948	0.9943	0.14293	1
ACVR2B	3	4.3388	0.10566	0.30018	0.96267	0.91585	0.99608	2.1082	0.05134	0.41084	0.98391	0.95905	1
ACVRL1	1	-2.7886	-2.1062	0.15502	0.96267	0.03519	0.46048	-3.4653	-2.5984	0.73477	0.9943	0.0093652	0.13843
ACY1	3	4.8105	0.06781	0.18145	0.96267	0.94594	0.99608	2.2048	0.031072	0.37142	0.98251	0.97521	1
ACY3	6	0.24733	2.2726	0.60215	0.98824	0.023052	0.41293	0.046707	0.4238	0.79077	0.9943	0.67171	1
ACYP2	3	-1.7106	-0.47916	0.41219	0.96267	0.63183	0.99608	1.7491	0.54638	0.59364	0.9943	0.58481	1
ADAM33	4	-2.5269	-4.2597	0.12097	0.96267	2.047e-05	0.011422	-4.6519	-7.8384	0.015233	0.92557	4.5648e-15	2.5472e-12
ADAMTS5	4	0.23384	1.9604	0.72491	0.99511	0.049948	0.47176	0.019718	0.16325	0.48297	0.99372	0.87032	1
ADCK1	5	4.5365	0.11515	0.14785	0.96267	0.90833	0.99608	-0.50533	-0.012483	0.081541	0.92557	0.99004	1
ADCK2	4	0.1301	1.4725	0.39695	0.96267	0.14089	0.52303	0.019079	0.21282	0.47267	0.9925	0.83146	1
ADCK3	3	4.1359	0.12169	0.35708	0.96267	0.90315	0.99608	2.6247	0.077226	0.19176	0.93333	0.93844	1
ADCK4	3	0.0018312	0.018589	0.48611	0.96267	0.98517	0.99608	0.15086	1.4576	0.80466	0.9943	0.14495	1
ADCK5	3	1.5849	0.81992	0.92249	0.99764	0.41226	0.9399	-0.21472	-0.11419	0.23566	0.9529	0.90909	1
ADC	3	4.2017	0.11801	0.3414	0.96267	0.90606	0.99608	-4.3397	-0.11772	0.060484	0.92557	0.90629	1
ADH1C	3	2.5008	0.27602	0.77195	0.99511	0.78253	0.99608	1.9805	0.21875	0.47805	0.99259	0.82684	1
ADH4	2	0.13234	1.4757	0.85618	0.99764	0.14003	0.52303	2.6399e-05	0.00029026	0.42742	0.98521	0.99977	1
ADH5	2	-2.8326	-1.4445	0.088262	0.96267	0.1486	0.52303	1.0143	0.55345	0.95206	0.99672	0.57995	1
ADK	4	0.48209	1.1817	0.97581	0.99866	0.23733	0.60412	0.1025	0.24477	0.80824	0.9943	0.80663	1
ADORA1	3	0.48551	1.1739	0.99597	0.99866	0.24042	0.60412	0.12011	0.28334	0.76434	0.9943	0.77692	1
ADORA2A	3	4.5797	0.086508	0.23835	0.96267	0.93106	0.99608	2.0827	0.039338	0.42339	0.98521	0.96862	1
ADORA2B	3	2.4463	0.25788	0.78808	0.99511	0.7965	0.99608	2.5065	0.26584	0.23701	0.95324	0.79036	1
ADORA3	5	-1.5907	-0.61407	0.194	0.96267	0.53917	0.99608	1.8503	0.79383	0.4086	0.98382	0.4273	1
ADRA1A	4	0.37524	1.2258	0.92384	0.99764	0.22029	0.5985	0.18627	0.5904	0.91622	0.9943	0.55492	1
ADRA1B	4	3.8946	0.14722	0.35215	0.96267	0.88296	0.99608	1.6655	0.062952	0.56407	0.9943	0.9498	1
ADRA1D	4	3.183	0.2488	0.52195	0.96267	0.80352	0.99608	1.9058	0.14915	0.44624	0.98521	0.88144	1
ADRA2A	4	0.014788	0.044455	0.33289	0.96267	0.96454	0.99608	0.45175	1.1936	0.98118	0.99909	0.23265	1
ADRA2B	2	-2.2211	-0.92385	0.39785	0.96267	0.35556	0.82325	1.1712	0.5807	0.88754	0.9943	0.56145	1
ADRA2C	4	-2.285	-1.1804	0.17249	0.96267	0.23782	0.60412	1.3569	0.82925	0.69937	0.9943	0.40696	1
ADRB1	4	4.3737	0.12607	0.21774	0.96267	0.89967	0.99608	2.6771	0.077183	0.11111	0.92557	0.93848	1
ADRB2	5	2.876	0.3441	0.56407	0.96925	0.73077	0.99608	1.5689	0.18901	0.54973	0.9943	0.85008	1
ADRB3	5	3.9304	0.15217	0.30332	0.96267	0.87905	0.99608	3.1301	0.12134	0.012545	0.92557	0.90343	1
ADRBK1	3	0.48597	1.1769	0.99507	0.99866	0.23922	0.60412	0.10235	0.24181	0.74014	0.9943	0.80893	1
ADRBK2	4	2.7647	0.36925	0.58423	0.98267	0.71194	0.99608	1.46	0.19579	0.66174	0.9943	0.84478	1
ADSSL1	5	2.557	0.43578	0.61604	0.99511	0.663	0.99608	1.3826	0.23743	0.64919	0.9943	0.81233	1
AGTR1	3	-2.5552	-1.6936	0.14158	0.96267	0.09035	0.52303	0.13419	0.11462	0.7845	0.9943	0.90875	1
AGTR2	2	-2.4359	-2.9741	0.27464	0.96267	0.0029387	0.15385	-4.4742	-5.4625	0.10797	0.92557	4.6943e-08	3.0817e-06
AGXT2	1	-2.6648	-0.45077	0.23432	0.96267	0.65215	0.99608	1.9354	0.32578	0.85753	0.9943	0.74459	1
AGXT	3	-1.7669	-1.0344	0.40233	0.96267	0.30094	0.71154	-3.903	-2.3034	0.093638	0.92557	0.021256	0.30413
AHCY	4	3.1598	0.28731	0.52823	0.96267	0.77387	0.99608	1.707	0.1558	0.54435	0.9943	0.87619	1
AK1	4	3.1037	0.27968	0.53898	0.96267	0.77972	0.99608	1.8032	0.16258	0.49642	0.99372	0.87085	1
AK2	3	3.4002	0.15859	0.54256	0.96267	0.87399	0.99608	2.488	0.1162	0.24373	0.95606	0.90749	1
AK3	5	0.20567	1.9957	0.53719	0.96267	0.045965	0.47176	0.0056531	0.054138	0.15547	0.93333	0.95683	1
AK4	5	0.30751	1.7912	0.82124	0.99511	0.073255	0.49146	0.01756	0.10112	0.32661	0.97823	0.91946	1
AK5	5	0.26843	1.8825	0.74238	0.99511	0.059765	0.47176	0.022831	0.15819	0.42876	0.98521	0.87431	1
AK7	2	4.9492	0.044634	0.22267	0.96267	0.9644	0.99608	2.9555	0.026655	0.15815	0.93333	0.97873	1
AK8	3	-2.4566	-0.69816	0.17339	0.96267	0.48508	0.99608	1.9409	0.58851	0.49642	0.99372	0.55619	1
AKAP10	4	4.2932	0.13136	0.24238	0.96267	0.89549	0.99608	0.92885	0.028318	0.84677	0.9943	0.97741	1
AKAP11	3	0.3957	1.2146	0.92921	0.99764	0.22453	0.59947	0.13677	0.40798	0.78674	0.9943	0.68329	1
AKAP12	7	3.6491	0.30013	0.30556	0.96267	0.76408	0.99608	0.88891	0.072707	0.72536	0.9943	0.94204	1
AKAP13	5	1.4573	0.26672	0.79256	0.99511	0.78968	0.99608	2.5407	0.49079	0.11738	0.92557	0.62357	1
AKAP14	4	0.139	1.4617	0.44534	0.96267	0.14382	0.52303	0.029463	0.30543	0.62545	0.9943	0.76004	1
AKAP1	3	4.7948	0.061921	0.18369	0.96267	0.95063	0.99608	2.7916	0.036051	0.13441	0.93333	0.97124	1
AKAP3	4	0.12252	1.4763	0.35573	0.96267	0.13987	0.52303	0.025764	0.30593	0.58065	0.9943	0.75966	1
AKAP4	2	3.9932	0.11397	0.46461	0.96267	0.90926	0.99608	0.34241	0.0090418	0.7845	0.9943	0.99279	1
AKAP5	3	-2.2022	-0.22109	0.26568	0.96267	0.82502	0.99608	3.1426	0.31519	0.046595	0.92557	0.75262	1
AKAP6	1	-1.7359	-0.12483	0.86022	0.99764	0.90066	0.99608	2.7125	0.19441	0.45609	0.98739	0.84586	1
AKAP7	5	4.7265	0.11145	0.10797	0.96267	0.91126	0.99608	2.0182	0.047583	0.32213	0.97823	0.96205	1
AKAP8L	3	0.33207	1.2725	0.88575	0.99764	0.20319	0.59059	0.10757	0.39965	0.74821	0.9943	0.68941	1
AKAP8	4	3.4582	0.22264	0.46595	0.96267	0.82382	0.99608	1.4849	0.095627	0.65367	0.9943	0.92382	1
AKAP9	4	1.3942	0.54748	0.87858	0.99764	0.58405	0.99608	1.0289	0.40798	0.80914	0.9943	0.68329	1
AKR1A1	2	4.4525	0.06354	0.34857	0.96267	0.94934	0.99608	0.9042	0.012895	0.99014	0.9991	0.98971	1
AKR1B10	3	0.13558	1.466	0.62993	0.99511	0.14265	0.52303	0.020095	0.21421	0.5448	0.9943	0.83038	1
AKR1B1	5	3.3028	0.28589	0.4552	0.96267	0.77496	0.99608	1.0228	0.088499	0.77509	0.9943	0.92948	1
AKT1	2	-1.8885	-0.15194	0.57124	0.97403	0.87923	0.99608	3.0884	0.25295	0.11694	0.92557	0.80031	1
AKT2	3	0.35443	1.2846	0.90143	0.99764	0.19893	0.58575	0.062845	0.22098	0.69713	0.9943	0.82511	1
AKT3	4	0.27081	1.3587	0.80376	0.99511	0.17423	0.53892	0.027693	0.1373	0.60977	0.9943	0.8908	1
ALAS1	3	3.8051	0.14717	0.44848	0.96267	0.883	0.99608	0.36929	0.013987	0.89203	0.9943	0.98884	1
ALAS2	3	2.3877	0.34923	0.79973	0.99511	0.72692	0.99608	1.9537	0.28768	0.48835	0.99372	0.77359	1
ALDH18A1	3	5.2495	0.058823	0.086022	0.96267	0.95309	0.99608	1.3095	0.014176	0.79839	0.9943	0.98869	1
ALDH1A2	5	3.5235	0.22465	0.40143	0.96267	0.82225	0.99608	2.1418	0.13736	0.26882	0.97823	0.89074	1
ALDH1B1	3	0.13109	1.4764	0.59812	0.98821	0.13983	0.52303	0.012319	0.13676	0.46057	0.99043	0.89122	1
ALDH1L1	4	4.4451	0.13867	0.20072	0.96267	0.88971	0.99608	1.8148	0.056607	0.49194	0.99372	0.95486	1
ALDH3A1	4	2.7441	0.3882	0.58692	0.98422	0.69787	0.99608	-4.3215	-0.52444	0.02733	0.92557	0.59997	1
ALDH3A2	4	2.5411	0.36992	0.6129	0.99346	0.71145	0.99608	0.35358	0.051152	0.99462	0.9991	0.9592	1
ALDH3B1	2	3.877	0.10294	0.49462	0.96267	0.91801	0.99608	1.8706	0.049667	0.63082	0.9943	0.96039	1
ALDH4A1	4	0.37987	1.2387	0.931	0.99764	0.21546	0.59705	0.16146	0.51098	0.88799	0.9943	0.60936	1
ALDH5A1	5	4.1391	0.15954	0.2509	0.96267	0.87324	0.99608	1.6655	0.064161	0.50448	0.9943	0.94884	1
ALDH9A1	3	-2.0303	-0.63442	0.32572	0.96267	0.52581	0.99608	1.8794	0.60391	0.52912	0.9943	0.5459	1
ALK	2	4.1046	0.11442	0.43056	0.96267	0.90891	0.99608	0.53359	0.014867	0.86649	0.9943	0.98814	1
ALLC	2	3.6345	0.13315	0.54435	0.96352	0.89407	0.99608	1.4801	0.054196	0.76792	0.9943	0.95678	1
ALOX5	5	0.20911	1.9478	0.54928	0.96732	0.051444	0.47176	0.0069399	0.0638	0.1698	0.93333	0.94913	1
ALPI	3	5.5192	0.04056	0.042563	0.94231	0.96765	0.99608	2.6309	0.019322	0.18952	0.93333	0.98458	1
ALPK1	1	-2.8096	-2.0899	0.13889	0.96267	0.036628	0.46048	-4.4473	-3.3027	0.31541	0.97823	0.00095758	0.018268
ALPK2	1	-2.8027	-2.0981	0.14292	0.96267	0.035896	0.46048	-4.1606	-3.0997	0.44579	0.98521	0.0019369	0.034041
ALPK3	3	-2.2853	-1.1488	0.24059	0.96267	0.25062	0.61069	1.2616	0.67867	0.8181	0.9943	0.49735	1
ALPL	8	2.4431	0.34554	0.51299	0.96267	0.72969	0.99608	2.9059	0.41528	0.011201	0.92557	0.67794	1
ALPPL2	3	2.9598	0.33896	0.64606	0.99511	0.73464	0.99608	0.99244	0.11381	0.91487	0.9943	0.90939	1
AMHR2	3	0.16306	1.4425	0.72088	0.99511	0.14917	0.52303	0.029608	0.25837	0.61201	0.9943	0.79612	1
AMN	9	-2.5824	-1.8476	0.0098566	0.68889	0.064666	0.47793	1.5368	1.2491	0.42608	0.98521	0.21161	1
AMT	4	0.032981	0.092323	0.34767	0.96267	0.92644	0.99608	0.48115	1.1839	0.97177	0.99909	0.23647	1
AMY2A	2	4.9359	0.043671	0.22625	0.96267	0.96517	0.99608	2.1552	0.019068	0.51837	0.9943	0.98479	1
ANKK1	3	1.8522	0.61537	0.89785	0.99764	0.53831	0.99608	-0.039748	-0.013339	0.27823	0.97823	0.98936	1
ANXA2	5	0.30348	1.6893	0.81631	0.99511	0.09116	0.52303	0.042658	0.23473	0.71864	0.9943	0.81442	1
ANXA3	4	2.4711	0.39881	0.62634	0.99511	0.69004	0.99608	0.18396	0.029312	0.91487	0.9943	0.97662	1
ANXA5	3	2.4694	0.35271	0.77957	0.99511	0.72431	0.99608	1.4648	0.21228	0.73253	0.9943	0.83189	1
APCS	1	5.4052	0.024627	0.30108	0.96267	0.98035	0.99608	1.8101	0.0082473	0.91084	0.9943	0.99342	1
APOE	2	5.0989	0.038376	0.18145	0.96267	0.96939	0.99608	2.4084	0.018127	0.39695	0.98251	0.98554	1
APOH	8	1.8641	0.76047	0.60305	0.98826	0.44697	0.99608	1.0622	0.44285	0.62321	0.9943	0.65788	1
APRT	4	3.8014	0.19704	0.37858	0.96267	0.8438	0.99608	1.841	0.095424	0.47625	0.99253	0.92398	1
ARAF	5	0.13119	1.4693	0.27419	0.96267	0.14176	0.52303	0.030665	0.33846	0.57572	0.9943	0.73502	1
ARF1	4	-2.6135	-1.2469	0.096774	0.96267	0.21245	0.59705	1.6594	0.84942	0.56855	0.9943	0.39565	1
ARF6	3	-2.7205	-1.661	0.10439	0.96267	0.096712	0.52303	0.90287	0.61393	0.94355	0.9948	0.53926	1
ARHGAP26	2	2.1575	0.42245	0.84185	0.99764	0.6727	0.99608	-0.39716	-0.076228	0.34185	0.97823	0.93924	1
ARL1	2	4.6631	0.053583	0.30197	0.96267	0.95727	0.99608	1.3402	0.015388	0.82079	0.9943	0.98772	1
ARL3	4	0.19083	1.6359	0.60529	0.9883	0.10185	0.52303	0.022825	0.19308	0.53495	0.9943	0.84689	1
ARL5B	4	2.7038	0.4559	0.59274	0.98821	0.64846	0.99608	0.057234	0.0094179	0.75493	0.9943	0.99249	1
ARPC1B	3	0.1332	1.4753	0.61201	0.99346	0.14012	0.52303	0.0071719	0.078311	0.40009	0.98251	0.93758	1
ARPC2	4	0.13885	1.4697	0.44444	0.96267	0.14164	0.52303	0.013357	0.13936	0.37903	0.98251	0.88916	1
ARPC3	2	-2.4524	-0.93184	0.26389	0.96267	0.35142	0.8162	1.3483	0.56301	0.81676	0.9943	0.57343	1
ARPC4	1	-1.9741	-0.17459	0.69534	0.99511	0.8614	0.99608	2.5188	0.22222	0.57661	0.9943	0.82414	1
ARPC5	2	4.5389	0.058903	0.32661	0.96267	0.95303	0.99608	1.6397	0.02127	0.71237	0.9943	0.98303	1
ARSA	2	0.30595	1.2333	0.98208	0.99866	0.21746	0.59765	0.14521	0.56795	0.70654	0.9943	0.57007	1
ART1	1	-3.0681	-2.2682	0.070789	0.96267	0.023318	0.41305	-5.0926	-3.7641	0.054659	0.92557	0.00016713	0.0044408
ASGR2	5	4.7395	0.096263	0.10484	0.96267	0.92331	0.99608	0.82572	0.016636	0.83916	0.9943	0.98673	1
ASNA1	3	5.8156	0.030399	0.016129	0.73469	0.97575	0.99608	2.1696	0.011339	0.38889	0.98251	0.99095	1
ASRGL1	4	3.9002	0.15579	0.34946	0.96267	0.8762	0.99608	-0.45608	-0.017662	0.14382	0.93333	0.98591	1
ASS1	3	2.561	0.3697	0.75851	0.99511	0.7116	0.99608	1.6672	0.24963	0.62814	0.9943	0.80287	1
ATM	4	-2.024	-0.82474	0.22625	0.96267	0.40952	0.93461	1.6297	0.71762	0.58154	0.9943	0.47299	1
ATOX1	5	0.89157	0.4203	0.89382	0.99764	0.67426	0.99608	1.53	0.73564	0.57124	0.9943	0.46195	1
ATP1A1	5	0.13641	1.4685	0.29794	0.96267	0.14196	0.52303	0.025945	0.27528	0.49597	0.99372	0.7831	1
ATP2A1	2	-2.9981	-2.3538	0.045699	0.94495	0.018581	0.41096	0.11901	0.10536	0.68504	0.9943	0.91609	1
ATP2C1	3	0.16339	1.4322	0.72177	0.99511	0.15209	0.52303	0.037566	0.32483	0.63754	0.9943	0.74531	1
ATP4A	8	2.2633	0.7139	0.53719	0.96267	0.47529	0.99608	0.95778	0.30626	0.65502	0.9943	0.75941	1
ATP5A1	5	3.2711	0.26675	0.46595	0.96267	0.78966	0.99608	1.8026	0.14749	0.42876	0.98521	0.88274	1
ATP5C1	1	-2.5143	-1.8775	0.33154	0.96267	0.06045	0.47176	-5.6105	-4.2152	0.012097	0.92557	2.4953e-05	0.00074261
ATP6V1C1	1	-2.8274	-2.1315	0.12993	0.96267	0.033046	0.46048	-3.5043	-2.6229	0.72177	0.9943	0.0087184	0.1306
ATP8A1	4	-1.7225	-0.2497	0.27643	0.96267	0.80282	0.99608	2.7635	0.42514	0.086918	0.92557	0.67073	1
AURKAIP1	2	3.1674	0.18792	0.66622	0.99511	0.85094	0.99608	-4.2046	-0.21543	0.17966	0.93333	0.82943	1
AURKC	3	0.39597	1.2378	0.92921	0.99764	0.21579	0.59705	0.12954	0.39374	0.77599	0.9943	0.69377	1
AVPR1A	4	0.44291	1.2069	0.9879	0.99866	0.22747	0.60405	0.094722	0.25104	0.79973	0.9943	0.80179	1
AVPR1B	4	5.1979	0.06501	0.058692	0.96267	0.94817	0.99608	0.70175	0.0087236	0.91219	0.9943	0.99304	1
AVPR2	4	4.3432	0.10673	0.22491	0.96267	0.91501	0.99608	2.7314	0.067134	0.094982	0.92557	0.94648	1
AXL	3	-2.4493	-1.2858	0.17563	0.96267	0.1985	0.58529	-0.19466	-0.13617	0.24149	0.95406	0.89169	1
AZGP1	4	-3.1071	-1.6788	0.019265	0.78571	0.093193	0.52303	-0.65641	-0.48977	0.12052	0.92557	0.6243	1
B2M	7	0.22749	1.3958	0.4552	0.96267	0.16279	0.52468	0.049349	0.29887	0.8414	0.9943	0.76504	1
B4GALT1	3	-1.4259	-0.4603	0.45565	0.96267	0.6453	0.99608	1.775	0.61236	0.58423	0.9943	0.5403	1
B4GALT2	5	-2.0624	-1.1141	0.15726	0.96267	0.26525	0.63251	1.5074	0.8776	0.58065	0.9943	0.38016	1
B4GALT3	3	-2.4074	-3.7314	0.19041	0.96267	0.00019042	0.049702	-4.4479	-6.8922	0.050627	0.92557	5.4946e-12	1.1149e-09
B4GALT4	3	3.6845	0.18494	0.47312	0.96267	0.85328	0.99608	-4.3399	-0.19992	0.060484	0.92557	0.84154	1
BACE1	3	-2.9781	-2.7534	0.051075	0.95902	0.0058984	0.21582	-0.71252	-0.81462	0.14964	0.93333	0.41529	1
BAG1	5	2.4573	0.42588	0.62948	0.99511	0.67019	0.99608	1.6062	0.27959	0.53091	0.9943	0.77979	1
BAIAP2L1	3	-1.474	-0.23531	0.45116	0.96267	0.81397	0.99608	2.667	0.43143	0.17697	0.93333	0.66615	1
BBOX1	5	0.2159	1.9243	0.569	0.97243	0.054317	0.47176	0.0099724	0.087734	0.20744	0.93915	0.93009	1
BCAT2	4	3.8863	0.15809	0.35439	0.96267	0.87438	0.99608	0.33269	0.013352	0.9879	0.99909	0.98935	1
BCKDK	3	0.0026558	0.030369	0.50269	0.96267	0.97577	0.99608	0.13473	1.4666	0.78539	0.9943	0.14247	1
BCR	5	4.2609	0.13957	0.21909	0.96267	0.889	0.99608	2.6959	0.088325	0.076613	0.92557	0.92962	1
BDH1	7	0.17993	2.0011	0.24731	0.96267	0.045387	0.47176	0.040544	0.44471	0.67921	0.9943	0.65653	1
BDKRB2	3	2.1984	0.37423	0.83737	0.99764	0.70824	0.99608	1.9544	0.34317	0.4879	0.99372	0.73147	1
BEGAIN	4	4.0999	0.13308	0.29301	0.96267	0.89413	0.99608	2.567	0.083367	0.14606	0.93333	0.93356	1
BGLAP	2	3.6218	0.13584	0.54884	0.96732	0.89195	0.99608	-4.3996	-0.1448	0.12545	0.92557	0.88487	1
BHMT2	4	0.16569	1.4481	0.52688	0.96267	0.14759	0.52303	0.012273	0.10579	0.35573	0.97823	0.91575	1
BHMT	3	2.266	0.42376	0.82482	0.99515	0.67174	0.99608	1.4198	0.27072	0.75582	0.9943	0.78661	1
BLK	2	4.0393	0.090262	0.45161	0.96267	0.92808	0.99608	3.3976	0.076294	0.057796	0.92557	0.93919	1
BLVRA	8	2.6522	0.50948	0.48253	0.96267	0.61042	0.99608	1.7361	0.33668	0.34812	0.97823	0.73636	1
BLVRB	2	-1.9721	-0.26894	0.52867	0.96267	0.78797	0.99608	2.5676	0.35238	0.32392	0.97823	0.72455	1
BMP2K	1	-1.3765	-1.1239	0.93772	0.99764	0.26107	0.62791	-4.4797	-3.6802	0.29973	0.97823	0.00023301	0.0057787
BMPR1A	2	3.2761	0.16274	0.63799	0.99511	0.87072	0.99608	1.8349	0.091193	0.64427	0.9943	0.92734	1
BMPR1B	3	2.7057	0.17936	0.71998	0.99511	0.85766	0.99608	3.174	0.21146	0.043907	0.92557	0.83253	1
BMPR2	3	-2.0494	-1.1358	0.31989	0.96267	0.25606	0.62064	0.94942	0.61081	0.93235	0.9943	0.54133	1
BMX	4	3.3931	0.23033	0.48073	0.96267	0.81783	0.99608	0.53403	0.036019	0.95789	0.99767	0.97127	1
BPHL	4	2.7743	0.32809	0.58244	0.98115	0.74284	0.99608	2.0684	0.24497	0.35305	0.97823	0.80648	1
BPI	3	0.27428	1.3562	0.85797	0.99764	0.17504	0.53892	0.013166	0.06435	0.47222	0.9925	0.94869	1
BRAF	4	4.4774	0.094634	0.194	0.96267	0.92461	0.99608	2.6833	0.056721	0.10887	0.92557	0.95477	1
BRD2	6	5.2049	0.071458	0.014785	0.70213	0.94303	0.99608	2.3967	0.032892	0.12366	0.92557	0.97376	1
BRD3	5	3.3084	0.25366	0.45341	0.96267	0.79976	0.99608	1.56	0.11977	0.55376	0.9943	0.90467	1
