Gene	sgRNA	Lower|beta	Lower|z	Lower|p-value	Lower|fdr	Lower|wald-p-value	Lower|wald-fdr	Upper|beta	Upper|z	Upper|p-value	Upper|fdr	Upper|wald-p-value	Upper|wald-fdr
RIPK4	4	1.5176	0.68597	0.85842	0.99764	0.49273	0.99608	0.63715	0.29795	0.92832	0.9943	0.76574	1
RLBP1	2	-3.1583	-2.0812	0.019713	0.78571	0.037415	0.46048	0.6966	0.48614	0.93369	0.9943	0.62687	1
RNASE2	2	-1.862	-2.4415	0.57885	0.97953	0.014624	0.37093	-4.4065	-5.7817	0.12455	0.92557	7.3939e-09	5.5702e-07
RNASE3	1	5.0669	0.032444	0.40771	0.96267	0.97412	0.99608	-4.9703	-0.03198	0.077957	0.92557	0.97449	1
RNASE4	4	3.5179	0.21454	0.44803	0.96267	0.83013	0.99608	2.0083	0.1228	0.39158	0.98251	0.90226	1
RNASEL	3	-2.0377	-0.64277	0.32348	0.96267	0.52037	0.99608	1.8361	0.59606	0.54928	0.9943	0.55113	1
ROCK1	4	-2.6986	-1.5284	0.077509	0.96267	0.12641	0.52303	-1.1961	-0.88676	0.067652	0.92557	0.37521	1
ROCK2	4	0.33312	2.1637	0.88082	0.99764	0.030485	0.46048	0.017898	0.115	0.4543	0.98739	0.90845	1
ROR1	2	4.4266	0.067793	0.35349	0.96267	0.94595	0.99608	3.0919	0.047374	0.11649	0.92557	0.96222	1
ROR2	2	2.1884	0.29752	0.83781	0.99764	0.76607	0.99608	1.3374	0.18182	0.82258	0.9943	0.85572	1
RORA	3	0.018848	0.051392	0.53853	0.96267	0.95901	0.99608	0.48515	1.17	0.93638	0.9943	0.242	1
ROS1	3	2.8664	0.24615	0.67025	0.99511	0.80557	0.99608	1.9523	0.16939	0.49104	0.99372	0.86549	1
RPIA	1	5.6761	0.019288	0.22446	0.96267	0.98461	0.99608	4.1472	0.014092	0.035842	0.92557	0.98876	1
RPS6KA1	7	1.6487	0.5939	0.66756	0.99511	0.55258	0.99608	1.7738	0.66485	0.37679	0.98251	0.50614	1
RPS6KA2	3	0.1334	1.4745	0.6129	0.99346	0.14034	0.52303	0.0048736	0.053104	0.36201	0.97823	0.95765	1
RPS6KA3	4	0.45956	1.1911	0.99731	0.99866	0.23362	0.60412	0.15837	0.39957	0.8862	0.9943	0.68947	1
