	lower	lower	lower	lower	upper	upper	upper	upper
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1
	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene								
AADACL2	0.8668812065459899	-0.22991852899422227	1	1	0.33094927500753824	-9.103203948620553	1	1
AADAT	0.8377492101519326	4.571001096138414	4	4	0.90747603745455	-5.782507675385958	4	4
AAK1	0.9645762041869574	2.7474204487740583	5	5	0.4043070335442932	-1.9851977886132277	5	5
AANAT	0.1987584948761255	-1.7684987788575182	1	1	0.16246041591846205	-9.640942240455349	1	1
AARS			0	0			0	0
AARS2	0.2590454483955059	9.624610884158706	1	1	0.2590454483955059	1.6260291860819922	1	1
AASS	0.5131759747487218	3.514174073689603	3	3	0.3020083601199023	-1.3484715130669098	3	3
AATK	0.5596366575132491	-0.5555036072313166	3	3	0.3141784886638983	-5.644700969104874	3	3
ABAT	0.2208399916349133	9.883283849100431	9	9	0.7082615943102437	-10.323819873913303	9	9
ABCC2	0.9198896014368715	0.09302877825689393	1	1	0.37734133666578695	1.1583428139664182	1	1
ABCC8	0.496040435444444	3.9601144203050374	4	4	0.4549754338611368	-0.8884583483449658	4	4
ABCC9	0.6086684693571149	-0.6231007751886999	2	2	0.26001946800884035	1.2709147009770332	2	2
ABCE1	0.7348423790572112	-0.4815070048818173	2	2	0.6763444760601476	-2.8758786440912774	2	2
ABCG1	0.714801909064076	5.191971993211795	3	3	0.11331586596090351	1.2920151341158579	3	3
ABL1	0.4549754338611368	6.59601450786138	4	4	0.6459782297226009	-8.108026532268171	4	4
ABL2	0.2309870755193324	1.4316092628664905	7	7	0.40479627104039995	-4.95445913378514	7	7
ABO	0.22144744856880438	10.754316957171831	7	7	0.1367642152604042	-0.9487062340358284	7	7
ACACA	0.34218640129974376	9.462873026090831	1	1	0.1763288629373767	-9.561746112827157	1	1
ACACB	0.23915664194284558	2.3164170708027285	7	7	0.0839268482502651	-9.340467879833144	7	7
ACAD8	0.24590561263095378	-0.9920978482301823	3	3	0.9132157234932249	-2.450551811867259	3	3
ACADS	0.005372438535982447	12.97712807255288	4	4	0.08521399093182482	0.7577959212799549	4	4
ACADSB	0.014585588860104866	10.736909706768479	3	3	0.8324535573993369	-5.036904940172572	3	3
ACAN	0.8686233887448216	0.23620338824644405	2	2	0.5546943436543996	-2.763918444823975	2	2
ACAT1	0.846407252927595	3.3233007515076367	4	4	0.10972156292260397	-1.0291943866988686	4	4
ACAT2	0.08695581528256012	-1.5640150591310515	3	3	0.251162555499317	-6.190531483574884	3	3
ACCS	0.221289783784836	6.999278886993136	4	4	0.564899385905994	-3.947912935026809	4	4
ACE	0.23235362828534278	4.889722897568702	8	8	0.9291634095275655	-6.524762497664505	8	8
ACE2	0.12455673692313847	-1.7927163480943387	2	2	0.1407745381707792	-9.16600176772067	2	2
ACHE	0.7837596061078315	9.585616385872656	8	8	0.6962587080257816	-8.740835408200686	8	8
ACOT13	0.2565617992203223	9.52130233953987	4	4	0.8550838789849982	-5.590026915429096	4	4
ACOX1	0.8550838789849982	6.127450574532028	4	4	0.4286981716638256	-8.571738442943298	4	4
ACP1	0.5946601912841968	5.980407268645717	3	3	0.9642065588722244	-2.3375598013787195	3	3
ACP2	0.08741223813466364	-1.9110872835001276	2	2	0.5652998407776577	-4.39904075666808	2	2
ACP5	0.7659983951193399	10.618171908534743	8	8	0.13878365096672463	-1.2801056417645027	8	8
ACP6	0.03594551504804325	9.855285420710521	4	4	0.8637780629535432	-3.1100349023779827	4	4
ACPP	0.17209694551087673	-1.1450899552203377	3	3	0.339473173269047	-5.938988277236349	3	3
ACPT	0.1987584948761255	10.065339896105412	1	1	0.8144650044613553	0.4256525521451586	1	1
ACSL1	0.31647445496966875	-0.6263447803166331	4	4	0.46168373340046287	-9.098664352034376	4	4
ACSL3	0.6539456471479708	1.8916698702310952	4	4	0.20900281179923996	-8.543988978823927	4	4
ACSL4	0.4846924179863771	5.682405997516871	3	3	0.7340286013566418	-2.370064202323772	3	3
ACSS2	0.22816064334400843	-1.294984860153619	2	2	0.4355219180532939	0.4435876131115496	2	2
ACTA1	0.4696806180808295	5.816570964802371	6	6	0.19902503740123711	-10.370982052097949	6	6
ACTR2	0.09152880049589655	-2.958300276939733	1	1	0.08731445315988665	-10.831585696566064	1	1
ACVR1	0.4735190654767256	-0.6114588841107063	2	2	0.9184431438380081	-3.780048835668188	2	2
ACVR1B	0.5031728576348917	4.7724110609416215	2	2	0.28054944483051936	-8.609365532451534	2	2
ACVR1C	0.6197378089651657	-0.6105740024595843	2	2	0.7348423790572112	-3.3188989792654704	2	2
ACVR2A	0.1641829853786705	-1.1788117915835195	3	3	0.8726687190033349	-4.972519268679936	3	3
ACVR2B	0.5256452647439754	6.200666180956169	3	3	0.4229302614645546	0.9306462244096912	3	3
ACVRL1	0.27838646805000244	-1.603720076105823	1	1	0.5687370807561141	-7.891099131685943	1	1
ACY1	0.3330302479966122	6.236990928353343	3	3	0.6035700677590778	-1.8086900388518095	3	3
ACY3	0.7227668579495694	9.78405291673153	6	6	0.6501468039320514	-5.424860735037111	6	6
ACYP2	0.6035700677590778	-0.1102545839999592	3	3	0.6957545268767622	-2.0188760104722374	3	3
ADAM33	0.03497808159167655	-1.866114734658364	4	4	0.006152609886774605	-9.917797396512881	4	4
ADAMTS5	0.17512092078916863	7.558266689994511	4	4	0.846407252927595	-5.148607238813631	4	4
ADC	0.339473173269047	6.289351976358759	3	3	0.05365074361838078	-9.068799457031911	3	3
ADCK1	0.36650535521352146	9.82574878665813	5	5	0.42691798452323726	-8.846739642751608	5	5
ADCK2	0.44832238284022163	1.9568111654452285	4	4	0.5761781687565709	-5.664283688456034	4	4
ADCK3	0.37287612734146225	5.994454743813538	3	3	0.1681050025596873	1.1670597317052147	3	3
ADCK4	0.06768875857330095	-1.5667893218252698	3	3	0.44553304953071093	-5.661549890261042	3	3
ADCK5	0.9642065588722244	2.3378547439668003	3	3	0.5770232054055706	-5.390875801325798	3	3
ADH1B			0	0			0	0
ADH1C	0.3020083601199023	1.716637730266557	3	3	0.792672273526139	-0.008697303905509176	3	3
ADH4	0.6763444760601476	4.867773225007926	2	2	0.30215333471190553	-8.003678319030932	2	2
ADH5	0.1450722838391569	-1.534343193052159	2	2	0.8315870510040755	-4.031856583133942	2	2
ADK	0.8204929418465725	2.1941697326740397	4	4	0.7356651658540911	-5.460636100098956	4	4
ADORA1	0.5340431495343935	1.8694128782748198	3	3	0.9233921096059854	-2.3369041786478926	3	3
ADORA2A	0.18449805094016147	6.524140710564713	3	3	0.5340431495343935	-2.0059946703690428	3	3
ADORA2B	0.9744290538613658	2.312877012387469	3	3	0.8025714579867083	-2.687067280017299	3	3
ADORA3	0.8551263263657463	1.6543586320675148	5	5	0.4927669364245706	-3.2365605695986956	5	5
ADRA1A	0.46168373340046287	1.444378027611603	4	4	0.951455921838272	-5.409479979569839	4	4
ADRA1B	0.9602740100603963	5.570354740185391	4	4	0.7947731413669984	-3.003488315521006	4	4
ADRA1D	0.36406595694450095	6.029062786940227	4	4	0.3006989993864161	-1.309832114859782	4	4
ADRA2A	0.0893068701214869	-1.9479701502453832	4	4	0.24739793267946142	-9.487752816650435	4	4
ADRA2B	0.782794722694634	-0.34606282249126163	2	2	0.9811480471341884	-3.8026772843613497	2	2
ADRA2C	0.4450163403338052	-0.7131637510459328	4	4	0.6539456471479708	-4.392711071992733	4	4
ADRB1	0.08521399093182482	9.249602120185203	4	4	0.09355662146899714	1.1712837891270003	4	4
ADRB2	0.653394122471612	4.906850409755691	5	5	0.7446616863193456	-5.730706858059545	5	5
ADRB3	0.7558901951357487	6.605025387707113	5	5	0.010735033051598364	2.628417984819442	5	5
ADRBK1	0.6768971859550865	2.4508614628555727	3	3	0.9744290538613658	-2.5366777299368666	3	3
ADRBK2	0.9162537046444287	5.115091174232314	4	4	0.5030718809833215	-0.6103139425181965	4	4
ADSSL1	0.972444581173698	5.473867070232237	5	5	0.9960627447354083	-2.6078362918180105	5	5
AFG3L2			0	0			0	0
AGTR1	0.5510397247543231	-0.5885204310466859	3	3	0.8726687190033349	-5.0017724319985275	3	3
AGTR2	0.1207392324915107	-1.6449115060699473	2	2	0.07378013563161914	-9.518287553815533	2	2
AGXT	0.37287612734146225	-0.326556031938555	3	3	0.11626585036484173	-8.200017250633548	3	3
AGXT2	0.11004524521734775	-2.4031001797672378	1	1	0.8493319992005053	0.32816762968546687	1	1
