	Diff	Lower	Upper
	Rep1	Rep1	Rep1
sgId			
CHRM2_-_136553479.23-P1P2	802	1	1
CHRM2_-_136553862.23-P1P2	1381	6617	1932
CHRM4_+_46407764.23-P1P2	3179	3	2406
CHRM4_+_46408072.23-P1P2	0	0	0
CHRM4_+_46408103.23-P1P2	1611	4	0
CHRM4_+_46408115.23-P1P2	0	0	0
CHRM4_-_46408121.23-P1P2	0	0	0
CHRM5_+_34260704.23-P1P2	0	0	0
CHRM5_+_34261127.23-P1P2	1626	3173	3621
CHRM5_+_34261170.23-P1P2	0	0	0
CHRM5_+_34261347.23-P1P2	0	0	0
CHRM5_-_34261117.23-P1P2	1331	1	0
CHRNA10_+_3692257.23-ENST00000250699.2	0	0	0
CHRNA10_-_3692563.23-ENST00000250699.2	3591	5	1950
CHRNA10_-_3692566.23-ENST00000250699.2	2574	78	1944
CHRNA10_-_3692605.23-ENST00000250699.2	1205	1	1569
CHRNA10_-_3692638.23-ENST00000250699.2	885	0	1372
CHRNA1_+_175628734.23-P1P2	0	0	0
CHRNA1_+_175629161.23-P1P2	2726	6	5682
CHRNA1_-_175628781.23-P1P2	0	0	0
CHRNA1_-_175629142.23-P1P2	4753	2993	806
CHRNA1_-_175629149.23-P1P2	2070	2163	2
CHRNA2_+_27336305.23-P1P2	0	0	0
CHRNA2_+_27336330.23-P1P2	0	0	0
CHRNA2_-_27336407.23-P1P2	0	0	0
CHRNA2_-_27336502.23-P1P2	0	0	0
CHRNA2_-_27336543.23-P1P2	0	0	0
CHRNA3_+_78912882.23-P1P2	5728	4258	2522
CHRNA3_+_78913131.23-P1P2	3868	4	3557
CHRNA3_+_78913301.23-P1P2	2474	8004	1409
CHRNA3_-_78912872.23-P1P2	331	1938	2
CHRNA3_-_78913435.23-P1P2	1471	6	1456
CHRNA4_+_61992225.23-P1P2	0	0	0
CHRNA4_+_61992566.23-P1P2	2707	3	1
CHRNA4_+_61992587.23-P1P2	547	1	3746
CHRNA4_+_61992626.23-P1P2	4396	3	3
CHRNA4_+_61992634.23-P1P2	3288	4	1942
CHRNA5_+_78857876.23-P1P2	0	0	0
CHRNA5_+_78857951.23-P1P2	1342	2	0
CHRNA5_-_78857911.23-P1P2	4224	2	1026
CHRNA5_-_78857914.23-P1P2	3813	6927	2012
CHRNA5_-_78857923.23-P1P2	0	0	0
CHRNA6_-_42623374.23-P1P2	2326	5	2047
CHRNA6_-_42623377.23-P1P2	0	0	0
CHRNA6_-_42623731.23-P1P2	1157	6	3764
CHRNA6_-_42623756.23-P1P2	800	0	1
CHRNA6_-_42623769.23-P1P2	0	0	0
CHRNA7_+_32322752.23-P1P2	2503	9167	1425
CHRNA7_+_32322912.23-P1P2	1084	0	0
CHRNA7_+_32323079.23-P1P2	0	0	0
CHRNA7_+_32323159.23-P1P2	1309	1	1945
CHRNA7_-_32323125.23-P1P2	969	1539	3636
CHRNA9_+_40337357.23-P1P2	0	0	0
CHRNA9_+_40337570.23-P1P2	3075	9290	1211
CHRNA9_+_40337768.23-P1P2	0	0	0
CHRNA9_-_40337393.23-P1P2	5261	5558	3887
CHRNA9_-_40337555.23-P1P2	0	0	0
CHRNB1_-_7348409.23-P1P2	2680	1	2
CHRNB1_-_7348458.23-P1P2	7166	4715	3674
CHRNB1_-_7348808.23-P1P2	0	0	0
CHRNB1_-_7348837.23-P1P2	0	0	0
CHRNB1_-_7348933.23-P1P2	0	0	0
CHRNB2_+_154540730.23-P1P2	4931	9	1779
CHRNB2_-_154540333.23-P1P2	0	0	0
CHRNB2_-_154540371.23-P1P2	3844	4265	2
CHRNB2_-_154540703.23-P1P2	1326	7210	1930
CHRNB2_-_154540770.23-P1P2	501	0	2
CHRNB3_+_42552570.23-P1P2	0	0	0
CHRNB3_+_42552721.23-P1P2	0	0	0
CHRNB3_-_42552516.23-P1P2	0	0	0
CHRNB3_-_42552534.23-P1P2	2813	4	1489
CHRNB3_-_42552810.23-P1P2	0	0	0
CHRNB4_+_78933119.23-P1P2	0	0	0
CHRNB4_+_78933497.23-P1P2	2496	3	3537
CHRNB4_+_78933530.23-P1P2	0	0	0
CHRNB4_+_78933567.23-P1P2	3530	1	2
CHRNB4_-_78933202.23-P1P2	1704	1	1
CHRND_-_233390895.23-P1P2	1172	2	1720
CHRND_-_233390918.23-P1P2	1052	2	3
CHRND_-_233390951.23-P1P2	0	0	0
CHRND_-_233391275.23-P1P2	1071	1	69
CHRND_-_233391333.23-P1P2	835	2	0
CHRNE_+_4806299.23-P1P2	4606	7	3318
CHRNE_-_4805906.23-P1P2	523	2308	1
CHRNE_-_4805971.23-P1P2	0	0	0
CHRNE_-_4806328.23-P1P2	2497	9057	4
CHRNE_-_4806409.23-P1P2	0	0	0
CHRNG_+_233404878.23-P1P2	4047	14041	3
CHRNG_-_233404465.23-P1P2	1468	4	2
CHRNG_-_233404525.23-P1P2	1598	2	1643
CHRNG_-_233404859.23-P1P2	1040	0	1836
CHRNG_-_233404863.23-P1P2	0	0	0
CHUK_+_101988955.23-P1P2	514	2339	1648
CHUK_+_101989308.23-P1P2	2726	2569	2
CHUK_+_101989317.23-P1P2	4597	5	2418
CHUK_-_101989292.23-P1P2	0	0	0
CHUK_-_101989295.23-P1P2	3126	1	1519
CIB2_+_78423551.23-P1P2	2236	2	1
CIB2_+_78423672.23-P1P2	1228	1	2051
CIB2_-_78423608.23-P1P2	2496	1	2109
CIB2_-_78423715.23-P1P2	845	5464	3153
CIB2_-_78423718.23-P1P2	0	0	0
CIB3_+_16284224.23-ENST00000269878.4	0	0	0
CIB3_+_16284300.23-ENST00000269878.4	0	0	0
CIB3_-_16284159.23-ENST00000269878.4	1051	4448	1574
CIB3_-_16284312.23-ENST00000269878.4	728	2	1009
CIB3_-_16284326.23-ENST00000269878.4	833	0	3276
CINP_+_102829149.23-P1P2	0	0	0
CINP_+_102829180.23-P1P2	0	0	0
CINP_-_102829164.23-P1P2	0	0	0
CINP_-_102829679.23-P1P2	1369	2707	2176
CINP_-_102829702.23-P1P2	0	0	0
CIT_+_120315063.23-P1P2	0	0	0
CIT_+_120315100.23-P1P2	0	0	0
CIT_+_120315103.23-P1P2	0	0	0
CIT_-_120314748.23-P1P2	2265	3	2176
CIT_-_120314912.23-P1P2	1496	9726	912
CKB_+_103988681.23-P1P2	3462	2606	3029
CKB_+_103989130.23-P1P2	1773	2	2592
CKB_+_103989134.23-P1P2	2704	6	1226
CKB_-_103988726.23-P1P2	0	0	0
CKB_-_103988769.23-P1P2	4186	7	5580
CKMT1A_+_43985088.23-ENST00000434505.1	4487	5	1530
CKMT1A_+_43986155.23-ENST00000413453.2	3673	6674	1694
CKMT1A_+_43986181.23-ENST00000413453.2	1057	5636	2518
CKMT1A_+_43986191.23-ENST00000413453.2	0	0	0
CKMT1A_-_43985147.23-ENST00000434505.1	1618	890	1
CKMT1A_-_43985155.23-ENST00000434505.1	0	0	0
CKMT1A_-_43985329.23-ENST00000434505.1	1128	0	0
CKMT1A_-_43985510.23-ENST00000434505.1	1500	0	0
CKMT1A_-_43985748.23-ENST00000413453.2	1345	1	0
CKMT1A_-_43985782.23-ENST00000413453.2	0	0	0
CKMT1B_+_43885256.23-ENST00000300283.6	4487	5	1530
CKMT1B_+_43886076.23-ENST00000441322.1	3644	2	0
CKMT1B_+_43886104.23-ENST00000441322.1	1334	2	3406
CKMT1B_+_43886110.23-ENST00000441322.1	2221	5	3011
CKMT1B_+_43886511.23-ENST00000441322.1	0	0	0
CKMT1B_-_43885315.23-ENST00000300283.6	1618	890	1
CKMT1B_-_43885323.23-ENST00000300283.6	0	0	0
CKMT1B_-_43885497.23-ENST00000300283.6	1128	0	0
CKMT1B_-_43885678.23-ENST00000300283.6	1500	0	0
CKMT1B_-_43886093.23-ENST00000441322.1	0	0	0
CKMT2_+_80529359.23-P1P2	1088	5	4304
CKMT2_-_80529188.23-P1P2	0	0	0
CKMT2_-_80529200.23-P1P2	2880	1357	5
CKMT2_-_80529327.23-P1P2	1306	3	1704
CKMT2_-_80529402.23-P1P2	769	15920	2098
CKM_+_45822546.23-P2	3372	7411	1228
CKM_+_45822549.23-P2	0	0	0
CKM_+_45822737.23-P2	2030	3204	1836
CKM_+_45825712.23-P1	0	0	0
CKM_+_45825893.23-P1	862	2369	1
CKM_+_45826067.23-P1	5317	1	2296
CKM_-_45822967.23-P2	1377	2	3545
CKM_-_45822996.23-P2	1086	0	1658
CKM_-_45825740.23-P1	2515	2413	4
CKM_-_45826086.23-P1	1410	2	2
CKS2_+_91925760.23-P1P2	1611	5249	4
CKS2_+_91925796.23-P1P2	3213	3	1707
CKS2_+_91926515.23-P1P2	6577	5	5
CKS2_-_91926343.23-P1P2	1271	0	0
CKS2_-_91926551.23-P1P2	1320	3387	1
CLCN2_+_184078983.23-P1P2	1610	6	0
CLCN2_+_184079046.23-P1P2	6786	6	4261
CLCN2_+_184079122.23-P1P2	0	0	0
CLCN2_-_184079183.23-P1P2	3455	3776	5
CLCN2_-_184079348.23-P1P2	2144	2	2856
CLCNKA_+_16349005.23-P2	0	0	0
CLCNKA_+_16355002.23-P1	3650	5776	3524
CLCNKA_+_16355040.23-P1	0	0	0
CLCNKA_+_16355052.23-P1	1380	0	0
CLCNKA_+_16355070.23-P1	0	0	0
CLCNKA_-_16348573.23-P2	0	0	0
CLCNKA_-_16348583.23-P2	1803	2973	899
CLCNKA_-_16348633.23-P2	1088	2246	3
CLCNKA_-_16348753.23-P2	0	0	0
CLCNKA_-_16355446.23-P1	2505	2	2
CLC_+_40228273.23-P1P2	1470	2	0
CLC_+_40228277.23-P1P2	0	0	0
CLC_+_40228563.23-P1P2	0	0	0
CLC_+_40228670.23-P1P2	821	0	0
CLC_-_40228442.23-P1P2	945	0	0
CLEC3B_+_45067786.23-P1P2	5143	2536	2307
CLEC3B_+_45067835.23-P1P2	2985	5	6155
CLEC3B_+_45068274.23-P1P2	1328	2	1
CLEC3B_-_45067791.23-P1P2	1837	6774	1447
CLEC3B_-_45067868.23-P1P2	0	0	0
CLK1_+_201728942.23-P1P2	0	0	0
CLK1_+_201728945.23-P1P2	3250	4	1581
CLK1_+_201728988.23-P1P2	1114	15499	1798
CLK1_-_201729161.23-P1P2	0	0	0
CLK1_-_201729341.23-P1P2	719	5890	3
CLK2_+_155242888.23-P1P2	1415	6205	0
CLK2_+_155243222.23-P1P2	0	0	0
CLK2_+_155243267.23-P1P2	1328	2929	1742
CLK2_+_155243270.23-P1P2	3510	1	0
CLK2_+_155243273.23-P1P2	0	0	0
CLK3_+_74890844.23-P2	0	0	0
CLK3_+_74890865.23-P2	1193	1	3404
CLK3_+_74908222.23-P1	0	0	0
CLK3_+_74908403.23-P1	0	0	0
CLK3_+_74908610.23-P1	1050	5249	1842
CLK3_-_74890853.23-P2	0	0	0
CLK3_-_74890906.23-P2	1383	0	0
CLK3_-_74891315.23-P2	0	0	0
CLK3_-_74908201.23-P1	0	0	0
CLK3_-_74908249.23-P1	3843	3788	1787
CLK4_+_178053616.23-P1P2	2911	1	1
CLK4_+_178054000.23-P1P2	0	0	0
CLK4_+_178054052.23-P1P2	0	0	0
CLK4_-_178053564.23-P1P2	3621	5810	1518
CLK4_-_178053661.23-P1P2	1934	2	1943
CLPB_+_72145177.23-P1P2	1183	4734	1387
CLPB_+_72145509.23-P1P2	0	0	0
CLPB_+_72145538.23-P1P2	558	0	0
CLPB_+_72145548.23-P1P2	0	0	0
CLPB_-_72145578.23-P1P2	0	0	0
CLPP_+_6361975.23-P1P2	0	0	0
CLPP_-_6361603.23-P1P2	0	0	0
CLPP_-_6361609.23-P1P2	1396	4	958
CLPP_-_6361738.23-P1P2	475	1258	1718
CLPP_-_6361788.23-P1P2	1636	5381	1490
CLPS_-_35765033.23-P1P2	0	0	0
CLPS_-_35765047.23-P1P2	1070	2	0
CLPS_-_35765053.23-P1P2	1455	2	1
CLPS_-_35765088.23-P1P2	0	0	0
CLPS_-_35765091.23-P1P2	1663	4	5489
CLPX_+_65477605.23-P1P2	0	0	0
CLPX_-_65477238.23-P1P2	1096	5083	2997
CLPX_-_65477262.23-P1P2	1408	0	2
CLPX_-_65477273.23-P1P2	0	0	0
CLPX_-_65477612.23-P1P2	2141	2	2
CMA1_+_24977022.23-P1P2	0	0	0
CMA1_+_24977370.23-P1P2	0	0	0
CMA1_-_24977003.23-P1P2	1031	0	0
CMA1_-_24977210.23-P1P2	0	0	0
CMA1_-_24977472.23-P1P2	1039	2024	1282
CMAS_-_22199180.23-P1P2	3404	4694	3
CMAS_-_22199189.23-P1P2	2275	7252	3793
CMAS_-_22199201.23-P1P2	2938	2833	4
CMAS_-_22199218.23-P1P2	1137	1	2
CMAS_-_22199637.23-P1P2	604	1	1877
CMPK1_+_47799460.23-P1P2	543	5742	2638
CMPK1_+_47799533.23-P1P2	867	1856	1812
CMPK1_+_47799577.23-P1P2	1564	0	1440
CMPK1_+_47799589.23-P1P2	0	0	0
CMPK1_+_47799884.23-P1P2	0	0	0
CNKSR1_+_26504044.23-P1P2	0	0	0
CNKSR1_+_26504060.23-P1P2	2978	5111	0
CNKSR1_-_26504025.23-P1P2	0	0	0
CNKSR1_-_26504071.23-P1P2	2570	4108	1999
CNKSR1_-_26504158.23-P1P2	0	0	0
CNKSR3_+_154831262.23-P1P2	7721	2	3
CNKSR3_+_154831317.23-P1P2	0	0	0
CNKSR3_+_154831695.23-P1P2	0	0	0
CNKSR3_+_154831730.23-P1P2	1905	1	0
CNKSR3_+_154831733.23-P1P2	2229	6721	1227
CNR1_+_88875608.23-P1P2	0	0	0
CNR1_+_88875611.23-P1P2	0	0	0
CNR1_+_88876040.23-P1P2	0	0	0
CNR1_+_88876049.23-P1P2	3081	4	5947
CNR1_-_88875699.23-P1P2	0	0	0
CNR2_+_24239806.23-P1P2	1255	7149	2
CNR2_+_24239813.23-P1P2	1271	1	1575
CNR2_+_24239827.23-P1P2	1011	0	2
CNR2_-_24239369.23-P1P2	1401	5305	4
CNR2_-_24239824.23-P1P2	0	0	0
COL2A1_+_48398243.23-P1P2	645	17069	2377
COL2A1_-_48397828.23-P1P2	0	0	0
COL2A1_-_48398051.23-P1P2	0	0	0
COL2A1_-_48398156.23-P1P2	4095	2656	2516
COL2A1_-_48398202.23-P1P2	4826	4	4507
COMP_+_18901612.23-P1P2	1293	2867	1914
COMP_-_18902064.23-P1P2	1136	2615	1805
COMP_-_18902079.23-P1P2	0	0	0
COMP_-_18902082.23-P1P2	0	0	0
COMP_-_18902085.23-P1P2	0	0	0
COMTD1_+_76995169.23-P1P2	1687	1	1815
COMTD1_-_76995333.23-P1P2	109	0	2
COMTD1_-_76995490.23-P1P2	1627	4	1966
COMTD1_-_76995670.23-P1P2	2272	2	1340
COMTD1_-_76995693.23-P1P2	2414	4	2
COX5A_+_75230394.23-P1P2	0	0	0
COX5A_-_75229980.23-P1P2	0	0	0
COX5A_-_75230226.23-P1P2	0	0	0
COX5A_-_75230411.23-P1P2	1118	0	1
COX5A_-_75230432.23-P1P2	0	0	0
COX5B_+_98262102.23-P1P2	0	0	0
COX5B_+_98262901.23-P1P2	0	0	0
COX5B_+_98262928.23-P1P2	2183	4638	1
COX5B_+_98262943.23-P1P2	0	0	0
COX5B_-_98262552.23-P1P2	2236	0	0
COX6A2_+_31439590.23-P1P2	0	0	0
COX6A2_-_31439172.23-P1P2	623	4	3914
COX6A2_-_31439531.23-P1P2	0	0	0
COX6A2_-_31439627.23-P1P2	0	0	0
COX6A2_-_31439650.23-P1P2	0	0	0
COX7A1_+_36643313.23-P1P2	0	0	0
COX7A1_+_36643328.23-P1P2	0	0	0
COX7A1_+_36643337.23-P1P2	0	0	0
COX7A1_+_36643347.23-P1P2	550	6	947
COX7A1_+_36643368.23-P1P2	0	0	0
COX7B_+_77155209.23-P1P2	0	0	0
COX7B_+_77155376.23-P1P2	1744	3539	1
COX7B_+_77155383.23-P1P2	0	0	0
COX7B_-_77155002.23-P1P2	0	0	0
COX7B_-_77155090.23-P1P2	1788	2465	2
COX7C_+_85913816.23-P1P2	0	0	0
COX7C_+_85913832.23-P1P2	0	0	0
COX7C_+_85914209.23-P1P2	0	0	0
COX7C_-_85913960.23-P1P2	0	0	0
COX7C_-_85914143.23-P1P2	0	0	0
COX8A_+_63742101.23-P1P2	29	1	0
COX8A_+_63742123.23-P1P2	1609	1	3
COX8A_+_63742147.23-P1P2	0	0	0
COX8A_+_63742472.23-P1P2	4565	1	4
COX8A_+_63742532.23-P1P2	0	0	0
CPA1_+_130020387.23-P1P2	0	0	0
CPA1_+_130020777.23-P1P2	0	0	0
CPA1_-_130020369.23-P1P2	928	1	1
CPA1_-_130020579.23-P1P2	0	0	0
CPA1_-_130020584.23-P1P2	0	0	0
CPB1_+_148545587.23-P1P2	864	0	1
CPB1_+_148546004.23-P1P2	0	0	0
CPB1_+_148546025.23-P1P2	1185	0	0
CPB1_-_148545616.23-P1P2	1679	0	0
CPB1_-_148545662.23-P1P2	0	0	0
CPD_+_28705973.23-P1P2	4526	8	6773
CPD_+_28706022.23-P1P2	2821	2445	2940
CPD_-_28705985.23-P1P2	2350	2456	1
CPD_-_28706001.23-P1P2	0	0	0
CPD_-_28706033.23-P1P2	4024	2407	4900
CPE_+_166300703.23-P1P2	0	0	0
CPE_-_166300245.23-P1P2	2195	6	2669
CPE_-_166300260.23-P1P2	0	0	0
CPE_-_166300264.23-P1P2	870	3	1663
CPE_-_166300607.23-P1P2	3879	1	0
CPO_+_207804343.23-P1P2	1503	2	1588
CPO_+_207804464.23-P1P2	0	0	0
CPO_+_207804482.23-P1P2	0	0	0
CPO_-_207804267.23-P1P2	782	0	0
CPO_-_207804391.23-P1P2	1440	2606	1932
CPS1_+_211421342.23-P1P2	1454	1	0
CPS1_+_211421360.23-P1P2	671	0	1
CPS1_+_211421556.23-P1P2	2301	3	2184
CPS1_+_211421710.23-P1P2	0	0	0
CPS1_+_211421724.23-P1P2	2814	3	1841
CPT2_+_53662504.23-P1P2	0	0	0
CPT2_-_53662475.23-P1P2	0	0	0
CPT2_-_53662531.23-P1P2	0	0	0
CPT2_-_53662544.23-P1P2	1126	2546	1
CPT2_-_53662888.23-P1P2	1615	0	3
CP_+_148939169.23-P1P2	3312	2327	1
CP_+_148939524.23-P1P2	0	0	0
CP_+_148939586.23-P1P2	0	0	0
CP_-_148939198.23-P1P2	789	3	2083
CP_-_148939201.23-P1P2	0	0	0
CRAT_+_131872466.23-P1P2	0	0	0
CRAT_+_131872612.23-P1P2	0	0	0
CRAT_+_131872945.23-P1P2	2080	4629	110
CRAT_-_131872671.23-P1P2	0	0	0
CRAT_-_131872684.23-P1P2	98	1	3417
CRB2_+_126118494.23-P1	0	0	0
CRB2_+_126118497.23-P1	1613	1	0
CRB2_+_126118537.23-P1	363	273	1
CRB2_+_126131139.23-P2	0	0	0
CRB2_-_126118533.23-P1	5844	4	3349
CRB2_-_126118542.23-P1	5856	5945	905
CRB2_-_126131078.23-P2	0	0	0
CRB2_-_126131081.23-P2	4080	2056	1536
CRB2_-_126131448.23-P2	0	0	0
CRB2_-_126131454.23-P2	1016	0	0
CRH_+_67090521.23-P1P2	905	1	1
CRH_-_67090243.23-P1P2	1274	4090	6410
CRH_-_67090252.23-P1P2	1366	1	0
CRH_-_67090475.23-P1P2	2467	2135	2257
CRH_-_67090591.23-P1P2	1173	1	128
CROT_+_86974994.23-P1P2	0	0	0
CROT_+_86975004.23-P1P2	0	0	0
CROT_+_86975329.23-P1P2	896	0	0
CROT_+_86975420.23-P1P2	0	0	0
CROT_-_86975012.23-P1P2	0	0	0
CRP_+_159683917.23-P1P2	1322	4	3929
CRP_+_159684375.23-P1P2	1495	0	2012
CRP_+_159684386.23-P1P2	0	0	0
CRP_-_159683185.23-P1P2	2904	2	4
CRP_-_159684353.23-P1P2	2936	3	4
CRYBB1_+_27013623.23-P1P2	2969	0	0
CRYBB1_+_27013674.23-P1P2	0	0	0
CRYBB1_+_27013939.23-P1P2	0	0	0
CRYBB1_-_27013972.23-P1P2	2072	0	2
CRYBB1_-_27014053.23-P1P2	0	0	0
CRYZ_+_75198714.23-P1P2	679	1	1759
CRYZ_-_75198250.23-P1P2	1195	1	0
CRYZ_-_75198379.23-P1P2	0	0	0
CRYZ_-_75198654.23-P1P2	1402	0	1895
CRYZ_-_75198672.23-P1P2	0	0	0
CSAD_+_53574198.23-P1P2	1494	5051	4
CSAD_+_53574247.23-P1P2	1655	0	0
CSAD_+_53574400.23-P1P2	1197	1	186
CSAD_-_53574431.23-P1P2	0	0	0
CSAD_-_53574460.23-P1P2	2529	2	1
CSF1R_+_149466064.23-P1P2	0	0	0
CSF1R_+_149466139.23-P1P2	0	0	0
CSF1R_-_149465687.23-P1P2	0	0	0
CSF1R_-_149465864.23-P1P2	912	0	1
CSF1R_-_149466077.23-P1P2	0	0	0
CSF2RA_+_1387764.23-P1P2	1734	1	2
CSF2RA_-_1387717.23-P1P2	1379	0	1
CSF2RA_-_1387742.23-P1P2	0	0	0
CSF2RA_-_1387770.23-P1P2	4544	2300	421
CSF2RA_-_1388200.23-P1P2	0	0	0
CSF2RB_+_37309709.23-P1P2	2806	0	0
CSF2RB_+_37310056.23-P1P2	226	0	1
CSF2RB_-_37309724.23-P1P2	0	0	0
CSF2RB_-_37309900.23-P1P2	2396	6	1889
CSF2RB_-_37309916.23-P1P2	1406	2	1615
CSK_+_75074460.23-P1P2	1838	6487	1753
CSK_+_75074463.23-P1P2	4010	4	1268
CSK_+_75074484.23-P1P2	596	3901	1279
CSK_+_75074850.23-P1P2	0	0	0
CSK_+_75074929.23-P1P2	4390	3	4334
CSNK1A1L_+_37678717.23-P1P2	1094	0	0
CSNK1A1L_+_37679620.23-P1P2	864	3763	1393
CSNK1A1L_+_37679715.23-P1P2	4304	9553	5
CSNK1A1L_-_37679672.23-P1P2	1038	4744	1378
CSNK1A1L_-_37679730.23-P1P2	1453	1	1236
CSNK1A1_+_148930876.23-P1P2	0	0	0
CSNK1A1_+_148930955.23-P1P2	0	0	0
CSNK1A1_+_148930963.23-P1P2	0	0	0
CSNK1A1_+_148930972.23-P1P2	2502	3887	1
CSNK1A1_-_148930574.23-P1P2	0	0	0
CSNK1D_+_80230863.23-P1P2	2342	0	1715
CSNK1D_+_80230869.23-P1P2	0	0	0
CSNK1D_+_80231240.23-P1P2	0	0	0
CSNK1D_+_80231268.23-P1P2	0	0	0
CSNK1D_-_80230878.23-P1P2	3710	4	1767
CSNK1E_+_38712980.23-P1P2	3031	1	0
CSNK1E_+_38712985.23-P1P2	0	0	0
CSNK1E_+_38713028.23-P1P2	1383	2660	2
CSNK1E_+_38713240.23-P1P2	1562	4	3793
CSNK1E_-_38712904.23-P1P2	0	0	0
CSNK1G1_+_64647962.23-P1P2	3454	2	1
CSNK1G1_+_64648259.23-P1P2	4333	4	7845
CSNK1G1_-_64647905.23-P1P2	0	0	0
CSNK1G1_-_64647926.23-P1P2	3055	4369	2
CSNK1G1_-_64648302.23-P1P2	0	0	0
CSNK1G2_+_1941499.23-P1P2	1495	0	0
CSNK1G2_+_1941562.23-P1P2	822	2	1457
CSNK1G2_+_1941626.23-P1P2	861	4560	1622
CSNK1G2_-_1941178.23-P1P2	2710	3948	1220
CSNK1G2_-_1941181.23-P1P2	2067	5	2947
CSNK1G3_+_122848340.23-P1P2	0	0	0
CSNK1G3_-_122847913.23-P1P2	0	0	0
CSNK1G3_-_122847968.23-P1P2	1188	1	1984
CSNK1G3_-_122847980.23-P1P2	0	0	0
CSNK1G3_-_122848041.23-P1P2	0	0	0
CSNK2A1_+_524079.23-P1P2	1452	1301	3
CSNK2A1_+_524305.23-P1P2	1641	1	1
CSNK2A1_-_524311.23-P1P2	1421	2	2
CSNK2A1_-_524386.23-P1P2	0	0	0
CSNK2A1_-_524399.23-P1P2	0	0	0
CSNK2A2_+_58231580.23-P1P2	0	0	0
CSNK2A2_-_58231975.23-P1P2	1476	2	2
CSNK2A2_-_58232002.23-P1P2	2579	3	3220
CSNK2A2_-_58232005.23-P1P2	1397	6339	3387
CSNK2A2_-_58232041.23-P1P2	1058	0	0
CSNK2B_+_31633873.23-P1P2	1195	1	3
CSNK2B_+_31633923.23-P1P2	1700	1	2
CSNK2B_-_31634048.23-P1P2	0	0	0
CSNK2B_-_31634088.23-P1P2	1270	0	1
CSNK2B_-_31634099.23-P1P2	1593	6456	1715
CS_+_56693610.23-P1P2	1640	2	1589
CS_+_56693700.23-P1P2	0	0	0
CS_+_56693703.23-P1P2	1531	2127	2025
CS_+_56693904.23-P1P2	1448	3	2
CS_-_56694134.23-P1P2	0	0	0
CTDNEP1_+_7155258.23-P1P2	1501	2931	992
CTDNEP1_-_7154864.23-P1P2	0	0	0
CTDNEP1_-_7155050.23-P1P2	1917	4	1304
CTDNEP1_-_7155071.23-P1P2	2594	2	2
CTDNEP1_-_7155271.23-P1P2	1102	3	3
CTDP1_+_77439863.23-P1P2	1483	0	0
CTDP1_+_77439877.23-P1P2	603	2876	4
CTDP1_-_77439825.23-P1P2	2750	0	2
CTDP1_-_77439836.23-P1P2	2267	1	3206
CTDP1_-_77439882.23-P1P2	564	1	1
CTDSP1_+_219264658.23-P1P2	1109	1	1
CTDSP1_+_219264661.23-P1P2	0	0	0
CTDSP1_+_219264682.23-P1P2	3338	3019	972
CTDSP1_+_219264983.23-P1P2	0	0	0
CTDSP1_-_219265044.23-P1P2	0	0	0
CTDSP2_+_58240147.23-P1P2	0	0	0
CTDSP2_+_58240445.23-P1P2	3070	4717	3204
CTDSP2_+_58240467.23-P1P2	1250	0	3
CTDSP2_+_58240671.23-P1P2	0	0	0
CTDSP2_-_58240085.23-P1P2	1197	3	1513
CTDSPL_+_37903425.23-P1P2	0	0	0
CTDSPL_+_37903820.23-P1P2	746	1804	2952
CTDSPL_-_37903405.23-P1P2	4191	5156	5911
CTDSPL_-_37903769.23-P1P2	3237	8525	2932
CTDSPL_-_37903774.23-P1P2	2244	1	4713
CTH_+_70876932.23-P1P2	0	0	0
CTH_+_70876951.23-P1P2	1254	0	1
CTH_+_70876980.23-P1P2	2710	1	2
CTH_+_70876996.23-P1P2	0	0	0
CTH_-_70877335.23-P1P2	2867	0	2
CTLA4_+_204732673.23-P1P2	0	0	0
CTLA4_-_204732544.23-P1P2	1644	1	1382
CTLA4_-_204732923.23-P1P2	0	0	0
CTLA4_-_204732957.23-P1P2	1513	2344	1021
CTLA4_-_204733000.23-P1P2	0	0	0
CTNS_-_3540051.23-P1P2	1187	4	1834
CTNS_-_3540066.23-P1P2	1398	3662	1225
CTNS_-_3540097.23-P1P2	2546	4761	4
CTNS_-_3540100.23-P1P2	671	0	0
CTNS_-_3540452.23-P1P2	571	2331	0
CTRB1_+_75252936.23-P1P2	522	4	1435
CTRB1_+_75252951.23-P1P2	0	0	0
CTRB1_+_75252970.23-P1P2	0	0	0
CTRB1_+_75253108.23-P1P2	2785	0	2
CTRB1_-_75252897.23-P1P2	0	0	0
CTSF_+_66335640.23-P1P2	0	0	0
CTSF_+_66335996.23-P1P2	2464	1	0
CTSF_+_66335999.23-P1P2	2528	2990	3205
CTSF_+_66336004.23-P1P2	4076	2	4451
CTSF_-_66336011.23-P1P2	650	7859	3681
CTSG_+_25045383.23-P1P2	2913	0	2
CTSG_+_25045445.23-P1P2	1250	4958	4
CTSG_-_25045032.23-P1P2	472	0	0
CTSG_-_25045355.23-P1P2	1253	6807	1319
CTSG_-_25045396.23-P1P2	2549	5956	1847
CTSH_+_79237133.23-P1P2	0	0	0
CTSH_+_79237182.23-P1P2	0	0	0
CTSH_+_79237358.23-P1P2	748	4759	906
CTSH_-_79237212.23-P1P2	1207	2152	1
CTSH_-_79237366.23-P1P2	0	0	0
CTSK_+_150780359.23-P1P2	0	0	0
CTSK_-_150780713.23-P1P2	1381	4955	2
