	lower	upper
	Rep1	Rep1
sgId		
AADACL2_+_151451732.23-P1P2		
AADACL2_+_151451926.23-P1P2		
AADACL2_+_151452121.23-P1P2		
AADACL2_-_151451828.23-P1P2	-0.22991852899422227	-9.103203948620553
AADACL2_-_151451961.23-P1P2		
AADAT_+_171010904.23-P1P2	8.99240908605914	-7.497057564899069
AADAT_+_171010929.23-P1P2	-0.6400572288602255	-6.928380147765402
AADAT_+_171011392.23-P1P2	-2.09278174550154	1.2138923678877456
AADAT_-_171011321.23-P1P2		
AADAT_-_171011368.23-P1P2	6.813375947857644	-2.9220853134934
AAK1_+_69870290.23-P1P2	9.40188633476012	1.389410633143562
AAK1_+_69870701.23-P1P2	0.4619121524514842	1.97287085506823
AAK1_-_69870541.23-P1P2	-0.3014717900192547	-0.12627033565325113
AAK1_-_69870791.23-P1P2	0.2797724224557907	1.5663583396078478
AAK1_-_69870794.23-P1P2	-1.6215371408894281	-9.494822560515761
AANAT_+_74463718.23-P1P2		
AANAT_+_74463735.23-P1P2		
AANAT_+_74464088.23-P1P2	-1.7684987788575182	-9.640942240455349
AANAT_-_74464175.23-P1P2		
AANAT_-_74464185.23-P1P2		
AARS2_+_44280650.23-P1P2	9.624610884158706	1.6260291860819922
AARS2_+_44281006.23-P1P2		
AARS2_+_44281027.23-P1P2		
AARS2_+_44281044.23-P1P2		
AARS2_+_44281056.23-P1P2		
AARS_+_70323318.23-P1P2		
AARS_+_70323322.23-P1P2		
AARS_+_70323353.23-P1P2		
AARS_+_70323362.23-P1P2		
AARS_-_70323332.23-P1P2		
AASS_+_121784000.23-P1P2		
AASS_+_121784219.23-P1P2	10.587923985816946	1.775733163437454
AASS_+_121784247.23-P1P2		
AASS_-_121784277.23-P1P2	1.1672976931973782	3.2648371749336627
AASS_-_121784328.23-P1P2	-1.212699457945515	-9.085984877571846
AATK_+_79139571.23-ENST00000326724.4	-1.4693269273462715	-9.342612346972603
AATK_+_79139589.23-ENST00000326724.4		
AATK_+_79139592.23-ENST00000326724.4	-0.8275406016868434	-0.3485618480548542
AATK_-_79139586.23-ENST00000326724.4		
AATK_-_79139956.23-ENST00000326724.4	0.6303567073391649	-7.242928712287167
ABAT_+_8768492.23-P1	10.4969326064315	0.18311034507018648
ABAT_+_8768682.23-P1	-1.637294326564998	-9.51150130166239
ABAT_+_8807445.23-P2	9.400974331561702	2.860693066196385
ABAT_+_8807450.23-P2	-2.7573027585169516	-10.630588178143284
ABAT_+_8807464.23-P2	-2.9560847223079048	-10.829370141934236
ABAT_+_8807492.23-P2		
ABAT_+_8807696.23-P2	-0.9003287323987923	1.9384828990624217
ABAT_-_8768504.23-P1	-1.9809972922733916	0.12085849340385701
