Gene	sgRNA	Lower|beta	Lower|z	Lower|p-value	Lower|fdr	Lower|wald-p-value	Lower|wald-fdr	Upper|beta	Upper|z	Upper|p-value	Upper|fdr	Upper|wald-p-value	Upper|wald-fdr
CRB2	6	2.8485	0.40127	0.50739	0.96351	0.68822	0.99584	0.35254	0.048992	0.86655	0.99612	0.96093	1
CRH	5	0.16353	1.917	0.382	0.96351	0.055238	0.45508	0.040265	0.46556	0.74026	0.99612	0.64153	1
CROT	1	-2.3105	-1.7602	0.41558	0.96351	0.078367	0.49155	-4.3272	-3.2961	0.37886	0.96571	0.00098053	0.018875
CRP	4	0.0034226	0.038198	0.31348	0.96351	0.96953	0.99584	0.18225	1.937	0.91043	0.99612	0.052748	0.72708
CRYBB1	2	-3.3357	-3.6802	0.0094044	0.70588	0.00023307	0.050667	-4.4687	-4.8874	0.13121	0.96571	1.022e-06	4.1492e-05
CRYZ	3	-2.1913	-0.50186	0.27049	0.96351	0.61577	0.99584	2.1448	0.51236	0.38379	0.96571	0.6084	1
CSAD	4	0.13336	1.4767	0.40081	0.96351	0.13974	0.50888	0.00085895	0.0093773	0.21899	0.96571	0.99252	1
CSF1R	1	-2.318	-1.7781	0.41424	0.96351	0.075381	0.48602	-3.6659	-2.7986	0.68025	0.99612	0.0051326	0.080148
CSF2RA	3	1.4431	0.77423	0.92476	0.99483	0.43879	0.96373	-1.9776	-0.91319	0.1133	0.96571	0.36114	1
CSF2RB	4	-2.006	-1.3417	0.24048	0.96351	0.17969	0.52983	1.1367	0.82914	0.78773	0.99612	0.40703	1
CSK	4	0.24489	1.8969	0.74429	0.99211	0.057842	0.45508	0.03575	0.27358	0.66189	0.99612	0.78441	1
CSNK1A1L	5	4.5473	0.11636	0.12494	0.96351	0.90737	0.99584	1.477	0.037633	0.58979	0.99172	0.96998	1
CSNK1A1	1	4.9445	0.035814	0.42409	0.96351	0.97143	0.99584	-4.6824	-0.034081	0.22884	0.96571	0.97281	1
CSNK1D	2	-2.4453	-0.70101	0.28348	0.96351	0.4833	0.99584	1.9339	0.5565	0.60278	0.99484	0.57787	1
CSNK1E	3	0.37999	1.2318	0.9167	0.99483	0.21801	0.57496	0.12101	0.38135	0.78549	0.99612	0.70295	1
CSNK1G1	3	0.49766	1.1102	0.95835	0.99861	0.26692	0.61894	0.20825	0.45376	0.88133	0.99612	0.65	1
CSNK1G2	5	3.5436	0.21595	0.39633	0.96351	0.82903	0.99584	2.071	0.12646	0.30228	0.96571	0.89937	1
CSNK1G3	1	-1.5127	-0.081987	0.99015	0.99955	0.93466	0.99584	2.9797	0.16097	0.31751	0.96571	0.87212	1
CSNK2A1	3	1.8953	0.56315	0.88043	0.99483	0.57333	0.99584	-4.6079	-1.0797	0.028213	0.9403	0.28029	1
CSNK2A2	4	0.20442	1.4124	0.62382	0.98316	0.15783	0.50888	0.026161	0.17844	0.56113	0.98776	0.85838	1
CSNK2B	4	0.16038	1.453	0.49933	0.96351	0.14623	0.50888	0.0065823	0.058823	0.25481	0.96571	0.95309	1
CS	3	2.2798	0.3936	0.80743	0.99211	0.69388	0.99584	1.3554	0.23776	0.74653	0.99612	0.81207	1
CTDNEP1	4	1.6311	0.66258	0.83968	0.99211	0.5076	0.99584	0.099231	0.041108	0.79848	0.99612	0.96721	1
