Gene	sgRNA	Lower|beta	Lower|z	Lower|p-value	Lower|fdr	Lower|wald-p-value	Lower|wald-fdr	Upper|beta	Upper|z	Upper|p-value	Upper|fdr	Upper|wald-p-value	Upper|wald-fdr
DYRK4	2	5.045	0.080336	0.20242	0.96351	0.93597	0.99584	1.4348	0.022844	0.77833	0.99612	0.98177	1
EARS2	2	-1.0202	-0.063106	0.74205	0.99211	0.94968	0.99584	3.3758	0.209	0.058218	0.96571	0.83445	1
ECE1	3	5.0692	0.056534	0.11509	0.96351	0.95492	0.99584	1.7824	0.019876	0.55038	0.98776	0.98414	1
EDA	2	5.1163	0.038422	0.18719	0.96351	0.96935	0.99584	2.1104	0.015847	0.53336	0.98512	0.98736	1
EEA1	3	0.80357	0.72748	0.9476	0.99483	0.46693	0.99584	-1.4814	-1.3077	0.11957	0.96571	0.19097	1
EEF2K	3	4.4112	0.098804	0.26556	0.96351	0.92129	0.99584	2.1991	0.049256	0.35737	0.96571	0.96071	1
EEF2	5	1.902	0.47676	0.6798	0.99211	0.63353	0.99584	1.8723	0.48741	0.39767	0.96838	0.62597	1
EFNB2	4	-2.0682	-0.80113	0.23063	0.96351	0.42306	0.93626	-0.76623	-0.32177	0.09897	0.96571	0.74762	1
EFTUD1	1	-2.925	-2.1712	0.084192	0.96351	0.029913	0.43963	-4.9418	-3.6677	0.10031	0.96571	0.00024477	0.0057533
EGFR	3	4.7898	0.089925	0.17197	0.96351	0.92835	0.99584	2.2882	0.042959	0.32423	0.96571	0.96573	1
EGLN1	3	0.26721	1.9106	0.84416	0.99211	0.056059	0.45508	0.03302	0.23341	0.62472	0.99612	0.81544	1
EGLN2	5	0.32561	1.8504	0.86655	0.99483	0.064249	0.4643	0.017098	0.096104	0.33274	0.96571	0.92344	1
EGLN3	5	0.33805	1.6738	0.88625	0.99483	0.094174	0.50888	0.03464	0.16967	0.67309	0.99612	0.86527	1
EHHADH	4	-2.6777	-4.4363	0.084639	0.96351	9.1526e-06	0.0068126	-4.9932	-8.3517	0.0053739	0.8	6.7285e-17	1.5025e-13
EIF2AK1	5	-2.7392	-2.3736	0.050157	0.90299	0.017615	0.3876	0.46431	0.48977	0.89386	0.99612	0.6243	1
EIF2AK2	2	3.5671	0.12734	0.55889	0.96594	0.89867	0.99584	1.7185	0.061349	0.68473	0.99612	0.95108	1
EIF2AK3	4	4.2231	0.14089	0.25437	0.96351	0.88796	0.99584	2.0492	0.068365	0.3605	0.96571	0.9455	1
EIF2AK4	4	4.4713	0.11199	0.18943	0.96351	0.91083	0.99584	1.032	0.025637	0.82983	0.99612	0.97955	1
ELANE	4	3.1922	0.24782	0.53426	0.96351	0.80427	0.99584	1.4073	0.10951	0.67622	0.99612	0.91279	1
ELOVL4	3	3.3885	0.19466	0.53336	0.96351	0.84566	0.99584	1.1707	0.066779	0.82356	0.99612	0.94676	1
ELSPBP1	4	0.15326	1.4526	0.48231	0.96351	0.14632	0.50888	0.021711	0.20295	0.49172	0.98512	0.83917	1
EN2	4	2.105	0.5116	0.72817	0.99211	0.60893	0.99584	1.2198	0.30563	0.75907	0.99612	0.75988	1
ENO3	8	0.39429	2.2643	0.94805	0.99483	0.023556	0.39484	0.035053	0.19924	0.4326	0.97525	0.84208	1
ENOPH1	3	1.947	0.35201	0.87282	0.99483	0.72483	0.99584	1.8334	0.33575	0.52799	0.98512	0.73706	1
ENPEP	2	-3.4217	-2.7761	0.0067174	0.69231	0.0055021	0.20141	-0.004607	-0.0041753	0.40797	0.97525	0.99667	1
ENPP1	2	-0.53208	-0.0082157	0.75325	0.99211	0.99344	0.99734	4.6242	0.072502	0.0022391	0.71429	0.9422	1
ENPP2	4	0.96103	0.75872	0.92387	0.99483	0.44802	0.97793	-0.11136	-0.092209	0.16928	0.96571	0.92653	1
ENPP3	6	0.1915	1.8805	0.37394	0.96351	0.060043	0.45508	0.053581	0.51918	0.86655	0.99612	0.60363	1
EPHA10	7	4.1461	0.18637	0.17779	0.96351	0.85216	0.99584	1.4072	0.063024	0.53381	0.98512	0.94975	1
EPHA1	3	5.6258	0.038922	0.033139	0.89189	0.96895	0.99584	0.25767	0.0017727	0.89521	0.99612	0.99859	1
EPHA2	4	-2.8808	-3.0995	0.046574	0.90244	0.0019385	0.11884	0.16549	0.21409	0.89207	0.99612	0.83048	1
EPHA3	3	1.9501	0.42394	0.87192	0.99483	0.67161	0.99584	0.93571	0.20407	0.90999	0.99612	0.8383	1
EPHA4	5	0.18016	1.4337	0.4438	0.96351	0.15164	0.50888	0.022072	0.1733	0.43036	0.97525	0.86241	1
EPHA5	4	2.2556	0.3476	0.68786	0.99211	0.72814	0.99584	2.0669	0.32606	0.35155	0.96571	0.74438	1
EPHA6	3	0.13724	1.4534	0.6086	0.98265	0.14612	0.50888	0.0243	0.25376	0.57815	0.98776	0.79968	1
EPHA7	4	0.003756	0.049282	0.31438	0.96351	0.96069	0.99584	0.11881	1.484	0.82759	0.99612	0.1378	1
EPHA8	5	0.19	1.4679	0.47559	0.96351	0.14212	0.50888	0.044367	0.33826	0.77564	0.99612	0.73517	1
EPHB1	4	4.4458	0.09452	0.1957	0.96351	0.9247	0.99584	2.6362	0.056049	0.13435	0.96571	0.9553	1
EPHB2	4	4.3421	0.11439	0.22347	0.96351	0.90893	0.99584	-0.6487	-0.016701	0.11017	0.96571	0.98668	1
EPHB3	2	4.2206	0.10065	0.41379	0.96351	0.91983	0.99584	0.12355	0.0029409	0.71249	0.99612	0.99765	1
EPHB4	3	0.16011	1.4457	0.69458	0.99211	0.14825	0.50888	0.02713	0.24169	0.59561	0.99484	0.80902	1
EPHB6	5	0.90496	0.62485	0.87774	0.99483	0.53207	0.99584	0.80217	0.58793	0.81639	0.99612	0.55658	1
EPHX2	4	0.46454	1.1926	0.99283	0.99955	0.23301	0.57945	0.14286	0.35735	0.85983	0.99612	0.72083	1
EPM2A	4	0.20511	1.9741	0.62562	0.98316	0.048365	0.45508	0.023247	0.22089	0.51858	0.98512	0.82518	1
EPN1	5	0.31121	1.7307	0.84057	0.99211	0.083506	0.50397	0.070142	0.38571	0.85356	0.99612	0.69971	1
EPOR	7	0.48388	2.2231	0.87013	0.99483	0.02621	0.41237	0.035099	0.15981	0.53157	0.98512	0.87303	1
EPRS	1	-0.052034	-0.060481	0.70667	0.99211	0.95177	0.99584	-2.0683	-2.4036	0.87953	0.99612	0.016234	0.23387
EPS8L1	5	0.52377	1.5297	0.9391	0.99483	0.1261	0.50888	0.18064	0.51466	0.97492	0.99774	0.60679	1
EPX	1	4.684	0.044067	0.4944	0.96351	0.96485	0.99584	1.8087	0.017016	0.90551	0.99612	0.98642	1
ERBB2	4	4.2422	0.12119	0.24989	0.96351	0.90354	0.99584	1.7732	0.050548	0.4944	0.98512	0.95969	1
ERBB3	2	2.8985	0.20615	0.70264	0.99211	0.83667	0.99584	2.0733	0.14756	0.54456	0.98701	0.88269	1
ERBB4	4	-2.902	-2.7428	0.043439	0.89189	0.0060924	0.21594	0.4805	0.49657	0.98388	0.99774	0.61949	1
ERN1	4	2.5936	0.48339	0.62293	0.98316	0.62882	0.99584	-0.083705	-0.015202	0.17197	0.96571	0.98787	1
ERN2	3	0.35322	1.2926	0.89342	0.99483	0.19613	0.56294	0.041198	0.14632	0.65607	0.99612	0.88367	1
ERO1LB	4	4.4516	0.12067	0.19525	0.96351	0.90395	0.99584	1.6849	0.045666	0.53829	0.98701	0.96358	1
ESD	4	0.54724	0.65163	0.95074	0.99671	0.51464	0.99584	-1.8305	-2.0741	0.043887	0.96571	0.038068	0.54491
ESRRG	12	0.39009	2.523	0.77206	0.99211	0.011637	0.31901	0.024932	0.15956	0.035378	0.96571	0.87323	1
ETFDH	4	3.1865	0.26811	0.53426	0.96351	0.78862	0.99584	1.9405	0.16392	0.4129	0.97525	0.86979	1
ETNK1	4	0.22145	1.9225	0.67801	0.99211	0.054549	0.45508	0.0257	0.22033	0.55441	0.98776	0.82562	1
ETNK2	2	0.12102	1.4833	0.82714	0.99211	0.13798	0.50888	0.0074992	0.090637	0.52933	0.98512	0.92778	1
EXTL2	4	0.17081	1.4419	0.52844	0.96351	0.14932	0.50888	0.016391	0.13651	0.40931	0.97525	0.89142	1
F10	2	-1.8352	-2.3765	0.58979	0.97773	0.017478	0.3876	-4.2623	-5.528	0.17913	0.96571	3.2385e-08	2.4105e-06
F11	1	4.505	0.050837	0.5356	0.96351	0.95946	0.99584	-4.5476	-0.051486	0.29736	0.96571	0.95894	1
F13A1	4	1.8914	0.50952	0.77698	0.99211	0.61039	0.99584	1.254	0.34624	0.74295	0.99612	0.72916	1
F2R	3	2.847	0.25186	0.65652	0.98455	0.80115	0.99584	2.2557	0.20072	0.33766	0.96571	0.84092	1
F2	2	6.4116	0.01846	0.0080609	0.69231	0.98527	0.99584	2.2065	0.0063526	0.49172	0.98512	0.99493	1
F3	8	0.53462	2.0695	0.74698	0.99211	0.038499	0.44544	0.045497	0.17462	0.69951	0.99612	0.86138	1
F5	4	0.597	1.3819	0.94357	0.99483	0.16699	0.51127	0.2069	0.46874	0.92969	0.99767	0.63926	1
F7	3	3.9295	0.15435	0.39319	0.96351	0.87733	0.99584	0.96649	0.0376	0.89655	0.99612	0.97001	1
F9	2	-2.9129	-3.6067	0.076131	0.96351	0.00031008	0.050667	-4.2571	-5.2665	0.18092	0.96571	1.3905e-07	7.3357e-06
FAAH	4	-2.8511	-1.6279	0.053292	0.90299	0.10354	0.50888	-1.1502	-0.82507	0.064039	0.96571	0.40933	1
FABP6	3	2.4573	0.29484	0.75862	0.99211	0.76811	0.99584	2.1225	0.25533	0.39275	0.96692	0.79847	1
FADS1	3	4.2694	0.11482	0.29691	0.96351	0.90859	0.99584	0.92019	0.024531	0.9167	0.99612	0.98043	1
FADS2	7	4.8397	0.10942	0.03717	0.89189	0.91287	0.99584	2.0579	0.046515	0.23735	0.96571	0.9629	1
FAH	5	4.1874	0.15655	0.22257	0.96351	0.8756	0.99584	1.0064	0.037501	0.75549	0.99612	0.97009	1
FARS2	2	3.1372	0.21016	0.65293	0.98316	0.83354	0.99584	-5.0269	-0.29076	0.025078	0.92063	0.77124	1
FARSA	2	-2.5745	-0.91895	0.21182	0.96351	0.35812	0.80776	1.3348	0.53976	0.81057	0.99612	0.58936	1
FASTK	2	0.23656	1.3881	0.98657	0.99909	0.1651	0.51044	3.3367e-05	0.00019353	0.45723	0.97525	0.99985	1
FBP1	5	3.7324	0.25481	0.34841	0.96351	0.79887	0.99584	2.38	0.16334	0.16525	0.96571	0.87025	1
FBP2	2	0.22542	1.3961	0.99642	0.99955	0.16267	0.50888	0.014503	0.088768	0.57412	0.98776	0.92927	1
FCER1A	1	6.1456	0.013321	0.089118	0.96351	0.98937	0.99584	3.1063	0.0067332	0.26377	0.96571	0.99463	1
FCER1G	4	0.49996	1.1673	0.9579	0.99861	0.24311	0.58291	0.095535	0.21754	0.7931	0.99612	0.82779	1
FCGR1B	3	3.5225	0.13505	0.50246	0.96351	0.89257	0.99584	3.1123	0.11958	0.046574	0.96571	0.90482	1
FCGR3A	2	5.1238	0.046551	0.18674	0.96351	0.96287	0.99584	-3.0979	-0.027162	0.29825	0.96571	0.97833	1
FCGR3B	2	-1.6641	-0.13505	0.64532	0.98316	0.89257	0.99584	3.1008	0.25124	0.11778	0.96571	0.80163	1
FCRL2	3	0.19973	1.4192	0.77698	0.99211	0.15585	0.50888	0.012203	0.085606	0.44335	0.97525	0.93178	1
FDX1	3	6.4408	0.02024	0.0013435	0.66667	0.98385	0.99584	2.4728	0.0077603	0.24541	0.96571	0.99381	1
FDXR	2	-3.3256	-2.3723	0.0098522	0.70588	0.017676	0.3876	0.46406	0.3514	0.86834	0.99612	0.72529	1
FECH	2	0.40551	1.241	0.93551	0.99483	0.2146	0.57496	0.077055	0.2299	0.67891	0.99612	0.81817	1
FER	3	-2.8476	-1.0695	0.068518	0.95031	0.28487	0.65714	1.661	0.67618	0.60546	0.99485	0.49893	1
FES	5	2.1998	0.58308	0.65025	0.98316	0.55984	0.99584	0.97659	0.26236	0.76355	0.99612	0.79304	1
FFAR1	4	4.3004	0.11665	0.23466	0.96351	0.90714	0.99584	1.3093	0.035289	0.7219	0.99612	0.97185	1
FGA	2	0.15016	1.4592	0.91267	0.99483	0.14452	0.50888	0.007205	0.069084	0.52754	0.98512	0.94492	1
FGB	3	2.0789	0.4708	0.8455	0.99212	0.63778	0.99584	0.90512	0.20857	0.92118	0.99709	0.83479	1
FGF4	3	2.5994	0.26146	0.721	0.99211	0.79374	0.99584	2.2442	0.22667	0.3408	0.96571	0.82068	1
FGFR1	3	4.6839	0.089497	0.19391	0.96351	0.92869	0.99584	2.5957	0.049597	0.19033	0.96571	0.96044	1
FGFR2	5	0.27007	1.884	0.75101	0.99211	0.059566	0.45508	0.049721	0.34275	0.80609	0.99612	0.73178	1
FGFR3	4	-2.3085	-1.3125	0.17913	0.96351	0.18935	0.54971	1.4257	0.87493	0.66906	0.99612	0.38161	1
FGFR4	4	4.3246	0.10219	0.2266	0.96351	0.9186	0.99584	2.1826	0.051572	0.30811	0.96571	0.95887	1
FGGY	2	5.7772	0.031258	0.0618	0.92105	0.97506	0.99584	-3.1248	-0.016773	0.29781	0.96571	0.98662	1
FGG	2	0.003518	0.016449	0.794	0.99211	0.98688	0.99584	0.31693	1.3097	0.80072	0.99612	0.1903	1
FGR	4	0.38096	1.2368	0.91715	0.99483	0.21618	0.57496	0.15644	0.49304	0.87864	0.99612	0.62198	1
FLT1	4	0.15265	1.4812	0.47962	0.96351	0.13856	0.50888	0.017097	0.16362	0.42096	0.97525	0.87003	1
FLT3LG	4	4.6533	0.099258	0.14734	0.96351	0.92093	0.99584	2.0972	0.044717	0.33632	0.96571	0.96433	1
FLT3	5	2.6233	0.3964	0.61218	0.98297	0.69181	0.99584	1.7774	0.27001	0.44514	0.97525	0.78715	1
FLT4	3	-2.5523	-0.91222	0.1442	0.96351	0.36165	0.81326	1.7162	0.67426	0.58307	0.98936	0.50014	1
FN3KRP	4	2.3513	0.3568	0.66682	0.98806	0.72124	0.99584	1.6066	0.24684	0.58083	0.98935	0.80503	1
FN3K	4	4.3164	0.13868	0.22929	0.96351	0.8897	0.99584	2.0315	0.06516	0.36767	0.96571	0.94805	1
FNTA	2	2.8755	0.28002	0.70667	0.99211	0.77946	0.99584	1.1132	0.10965	0.89028	0.99612	0.91268	1
FNTB	5	4.4253	0.13103	0.15495	0.96351	0.89575	0.99584	0.89439	0.026429	0.78594	0.99612	0.97892	1
FOLH1	2	4.0454	0.091141	0.45141	0.96351	0.92738	0.99584	2.8471	0.06424	0.206	0.96571	0.94878	1
FOLR2	1	-1.4492	-1.1697	0.94492	0.99483	0.2421	0.58218	-4.828	-3.9245	0.14689	0.96571	8.6925e-05	0.0024263
FOLR3	5	0.12966	1.4466	0.25705	0.96351	0.14801	0.50888	0.059577	0.6552	0.83654	0.99612	0.51234	1
FPGS	3	0.2024	1.8013	0.78056	0.99211	0.071658	0.48296	0.010549	0.092698	0.42857	0.97525	0.92614	1
FPR1	3	0.48401	1.1849	0.97358	0.99908	0.23604	0.58218	0.00013714	0.00032756	0.32064	0.96571	0.99974	1
FRK	5	0.13463	1.4552	0.28168	0.96351	0.14563	0.50888	0.045362	0.48335	0.78146	0.99612	0.62884	1
FSHR	2	5.4092	0.035969	0.12002	0.96351	0.97131	0.99584	1.914	0.012709	0.61173	0.99612	0.98986	1
FST	4	1.936	0.35273	0.76623	0.99211	0.72429	0.99584	1.9824	0.36908	0.39185	0.96685	0.71207	1
FTCD	5	0.62068	1.4819	0.91581	0.99483	0.13838	0.50888	0.1264	0.29535	0.91357	0.99612	0.76773	1
FTH1	5	1.1395	0.78266	0.84057	0.99211	0.43382	0.95441	-0.75666	-0.52583	0.0721	0.96571	0.59901	1
FTL	4	0.39705	1.2425	0.93775	0.99483	0.21407	0.57496	0.11715	0.35616	0.82535	0.99612	0.72172	1
FUK	3	0.48577	1.1744	0.97179	0.99908	0.24024	0.58218	0.13501	0.31854	0.80475	0.99612	0.75007	1
FXYD2	4	6.0456	0.031153	0.0013435	0.66667	0.97515	0.99584	2.4227	0.012469	0.21809	0.96571	0.99005	1
FYN	2	3.9381	0.10023	0.47649	0.96351	0.92016	0.99584	2.6926	0.068592	0.27407	0.96571	0.94531	1
G6PC2	4	3.2984	0.23391	0.51008	0.96351	0.81505	0.99584	0.85024	0.060135	0.88849	0.99612	0.95205	1
G6PC3	2	4.5867	0.057208	0.32109	0.96351	0.95438	0.99584	3.484	0.043458	0.039409	0.96571	0.96534	1
G6PC	1	-2.3517	-1.774	0.39857	0.96351	0.076064	0.48741	-5.0435	-3.8218	0.077026	0.96571	0.00013246	0.0036071
GAA	3	2.863	0.21702	0.65249	0.98316	0.82819	0.99584	2.8382	0.21676	0.1039	0.96571	0.8284	1
GABBR1	5	0.39044	1.1973	0.94447	0.99483	0.23117	0.57741	0.22466	0.66886	0.97	0.99774	0.50359	1
GABBR2	3	-3.1934	-1.9753	0.018809	0.83333	0.048236	0.45508	-0.37954	-0.30238	0.20018	0.96571	0.76236	1
GABRA1	3	0.19095	1.4269	0.76399	0.99211	0.1536	0.50888	0.0074609	0.055038	0.38871	0.96571	0.95611	1
GABRA2	1	-2.4315	-1.8336	0.35468	0.96351	0.066708	0.46665	-4.4578	-3.3615	0.33453	0.96571	0.00077521	0.015456
GABRA3	3	-2.9046	-2.5206	0.058218	0.90909	0.011715	0.31901	-0.21395	-0.21864	0.23735	0.96571	0.82693	1
GABRA4	3	-1.8111	-0.39913	0.38155	0.96351	0.68979	0.99584	2.3802	0.54021	0.28751	0.96571	0.58905	1
GABRA5	2	5.7031	0.030418	0.074339	0.96351	0.97573	0.99584	1.6173	0.00862	0.71697	0.99612	0.99312	1
GABRB1	4	0.4876	1.1824	0.9691	0.99908	0.23706	0.58218	0.044633	0.10551	0.71384	0.99612	0.91597	1
GABRB2	2	-2.0553	-0.96291	0.49172	0.96351	0.33559	0.76156	1.0768	0.5866	0.90416	0.99612	0.55747	1
GABRB3	5	3.5079	0.22119	0.40528	0.96351	0.82495	0.99584	1.8908	0.11927	0.38782	0.96571	0.90506	1
GABRD	3	0.19849	1.4205	0.77519	0.99211	0.15547	0.50888	0.01123	0.079346	0.43395	0.97525	0.93676	1
GABRE	2	0.27154	1.1978	0.97403	0.99908	0.23099	0.57741	0.16188	0.69248	0.74877	0.99612	0.48864	1
GABRG1	1	-2.7982	-2.0857	0.14196	0.96351	0.037006	0.44273	-4.815	-3.5883	0.15495	0.96571	0.00033282	0.0074319
GABRG2	2	-2.9801	-1.7997	0.058218	0.90909	0.071903	0.48296	0.47503	0.32233	0.87371	0.99612	0.7472	1
GABRG3	4	-1.6674	-0.55096	0.27497	0.96351	0.58166	0.99584	2.0985	0.7211	0.33587	0.96571	0.47085	1
GABRP	2	-2.4307	-1.2931	0.29109	0.96351	0.19598	0.56294	0.87905	0.53893	0.9794	0.99774	0.58993	1
GABRQ	3	4.4199	0.10259	0.26467	0.96351	0.91829	0.99584	3.4568	0.080287	0.01433	0.92063	0.93601	1
GABRR1	3	0.40483	1.2525	0.94268	0.99483	0.21039	0.57496	0.00023675	0.00071243	0.33094	0.96571	0.99943	1
GABRR2	5	1.6094	0.35876	0.73354	0.99211	0.71977	0.99584	2.2166	0.50984	0.22794	0.96571	0.61016	1
GABRR3	1	0.49098	0.0038262	0.69951	0.99211	0.99695	0.99784	4.88	0.037904	0.011644	0.92063	0.96976	1
GAD1	3	0.42085	1.2164	0.95656	0.99861	0.22383	0.57496	0.10479	0.29488	0.76399	0.99612	0.76808	1
GAD2	2	-2.3418	-2.7768	0.34975	0.96351	0.0054897	0.20141	-4.3724	-5.1805	0.15674	0.96571	2.2128e-07	1.0742e-05
GADL1	5	0.50249	1.173	0.94447	0.99483	0.2408	0.58218	0.00030444	0.00069279	0.14196	0.96571	0.99945	1
GAK	4	0.36165	1.2783	0.89655	0.99483	0.20115	0.57116	0.073855	0.25321	0.77295	0.99612	0.80011	1
GALE	4	-1.9804	-0.40857	0.24272	0.96351	0.68285	0.99584	2.4083	0.54236	0.21988	0.96571	0.58757	1
GALK1	5	4.5564	0.11275	0.12226	0.96351	0.91023	0.99584	1.9983	0.049439	0.33318	0.96571	0.96057	1
GALK2	7	0.28081	2.2717	0.65696	0.98456	0.023106	0.39484	0.015341	0.12264	0.1339	0.96571	0.9024	1
GALM	2	0.27269	1.3562	0.97403	0.99908	0.17504	0.52465	0.017944	0.088272	0.59248	0.99324	0.92966	1
GALNT1	1	-2.4542	-1.3744	0.34528	0.96351	0.16932	0.51233	0.93984	0.52502	0.91715	0.99612	0.59957	1
GAPDHS	2	-2.5945	-1.874	0.20287	0.96351	0.060935	0.45508	0.28196	0.23	0.79042	0.99612	0.81809	1
GAPDH	2	0.39799	1.2352	0.93954	0.99483	0.21676	0.57496	0.091626	0.27707	0.68742	0.99612	0.78173	1
GARS	1	5.4897	0.02299	0.25705	0.96351	0.98166	0.99584	-3.1712	-0.013313	0.80475	0.99612	0.98938	1
GART	4	0.15522	1.4483	0.48858	0.96351	0.14753	0.50888	0.035123	0.32323	0.65652	0.99612	0.74652	1
GATM	5	0.16518	2.0289	0.38782	0.96351	0.042469	0.45508	0.014897	0.18048	0.29198	0.96571	0.85677	1
GBA	8	0.15942	1.7908	0.13166	0.96351	0.073331	0.48296	0.024734	0.27398	0.19973	0.96571	0.7841	1
GCAT	4	-2.001	-1.3254	0.24093	0.96351	0.18505	0.54298	1.3669	0.98591	0.69234	0.99612	0.32418	1
GCA	2	0.0028906	0.022499	0.78952	0.99211	0.98205	0.99584	0.19166	1.4237	0.76892	0.99612	0.15455	1
GCDH	2	2.9885	0.19777	0.68294	0.99211	0.84323	0.99584	1.7357	0.1149	0.67846	0.99612	0.90852	1
GCGR	4	-2.0748	-0.6467	0.22929	0.96351	0.51782	0.99584	2.029	0.67696	0.36901	0.96571	0.49843	1
GCH1	4	3.5169	0.22394	0.45634	0.96351	0.82281	0.99584	1.8222	0.11648	0.47067	0.97525	0.90728	1
GCK	4	-2.5594	-1.8785	0.11106	0.96351	0.060319	0.45508	0.67188	0.59165	0.94447	0.99767	0.55409	1
GCSH	3	2.0249	0.61603	0.8549	0.99483	0.53787	0.99584	-1.0972	-0.29606	0.12987	0.96571	0.76718	1
GDI1	2	5.4063	0.042109	0.12091	0.96351	0.96641	0.99584	3.4238	0.026668	0.048365	0.96571	0.97872	1
GFER	2	-2.0296	-2.6646	0.50381	0.96351	0.007709	0.24789	-4.0568	-5.3227	0.22078	0.96571	1.0221e-07	5.706e-06
GGCX	3	0.14135	1.4677	0.62382	0.98316	0.14218	0.50888	0.017588	0.18011	0.51232	0.98512	0.85707	1
GGPS1	4	0.39981	0.48011	0.94178	0.99483	0.63115	0.99584	-1.4707	-1.809	0.049709	0.96571	0.070444	0.9476
GHRHR	7	0.22257	1.9314	0.40797	0.96351	0.053435	0.45508	0.07266	0.62245	0.99776	0.9991	0.53364	1
GIT1	5	3.057	0.33445	0.52082	0.96351	0.73804	0.99584	-0.021407	-0.0022582	0.13077	0.96571	0.9982	1
GIT2	4	0.17163	1.4367	0.53112	0.96351	0.15079	0.50888	0.040449	0.33407	0.69189	0.99612	0.73833	1
GK2	3	-2.2886	-0.77055	0.23377	0.96351	0.44098	0.96591	1.9761	0.67779	0.45992	0.97525	0.49791	1
GK5	1	-2.714	-2.0292	0.18764	0.96351	0.042443	0.45508	-4.7308	-3.5364	0.19884	0.96571	0.0004057	0.0088816
GKAP1	3	2.7233	0.22019	0.68473	0.99211	0.82572	0.99584	1.9498	0.15768	0.47559	0.97525	0.87471	1
GK	4	4.6409	0.092853	0.15002	0.96351	0.92602	0.99584	1.7729	0.035444	0.4944	0.98512	0.97173	1
GLA	3	4.1165	0.13254	0.3408	0.96351	0.89455	0.99584	1.0078	0.032207	0.88043	0.99612	0.97431	1
GLDC	3	0.24357	1.3749	0.83206	0.99211	0.16917	0.51233	0.030217	0.16854	0.61218	0.99612	0.86616	1
GLIPR2	5	3.4178	0.27402	0.42991	0.96351	0.78407	0.99584	1.6045	0.12885	0.53023	0.98512	0.89748	1
GLP1R	5	-2.7896	-2.5319	0.044335	0.89189	0.011344	0.31901	0.76236	0.84046	0.82176	0.99612	0.40065	1
GLP2R	3	-2.9401	-1.155	0.051948	0.90299	0.2481	0.58697	1.6799	0.66772	0.59875	0.99484	0.50431	1
GLRA1	3	3.4152	0.22272	0.52485	0.96351	0.82376	0.99584	1.9146	0.1251	0.49037	0.98512	0.90045	1
GLRA2	5	0.18401	1.4319	0.45678	0.96351	0.15217	0.50888	0.021657	0.16629	0.42096	0.97525	0.86793	1
GLRA3	4	-3.0165	-2.3701	0.032244	0.89189	0.017781	0.3876	0.5613	0.55029	0.9682	0.99769	0.58212	1
GLRB	3	0.48868	1.1735	0.96686	0.99907	0.24059	0.58218	0.085371	0.20009	0.74116	0.99612	0.84141	1
GLRX2	3	0.12231	1.4854	0.52665	0.96351	0.13743	0.50888	0.003004	0.035964	0.34259	0.96571	0.97131	1
GLRX	2	0.48706	1.151	0.89879	0.99483	0.24974	0.58868	0.1339	0.30961	0.72145	0.99612	0.75686	1
GLS2	3	2.9077	0.32992	0.64039	0.98316	0.74146	0.99584	1.2658	0.14425	0.78459	0.99612	0.88531	1
GLS	3	3.9531	0.15593	0.38379	0.96351	0.87609	0.99584	-0.41735	-0.016376	0.19077	0.96571	0.98693	1
GLT6D1	2	-2.0488	-1.3495	0.4944	0.96351	0.17719	0.52685	0.83939	0.60369	0.99328	0.9991	0.54605	1
GLTP	4	0.42235	1.2323	0.96552	0.99861	0.21785	0.57496	0.059162	0.16786	0.75235	0.99612	0.86669	1
GLUD1	3	-1.2446	-0.098517	0.4438	0.96351	0.92152	0.99584	3.3453	0.26555	0.017913	0.92063	0.79058	1
GLUD2	3	0.19336	1.4219	0.76758	0.99211	0.15507	0.50888	0.015866	0.11518	0.49351	0.98512	0.9083	1
GLUL	4	1.92	0.34232	0.76892	0.99211	0.73211	0.99584	2.285	0.42358	0.26108	0.96571	0.67187	1
GLYATL1	7	2.5176	0.47574	0.54277	0.96351	0.63426	0.99584	1.7943	0.34509	0.3502	0.96571	0.73003	1
GLYATL2	4	0.14242	1.4677	0.44604	0.96351	0.14219	0.50888	0.0062354	0.063358	0.24854	0.96571	0.94948	1
GLYAT	3	0.13427	1.4742	0.58979	0.97773	0.14043	0.50888	0.0042792	0.046327	0.34707	0.96571	0.96305	1
GM2A	2	-2.5665	-0.95484	0.21675	0.96351	0.33966	0.76957	1.3382	0.5327	0.80967	0.99612	0.59424	1
GMDS	3	-2.181	-1.2228	0.27452	0.96351	0.22139	0.57496	1.3017	0.81281	0.76803	0.99612	0.41633	1
GMPR	3	-1.608	-2.0668	0.41827	0.96351	0.038757	0.44611	-4.1866	-5.3683	0.069861	0.96571	7.9473e-08	4.9295e-06
GNAT1	6	0.30618	2.1511	0.80699	0.99211	0.031471	0.43975	0.042169	0.29289	0.73578	0.99612	0.76961	1
GNB1	5	0.14192	1.464	0.31885	0.96351	0.1432	0.50888	0.02851	0.28997	0.56471	0.98776	0.77184	1
GNE	4	0.99544	0.4302	0.92253	0.99483	0.66705	0.99584	1.4299	0.62743	0.66726	0.99612	0.53038	1
GNG2	3	3.6172	0.13026	0.47783	0.96351	0.89636	0.99584	2.7844	0.10033	0.12763	0.96571	0.92009	1
GNGT1	1	4.7601	0.041416	0.47828	0.96351	0.96696	0.99584	2.2295	0.019398	0.73175	0.99612	0.98452	1
GNLY	3	0.12461	1.4829	0.54142	0.96351	0.13811	0.50888	2.0636e-05	0.00024209	0.29064	0.96571	0.99981	1
