sgRNA	Gene	Diff	Lower	Upper
ACHE_-_100494233.23-P2	ACHE	2998	2	2
ACHE_-_100494236.23-P2	ACHE	1055	3	2323
ACHE_-_100494578.23-P2	ACHE	2502	7	5274
ACOT13_+_24667341.23-P1P2	ACOT13	3809	5812	4
ACOT13_-_24667329.23-P1P2	ACOT13	1944	4043	1655
ACOT13_-_24667371.23-P1P2	ACOT13	1360	0	1
ACOT13_-_24667473.23-P1P2	ACOT13	2822	2721	3107
ACOX1_-_73975169.23-P1P2	ACOX1	2380	8492	2064
ACOX1_-_73975193.23-P1P2	ACOX1	3308	2	3
ACOX1_-_73975196.23-P1P2	ACOX1	1260	1	3
ACOX1_-_73975245.23-P1P2	ACOX1	3568	4316	4
ACP1_+_264980.23-P1P2	ACP1	3719	3	1217
ACP1_-_264967.23-P1P2	ACP1	868	4066	3225
ACP1_-_265107.23-P1P2	ACP1	3213	2436	3
ACP2_-_47269915.23-P1P2	ACP2	2968	1	1812
ACP2_-_47269958.23-P1P2	ACP2	1268	0	0
ACP5_+_11688472.23-P1	ACP5	1702	0	762
ACP5_-_11688086.23-P1	ACP5	1293	2	1221
ACP5_-_11688414.23-P1	ACP5	3022	4995	2901
ACP5_-_11688437.23-P1	ACP5	801	3006	3160
ACP5_-_11688455.23-P1	ACP5	982	4755	3
ACP5_-_11689724.23-P2	ACP5	2154	4	3602
ACP5_-_11689727.23-P2	ACP5	2775	6	2993
ACP5_-_11689771.23-P2	ACP5	2618	1	1420
ACP6_+_147141956.23-P1P2	ACP6	3941	5283	1126
ACP6_-_147142348.23-P1P2	ACP6	1819	1407	0
ACP6_-_147142356.23-P1P2	ACP6	2604	5137	2900
ACP6_-_147142393.23-P1P2	ACP6	2157	4915	2045
ACPP_+_132036293.23-P1P2	ACPP	1254	1	1
ACPP_+_132036504.23-P1P2	ACPP	1571	0	1242
ACPP_+_132036703.23-P1P2	ACPP	1545	1	1
ACPT_+_51293697.23-ENST00000270593.1	ACPT	2914	6190	1842
ACSL1_+_185746700.23-P1P2	ACSL1	1581	1	0
ACSL1_+_185747071.23-P1P2	ACSL1	1535	4	0
ACSL1_+_185747074.23-P1P2	ACSL1	2261	1	3
ACSL1_-_185746686.23-P1P2	ACSL1	881	6	4650
ACSL3_+_223726215.23-P1P2	ACSL3	1294	1	1
ACSL3_-_223725802.23-P1P2	ACSL3	812	0	1
ACSL3_-_223725834.23-P1P2	ACSL3	1592	2	3
ACSL3_-_223726162.23-P1P2	ACSL3	5486	2235	2301
ACSL4_+_108976382.23-P1P2	ACSL4	1132	2783	3
ACSL4_-_108976456.23-P1P2	ACSL4	1220	0	2450
ACSL4_-_108976463.23-P1P2	ACSL4	6881	3584	916
ACSS2_+_33464457.23-P1P2	ACSS2	1412	2	3329
ACSS2_-_33464420.23-P1P2	ACSS2	6872	4	1186
ACTA1_+_229568301.23-P2	ACTA1	4690	5	3658
ACTA1_-_229568723.23-P2	ACTA1	1545	2566	0
ACTA1_-_229568745.23-P2	ACTA1	965	2415	4360
ACTA1_-_229568779.23-P2	ACTA1	2704	1	2
ACTA1_-_229569627.23-P1	ACTA1	1025	0	0
ACTA1_-_229569839.23-P1	ACTA1	6084	2	3
ACTR2_+_65455294.23-P1P2	ACTR2	4061	0	0
ACVR1B_+_52345907.23-P1P2	ACVR1B	2432	3	2
ACVR1B_-_52345917.23-P1P2	ACVR1B	2498	5726	4
ACVR1C_+_158484901.23-P1P2	ACVR1C	1210	3	2971
ACVR1C_+_158484938.23-P1P2	ACVR1C	4621	4	5
ACVR1_+_158732198.23-P1P2	ACVR1	4321	3	1
ACVR1_-_158732511.23-P1P2	ACVR1	600	2	2799
ACVR2A_+_148602346.23-P1P2	ACVR2A	1513	1	2
ACVR2A_-_148602102.23-P1P2	ACVR2A	1672	2	5035
ACVR2A_-_148602669.23-P1P2	ACVR2A	1275	1	0
