Gene	sgRNA	eff
ACP6	ACP6_-_147142348.23-P1P2	1
ACP6	ACP6_-_147142356.23-P1P2	1
ACP6	ACP6_-_147142393.23-P1P2	1
ACPP	ACPP_+_132036293.23-P1P2	1
ACPP	ACPP_+_132036504.23-P1P2	1
ACPP	ACPP_+_132036703.23-P1P2	1
ACPT	ACPT_+_51293697.23-ENST00000270593.1	1
ACSL1	ACSL1_+_185746700.23-P1P2	1
ACSL1	ACSL1_+_185747071.23-P1P2	1
ACSL1	ACSL1_+_185747074.23-P1P2	1
ACSL1	ACSL1_-_185746686.23-P1P2	1
ACSL3	ACSL3_+_223726215.23-P1P2	1
ACSL3	ACSL3_-_223725802.23-P1P2	1
ACSL3	ACSL3_-_223725834.23-P1P2	1
ACSL3	ACSL3_-_223726162.23-P1P2	1
ACSL4	ACSL4_+_108976382.23-P1P2	1
ACSL4	ACSL4_-_108976456.23-P1P2	1
ACSL4	ACSL4_-_108976463.23-P1P2	1
ACSS2	ACSS2_+_33464457.23-P1P2	1
ACSS2	ACSS2_-_33464420.23-P1P2	1
ACTA1	ACTA1_+_229568301.23-P2	1
ACTA1	ACTA1_-_229568723.23-P2	1
ACTA1	ACTA1_-_229568745.23-P2	1
ACTA1	ACTA1_-_229568779.23-P2	1
ACTA1	ACTA1_-_229569627.23-P1	1
ACTA1	ACTA1_-_229569839.23-P1	1
ACTR2	ACTR2_+_65455294.23-P1P2	1
ACVR1B	ACVR1B_+_52345907.23-P1P2	1
ACVR1B	ACVR1B_-_52345917.23-P1P2	1
ACVR1C	ACVR1C_+_158484901.23-P1P2	1
ACVR1C	ACVR1C_+_158484938.23-P1P2	1
ACVR1	ACVR1_+_158732198.23-P1P2	1
ACVR1	ACVR1_-_158732511.23-P1P2	1
ACVR2A	ACVR2A_+_148602346.23-P1P2	1
ACVR2A	ACVR2A_-_148602102.23-P1P2	1
ACVR2A	ACVR2A_-_148602669.23-P1P2	1
ACVR2B	ACVR2B_+_38495450.23-P1P2	1
ACVR2B	ACVR2B_+_38495606.23-P1P2	1
ACVR2B	ACVR2B_+_38495842.23-P1P2	1
ACVRL1	ACVRL1_+_52300819.23-P1P2	1
ACY1	ACY1_+_52017535.23-P1P2	1
ACY1	ACY1_+_52017980.23-P1P2	1
ACY1	ACY1_-_52017547.23-P1P2	1
ACY3	ACY3_+_67414985.23-P2	1
ACY3	ACY3_+_67415013.23-P2	1
ACY3	ACY3_+_67417960.23-P1	1
ACY3	ACY3_+_67418110.23-P1	1
ACY3	ACY3_-_67414577.23-P2	1
ACY3	ACY3_-_67418149.23-P1	1
ACYP2	ACYP2_+_54342830.23-P1P2	1
ACYP2	ACYP2_-_54343157.23-P1P2	1
ACYP2	ACYP2_-_54343180.23-P1P2	1
ADAM33	ADAM33_+_3662271.23-P1P2	1
ADAM33	ADAM33_+_3662642.23-P1P2	1
ADAM33	ADAM33_-_3662191.23-P1P2	1
ADAM33	ADAM33_-_3662638.23-P1P2	1
ADAMTS5	ADAMTS5_+_28339356.23-P1P2	1
ADAMTS5	ADAMTS5_+_28339363.23-P1P2	1
ADAMTS5	ADAMTS5_-_28338950.23-P1P2	1
ADAMTS5	ADAMTS5_-_28339372.23-P1P2	1
ADCK1	ADCK1_+_78266506.23-P1P2	1
ADCK1	ADCK1_-_78266512.23-P1P2	1
ADCK1	ADCK1_-_78266523.23-P1P2	1
ADCK1	ADCK1_-_78266828.23-P1P2	1
ADCK1	ADCK1_-_78266900.23-P1P2	1
ADCK2	ADCK2_+_140372748.23-P1P2	1
ADCK2	ADCK2_+_140373084.23-P1P2	1
ADCK2	ADCK2_+_140373152.23-P1P2	1
ADCK2	ADCK2_-_140373160.23-P1P2	1
ADCK3	ADCK3_+_227128400.23-P1P2	1
ADCK3	ADCK3_-_227128046.23-P1P2	1
ADCK3	ADCK3_-_227128055.23-P1P2	1
ADCK4	ADCK4_+_41222752.23-P1P2	1
ADCK4	ADCK4_-_41222351.23-P1P2	1
ADCK4	ADCK4_-_41222791.23-P1P2	1
ADCK5	ADCK5_-_145597191.23-P1P2	1
ADCK5	ADCK5_-_145597250.23-P1P2	1
ADCK5	ADCK5_-_145597781.23-P1P2	1
ADC	ADC_+_33546832.23-P1P2	1
ADC	ADC_+_33546850.23-P1P2	1
ADC	ADC_-_33546826.23-P1P2	1
ADH1C	ADH1C_+_100273655.23-P1P2	1
ADH1C	ADH1C_-_100273879.23-P1P2	1
ADH1C	ADH1C_-_100273923.23-P1P2	1
ADH4	ADH4_+_100065433.23-P1P2	1
ADH4	ADH4_+_100065444.23-P1P2	1
ADH5	ADH5_+_100009821.23-P1P2	1
ADH5	ADH5_+_100009838.23-P1P2	1
ADK	ADK_+_75911444.23-P2	1
ADK	ADK_+_75936517.23-P1	1
ADK	ADK_+_75936538.23-P1	1
ADK	ADK_+_75936570.23-P1	1
ADK	ADK_-_75911437.23-P2	1
ADORA1	ADORA1_+_203096891.23-P1P2	1
ADORA1	ADORA1_+_203097450.23-P1P2	1
ADORA1	ADORA1_+_203097472.23-P1P2	1
ADORA2A	ADORA2A_+_24820308.23-P1P2	1
ADORA2A	ADORA2A_-_24819888.23-P1P2	1
ADORA2A	ADORA2A_-_24819947.23-P1P2	1
ADORA2B	ADORA2B_+_15848686.23-P1P2	1
ADORA2B	ADORA2B_-_15848659.23-P1P2	1
ADORA2B	ADORA2B_-_15848949.23-P1P2	1
