"Sample","Guides","Pearson_r","Spearman_rho"
"21062D-07-01_S102_L006",209070,0.99999889189316,0.988273468698276
"21062D-07-02_S103_L006",209070,0.999997970292062,0.982103598253193
"21062D-07-03_S104_L006",209070,0.99999970190466,0.999621783972492
"21062D-07-04_S105_L006",209070,0.999999176145657,0.995568960973469
