	Diff	Lower	T0	Upper
ABCC9_+_22093941.23-P1P2	1243	2	617	857
ABCC9_+_22094309.23-P1P2	0	0	432	0
ABCE1_+_146019317.23-P1P2	0	1	125	0
ABCE1_+_146019463.23-P1P2	1160	0	1	0
ABCE1_+_146019842.23-P1P2	456	1	334	2078
ABCE1_-_146019502.23-P1P2	0	0	0	0
ABCE1_-_146019516.23-P1P2	0	0	0	0
ABCG1_+_43639544.23-P1P2	3995	3	577	5004
ABCG1_+_43639681.23-P1P2	0	0	116	0
ABCG1_-_43639282.23-P1P2	4918	2448	3185	5817
ABCG1_-_43639541.23-P1P2	3132	3089	1724	3112
ABCG1_-_43639626.23-P1P2	13	5102	3165	3819
ABL1_+_133589617.23-ENST00000372348.2	807	0	700	1
ABL1_+_133589629.23-ENST00000372348.2	6	5013	1064	1
ABL1_+_133589636.23-ENST00000372348.2	1501	0	888	1623
ABL1_-_133589228.23-ENST00000372348.2	853	2505	1062	2
ABL1_-_133589268.23-ENST00000372348.2	1339	4630	878	3
ABL2_+_179112168.23-P1	1518	589	1726	0
ABL2_+_179112186.23-P1	0	0	195	0
ABL2_+_179198340.23-P2	3215	3	1584	956
ABL2_+_179198398.23-P2	1272	1	1418	1865
ABL2_+_179198565.23-P2	1514	1	694	3225
ABL2_+_179198740.23-P2	1354	3	1344	4
ABL2_-_179112151.23-P1	4	2	1493	1193
ABL2_-_179112154.23-P1	0	0	134	0
ABL2_-_179112158.23-P1	1594	1	634	1989
ABL2_-_179198834.23-P2	1788	0	1293	1516
ABO_+_136150190.23-P1	1446	2188	727	1687
ABO_+_136150601.23-P1	1424	8763	2893	7693
ABO_-_136130692.23-P2	4901	7608	2160	1691
ABO_-_136130921.23-P2	1495	2	1553	1934
ABO_-_136130955.23-P2	1560	3	232	0
ABO_-_136130959.23-P2	0	0	558	1557
ABO_-_136130966.23-P2	1	3	1143	1994
ABO_-_136150219.23-P1	0	0	1067	124
ABO_-_136150600.23-P1	820	3459	2451	3204
ABO_-_136150606.23-P1	1515	0	2111	1033
ACACA_+_35715534.23-P1P2	3337	4731	589	3
ACACA_+_35715655.23-P1P2	1	0	204	0
ACACA_-_35715847.23-P1P2	0	0	0	0
ACACA_-_35715992.23-P1P2	0	0	0	0
ACACA_-_35716002.23-P1P2	0	0	0	0
ACACB_+_109569160.23-P1	6	1815	664	2
ACACB_+_109569170.23-P1	5923	3	2378	1559
ACACB_+_109592574.23-P2	1324	1	2269	3
ACACB_+_109592655.23-P2	3	0	671	0
ACACB_+_109592908.23-P2	0	0	257	0
ACACB_-_109569178.23-P1	423	0	809	2
ACACB_-_109569231.23-P1	1602	1	464	1
ACACB_-_109569639.23-P1	2207	6334	1919	0
ACACB_-_109592496.23-P2	1562	1	597	752
ACACB_-_109592519.23-P2	838	0	1646	1
ACAD8_+_134123511.23-P1P2	3640	2	1414	1928
ACAD8_-_134123448.23-P1P2	1056	0	2389	1364
ACAD8_-_134123455.23-P1P2	1131	2	784	1
ACAD8_-_134123502.23-P1P2	3	1	1339	1556
ACAD8_-_134123507.23-P1P2	4	1	1314	2062
ACADSB_+_124768874.23-P1P2	1379	4848	1732	2010
ACADSB_+_124768891.23-P1P2	0	0	689	0
ACADSB_+_124768941.23-P1P2	1247	2634	261	1
ACADSB_+_124768944.23-P1P2	3	0	1737	0
ACADSB_-_124768552.23-P1P2	2157	11384	1506	4
ACADS_+_121163685.23-P1P2	5456	20630	4316	7
ACADS_+_121164090.23-P1P2	0	0	0	0
ACADS_-_121163653.23-P1P2	2643	4113	2232	4818
ACADS_-_121163657.23-P1P2	1281	3390	1251	1914
ACADS_-_121163671.23-P1P2	26	11375	2015	5402
ACAN_+_89347139.23-P1P2	545	1	220	0
ACAN_+_89347148.23-P1P2	0	1	219	0
ACAN_+_89347151.23-P1P2	0	1	411	0
ACAN_-_89346701.23-P1P2	2	4107	989	1
ACAN_-_89347101.23-P1P2	1440	3	3202	3557
ACAT1_+_107992288.23-P1P2	1	2	451	0
ACAT1_+_107992310.23-P1P2	1670	9	1046	5774
ACAT1_+_107992321.23-P1P2	2521	3	1278	3
ACAT1_-_107992364.23-P1P2	1248	0	1975	3435
ACAT1_-_107992733.23-P1P2	3241	4912	1597	4266
ACAT2_+_160183436.23-P1P2	0	0	141	0
ACAT2_+_160183505.23-P1P2	2934	2	847	1
ACAT2_-_160183054.23-P1P2	5	4480	448	1
ACAT2_-_160183095.23-P1P2	1347	1	1524	1
ACAT2_-_160183174.23-P1P2	917	0	1375	883
ACCS_+_44087946.23-P1P2	645	1	545	3956
ACCS_+_44088028.23-P1P2	663	2	986	0
ACCS_+_44088091.23-P1P2	4621	5696	1729	3560
ACCS_+_44088215.23-P1P2	0	0	460	0
ACCS_-_44088090.23-P1P2	1089	4507	1497	3
ACE2_+_15619016.23-P1P2	0	0	327	0
ACE2_+_15619087.23-P1P2	1035	1	240	1
ACE2_-_15618594.23-P1P2	7	5975	968	1253
ACE2_-_15618975.23-P1P2	0	0	438	0
ACE2_-_15619013.23-P1P2	3171	1	723	2
ACE_+_61554448.23-P1	3285	4	903	1676
ACE_+_61554829.23-P1	5467	2227	2912	1407
ACE_+_61562272.23-P2	1504	1	1723	1318
ACE_+_61562293.23-P2	8	5888	610	1515
ACE_-_61554428.23-P1	1980	4	1342	2287
ACE_-_61554458.23-P1	5654	5	1637	5355
ACE_-_61554461.23-P1	2804	4326	1474	4775
ACE_-_61562238.23-P2	6276	2	1414	0
ACE_-_61562443.23-P2	4456	2	953	2
ACE_-_61562661.23-P2	2	1	816	1581
ACHE_+_100493456.23-P1	2090	7246	2123	10507
ACHE_+_100493473.23-P1	1009	0	1921	0
ACHE_+_100494559.23-P2	1691	2318	862	3
ACHE_+_100494570.23-P2	3551	2666	1519	86
ACHE_-_100493122.23-P1	1	4847	193	0
ACHE_-_100493427.23-P1	0	0	501	0
ACHE_-_100493486.23-P1	1588	3	1252	568
ACHE_-_100494233.23-P2	2998	2	1651	2
ACHE_-_100494236.23-P2	1055	3	1606	2323
ACHE_-_100494578.23-P2	2502	7	2833	5274
ACOT13_+_24667341.23-P1P2	3809	5812	1346	4
ACOT13_-_24667329.23-P1P2	1944	4043	2161	1655
ACOT13_-_24667371.23-P1P2	1360	0	1136	1
ACOT13_-_24667386.23-P1P2	1	0	246	0
ACOT13_-_24667473.23-P1P2	2822	2721	1191	3107
ACOX1_+_73975227.23-P1P2	5	3626	1921	2
ACOX1_-_73975169.23-P1P2	2380	8492	1738	2064
ACOX1_-_73975193.23-P1P2	3308	2	966	3
ACOX1_-_73975196.23-P1P2	1260	1	1660	3
ACOX1_-_73975245.23-P1P2	3568	4316	2998	4
ACP1_+_264980.23-P1P2	3719	3	2579	1217
ACP1_+_265303.23-P1P2	4	0	551	0
ACP1_-_264967.23-P1P2	868	4066	860	3225
ACP1_-_264970.23-P1P2	0	0	0	0
ACP1_-_265107.23-P1P2	3213	2436	240	3
ACP2_+_47270320.23-P1P2	2	2147	1403	1
ACP2_+_47270332.23-P1P2	0	0	0	0
ACP2_-_47269915.23-P1P2	2968	1	941	1812
ACP2_-_47269958.23-P1P2	1268	0	1408	0
ACP2_-_47270385.23-P1P2	3	0	1652	1
ACP5_+_11688472.23-P1	1702	0	252	762
ACP5_-_11688086.23-P1	1293	2	446	1221
ACP5_-_11688414.23-P1	3022	4995	2618	2901
ACP5_-_11688437.23-P1	801	3006	1832	3160
ACP5_-_11688455.23-P1	982	4755	543	3
ACP5_-_11689356.23-P2	8	4707	1758	3545
ACP5_-_11689724.23-P2	2154	4	2429	3602
ACP5_-_11689727.23-P2	2775	6	1304	2993
ACP5_-_11689744.23-P2	4	3202	618	0
ACP5_-_11689771.23-P2	2618	1	1547	1420
ACP6_+_147141956.23-P1P2	3941	5283	2597	1126
ACP6_+_147142159.23-P1P2	0	0	494	0
ACP6_-_147142348.23-P1P2	1819	1407	1454	0
ACP6_-_147142356.23-P1P2	2604	5137	1833	2900
ACP6_-_147142393.23-P1P2	2157	4915	1868	2045
ACPP_+_132036268.23-P1P2	9	4	2856	7177
ACPP_+_132036293.23-P1P2	1254	1	1373	1
ACPP_+_132036338.23-P1P2	0	0	823	0
ACPP_+_132036504.23-P1P2	1571	0	616	1242
ACPP_+_132036703.23-P1P2	1545	1	1618	1
ACPT_+_51293697.23-ENST00000270593.1	2914	6190	773	1842
ACPT_+_51293761.23-ENST00000270593.1	8	3	1377	3192
ACPT_+_51294074.23-ENST00000270593.1	10	5545	1050	0
ACPT_-_51293910.23-ENST00000270593.1	1	1	1200	0
ACPT_-_51294122.23-ENST00000270593.1	0	0	0	0
ACSL1_+_185746700.23-P1P2	1581	1	84	0
ACSL1_+_185747071.23-P1P2	1535	4	1689	0
ACSL1_+_185747074.23-P1P2	2261	1	3299	3
ACSL1_+_185747085.23-P1P2	5	2228	760	1864
ACSL1_-_185746686.23-P1P2	881	6	1227	4650
ACSL3_+_223725692.23-P1P2	0	0	148	0
ACSL3_+_223726215.23-P1P2	1294	1	1831	1
ACSL3_-_223725802.23-P1P2	812	0	629	1
ACSL3_-_223725834.23-P1P2	1592	2	815	3
ACSL3_-_223726162.23-P1P2	5486	2235	2680	2301
ACSL4_+_108976382.23-P1P2	1132	2783	972	3
ACSL4_-_108976096.23-P1P2	8	9577	1326	3085
ACSL4_-_108976106.23-P1P2	2	7	618	3980
ACSL4_-_108976456.23-P1P2	1220	0	2442	2450
ACSL4_-_108976463.23-P1P2	6881	3584	1720	916
ACSS2_+_33464457.23-P1P2	1412	2	1769	3329
ACSS2_-_33464420.23-P1P2	6872	4	1628	1186
ACSS2_-_33464423.23-P1P2	4	3097	2151	2499
ACSS2_-_33464453.23-P1P2	5	0	957	1564
ACSS2_-_33464808.23-P1P2	2	3	673	4114
ACTA1_+_229568301.23-P2	4690	5	3474	3658
ACTA1_+_229569744.23-P1	4	3288	928	2
ACTA1_-_229568328.23-P2	4	1	1565	4060
ACTA1_-_229568723.23-P2	1545	2566	1702	0
ACTA1_-_229568745.23-P2	965	2415	2131	4360
ACTA1_-_229568779.23-P2	2704	1	1163	2
ACTA1_-_229569627.23-P1	1025	0	1408	0
ACTA1_-_229569754.23-P1	6	4158	1926	0
ACTA1_-_229569824.23-P1	1	0	1477	1637
ACTA1_-_229569839.23-P1	6084	2	2929	3
ACTR2_+_65455294.23-P1P2	4061	0	122	0
ACTR2_+_65455348.23-P1P2	1	1047	1134	1735
ACTR2_-_65454953.23-P1P2	0	0	327	0
ACTR2_-_65454971.23-P1P2	0	0	535	0
ACTR2_-_65455345.23-P1P2	1	1	760	0
ACVR1B_+_52345561.23-P1P2	1	1	466	0
ACVR1B_+_52345897.23-P1P2	0	0	0	0
ACVR1B_+_52345907.23-P1P2	2432	3	275	2
ACVR1B_-_52345530.23-P1P2	3	0	1574	1258
ACVR1B_-_52345917.23-P1P2	2498	5726	873	4
ACVR1C_+_158484889.23-P1P2	1	1813	1213	5
ACVR1C_+_158484901.23-P1P2	1210	3	2169	2971
ACVR1C_+_158484938.23-P1P2	4621	4	1837	5
ACVR1C_+_158485339.23-P1P2	5	1	2961	3081
ACVR1C_-_158485307.23-P1P2	0	0	210	0
ACVR1_+_158732079.23-P1P2	0	1	624	0
ACVR1_+_158732198.23-P1P2	4321	3	1874	1
ACVR1_+_158732232.23-P1P2	0	0	1167	0
ACVR1_+_158732258.23-P1P2	1	0	469	0
ACVR1_-_158732511.23-P1P2	600	2	2493	2799
ACVR2A_+_148602294.23-P1P2	4	0	651	1559
ACVR2A_+_148602343.23-P1P2	2	0	2177	1829
ACVR2A_+_148602346.23-P1P2	1513	1	2163	2
ACVR2A_-_148602102.23-P1P2	1672	2	1344	5035
ACVR2A_-_148602669.23-P1P2	1275	1	2022	0
ACVR2B_+_38495339.23-P1P2	3	1	1119	964
ACVR2B_+_38495450.23-P1P2	4679	3	1611	1865
ACVR2B_+_38495606.23-P1P2	3340	4932	2193	1705
ACVR2B_+_38495842.23-P1P2	1084	5051	2292	3676
ACVR2B_-_38495819.23-P1P2	4	0	1467	1
ACVRL1_+_52300726.23-P1P2	0	1	498	1513
ACVRL1_+_52300742.23-P1P2	1	2	416	1759
ACVRL1_+_52300819.23-P1P2	1546	2	796	3
ACVRL1_-_52300776.23-P1P2	1	1	1542	0
ACVRL1_-_52301119.23-P1P2	5	5701	1501	2
ACY1_+_52017535.23-P1P2	908	0	1180	1737
ACY1_+_52017980.23-P1P2	4159	3979	3057	2403
ACY1_-_52017547.23-P1P2	2882	9035	1157	6
ACY1_-_52017921.23-P1P2	0	0	214	0
ACY1_-_52017938.23-P1P2	1	1	640	1519
ACY3_+_67414985.23-P2	3077	0	1157	0
ACY3_+_67415013.23-P2	1116	0	5	1
ACY3_+_67417722.23-P1	0	0	159	0
ACY3_+_67417960.23-P1	2879	4672	1640	1303
ACY3_+_67418110.23-P1	1603	3876	2622	6583
ACY3_-_67414577.23-P2	1561	2199	1906	3132
ACY3_-_67414607.23-P2	3	1	2533	1544
ACY3_-_67414970.23-P2	1	0	1347	0
ACY3_-_67417956.23-P1	0	0	137	0
ACY3_-_67418149.23-P1	1375	2	612	1474
ACYP2_+_54342830.23-P1P2	476	4	1724	1
ACYP2_-_54342821.23-P1P2	0	0	548	0
ACYP2_-_54343153.23-P1P2	0	1	914	2
ACYP2_-_54343157.23-P1P2	3556	3	1043	3089
ACYP2_-_54343180.23-P1P2	2467	4	1327	2021
ADAM33_+_3662271.23-P1P2	2326	2	1983	1
ADAM33_+_3662642.23-P1P2	5239	4	1810	2
ADAM33_-_3662191.23-P1P2	1644	1	925	1
ADAM33_-_3662194.23-P1P2	4	5994	360	1
ADAM33_-_3662638.23-P1P2	6402	4	1792	4
ADAMTS5_+_28339356.23-P1P2	840	5114	1623	1607
ADAMTS5_+_28339363.23-P1P2	2392	2	2353	2
ADAMTS5_-_28338950.23-P1P2	746	5035	1153	0
ADAMTS5_-_28339372.23-P1P2	3408	7	2228	3316
ADAMTS5_-_28339421.23-P1P2	9	6067	2186	3282
ADCK1_+_78266506.23-P1P2	2800	5949	1199	3
ADCK1_-_78266512.23-P1P2	672	1	1799	1922
ADCK1_-_78266523.23-P1P2	1664	1	1224	3
ADCK1_-_78266828.23-P1P2	2675	2982	814	2
ADCK1_-_78266900.23-P1P2	2275	5641	1397	2
ADCK2_+_140372748.23-P1P2	929	0	989	1
ADCK2_+_140373084.23-P1P2	1364	2	2379	3820
ADCK2_+_140373152.23-P1P2	4378	5268	2059	2108
ADCK2_-_140373160.23-P1P2	3011	1	2264	1
ADCK2_-_140373404.23-P1P2	5	1801	871	4331
ADCK3_+_227128242.23-P1P2	3	3	2254	5164
ADCK3_+_227128400.23-P1P2	2347	3490	3246	3348
ADCK3_-_227128046.23-P1P2	2888	2800	646	1476
ADCK3_-_227128055.23-P1P2	2951	4	1568	4627
ADCK3_-_227128078.23-P1P2	4	4	1742	1372
ADCK4_+_41222752.23-P1P2	1590	1	224	0
ADCK4_-_41222351.23-P1P2	1777	1	1176	0
ADCK4_-_41222709.23-P1P2	0	0	616	0
ADCK4_-_41222769.23-P1P2	0	0	734	0
ADCK4_-_41222791.23-P1P2	2553	2	2776	5354
ADCK5_+_145597793.23-P1P2	0	0	128	0
ADCK5_-_145597191.23-P1P2	647	0	437	0
ADCK5_-_145597250.23-P1P2	802	1	476	0
ADCK5_-_145597781.23-P1P2	2581	1275	2476	1710
ADCK5_-_145597789.23-P1P2	7	5083	632	1753
ADC_+_33546832.23-P1P2	3646	3	903	3
ADC_+_33546850.23-P1P2	1728	5264	628	1
ADC_+_33546977.23-P1P2	4	0	889	1278
ADC_-_33546826.23-P1P2	2178	3119	882	4
ADC_-_33546829.23-P1P2	0	0	362	0
ADH1B_+_100242040.23-P1P2	3	3163	485	2
ADH1B_+_100242511.23-P1P2	5	3	1597	2081
ADH1B_-_100242120.23-P1P2	0	0	178	0
ADH1B_-_100242280.23-P1P2	1	0	477	0
ADH1B_-_100242333.23-P1P2	1	0	534	0
ADH1C_+_100273655.23-P1P2	1906	2354	430	438
ADH1C_-_100273471.23-P1P2	0	0	98	0
ADH1C_-_100273518.23-P1P2	0	0	405	0
ADH1C_-_100273879.23-P1P2	3067	2	753	2906
ADH1C_-_100273923.23-P1P2	4674	6	1782	2090
ADH4_+_100065429.23-P1P2	8	6608	1021	1
ADH4_+_100065433.23-P1P2	1424	1	887	1
ADH4_+_100065444.23-P1P2	1122	5250	210	5
ADH4_+_100065450.23-P1P2	0	0	0	0
ADH4_-_100065227.23-P1P2	2	0	385	2267
ADH5_+_100009684.23-P1P2	2	2187	863	2
ADH5_+_100009798.23-P1P2	1	1	374	1108
ADH5_+_100009821.23-P1P2	1364	1	672	1785
ADH5_+_100009838.23-P1P2	1665	0	3877	0
ADH5_-_100009831.23-P1P2	6	1	2207	0
ADK_+_75911404.23-P2	1	0	1421	1
ADK_+_75911444.23-P2	1361	1	570	1798
ADK_+_75936517.23-P1	2605	6	2050	2224
ADK_+_75936538.23-P1	4334	0	1429	2
ADK_+_75936570.23-P1	2105	4419	1546	1535
ADK_+_75936748.23-P1	0	0	205	0
ADK_-_75911021.23-P2	1	2484	891	1
ADK_-_75911025.23-P2	4	2188	387	0
ADK_-_75911437.23-P2	717	1	918	2
ADK_-_75936578.23-P1	0	0	600	1
ADORA1_+_203096891.23-P1P2	4421	1	1283	7
ADORA1_+_203097450.23-P1P2	4065	4	2160	2249
ADORA1_+_203097472.23-P1P2	2888	4647	2235	2498
ADORA1_+_203097506.23-P1P2	5	5388	1065	3
ADORA1_-_203096974.23-P1P2	1	3	627	2913
ADORA2A_+_24820308.23-P1P2	2445	8	2966	5521
ADORA2A_-_24819888.23-P1P2	1992	2062	1558	2
ADORA2A_-_24819903.23-P1P2	3	4111	1825	1754
ADORA2A_-_24819947.23-P1P2	1659	4739	1426	1633
ADORA2A_-_24820281.23-P1P2	3	4	888	4012
ADORA2B_+_15848686.23-P1P2	1693	4	262	3063
ADORA2B_+_15848965.23-P1P2	1	1	1	1770
ADORA2B_-_15848659.23-P1P2	5207	2188	2665	2
ADORA2B_-_15848791.23-P1P2	0	0	310	0
ADORA2B_-_15848949.23-P1P2	1657	2	1244	1734
ADORA3_+_112031013.23-P1	6	7627	851	3
ADORA3_+_112031386.23-P1	32	3282	2128	1885
ADORA3_+_112031407.23-P1	0	0	1263	0
ADORA3_+_112031411.23-P1	887	0	839	0
ADORA3_+_112031418.23-P1	1368	3	1510	862
ADORA3_+_112045890.23-P2	1	1	902	0
ADORA3_+_112046055.23-P2	1633	3	359	1871
ADORA3_+_112046115.23-P2	629	0	652	0
ADORA3_+_112046284.23-P2	1	0	954	0
ADORA3_-_112046251.23-P2	1	0	581	373
ADRA1A_+_26724406.23-P1P2	5227	3001	2354	4171
ADRA1A_-_26724311.23-P1P2	1415	1	1606	3640
ADRA1A_-_26724340.23-P1P2	371	0	522	0
ADRA1A_-_26724356.23-P1P2	5495	4	1117	0
ADRA1A_-_26724373.23-P1P2	1	0	581	0
ADRA1B_+_159343520.23-P1P2	4369	4	3131	1973
ADRA1B_+_159344209.23-P1P2	2700	0	442	2235
ADRA1B_+_159344222.23-P1P2	2	0	679	1447
ADRA1B_-_159343504.23-P1P2	6041	5738	1660	1607
ADRA1B_-_159343900.23-P1P2	1152	2682	738	1
ADRA1D_+_4229485.23-P1P2	1359	9	1358	3993
ADRA1D_-_4229164.23-P1P2	4	1	2841	2
ADRA1D_-_4229250.23-P1P2	2844	2	1104	2
ADRA1D_-_4229495.23-P1P2	2385	939	1343	1575
ADRA1D_-_4229926.23-P1P2	421	3188	1437	1295
ADRA2A_-_112837142.23-P1P2	2959	1	1822	2
ADRA2A_-_112837201.23-P1P2	2019	5	2037	3393
ADRA2A_-_112837216.23-P1P2	0	0	0	0
ADRA2A_-_112837238.23-P1P2	843	0	956	0
ADRA2A_-_112837251.23-P1P2	3317	0	338	0
ADRA2B_+_96781839.23-P1P2	2506	7	1294	3313
ADRA2B_-_96781873.23-P1P2	2	0	1336	0
ADRA2B_-_96781894.23-P1P2	0	0	894	0
ADRA2B_-_96782243.23-P1P2	1	1	816	1988
ADRA2B_-_96782246.23-P1P2	1207	0	0	0
ADRA2C_+_3768074.23-P1P2	957	2	1604	2570
ADRA2C_+_3768082.23-P1P2	3942	6	3691	3790
ADRA2C_+_3768098.23-P1P2	536	0	871	2
ADRA2C_-_3767700.23-P1P2	1	1	555	1910
ADRA2C_-_3767888.23-P1P2	1943	1	3155	2
ADRB1_+_115804002.23-P1P2	2	1	1101	1937
ADRB1_-_115803895.23-P1P2	3330	1737	1782	652
ADRB1_-_115804061.23-P1P2	3174	5168	3312	7154
ADRB1_-_115804069.23-P1P2	855	3	1651	2191
ADRB1_-_115804075.23-P1P2	1519	3167	1555	1581
ADRB2_+_148206220.23-P1P2	5883	2197	2397	1937
ADRB2_+_148206227.23-P1P2	3057	5085	1898	2
ADRB2_-_148206186.23-P1P2	2952	2	1489	3222
ADRB2_-_148206207.23-P1P2	2349	1	1853	1966
ADRB2_-_148206413.23-P1P2	1139	3	1942	1
ADRB3_+_37822768.23-P1P2	1227	3119	904	1533
ADRB3_-_37822919.23-P1P2	1476	1	562	1254
ADRB3_-_37823380.23-P1P2	523	1	1470	3788
ADRB3_-_37823667.23-P1P2	1408	6111	1905	3489
ADRB3_-_37823742.23-P1P2	1571	0	799	2133
ADRBK1_+_67033933.23-P1P2	1424	4656	1882	2862
ADRBK1_+_67034195.23-P1P2	1	0	310	0
ADRBK1_+_67034566.23-P1P2	5413	3	1694	2
ADRBK1_-_67033953.23-P1P2	2	5191	923	2
ADRBK1_-_67034001.23-P1P2	2022	2	1409	1357
ADRBK2_+_25960616.23-P1P2	5283	5642	2145	7998
ADRBK2_-_25960625.23-P1P2	4246	2869	2391	1950
ADRBK2_-_25960628.23-P1P2	0	0	121	0
ADRBK2_-_25960707.23-P1P2	4453	6	4273	3263
ADRBK2_-_25960854.23-P1P2	2299	1	1041	57
ADSSL1_+_105190776.23-P1P2	3574	10	2240	3313
ADSSL1_+_105190789.23-P1P2	4870	3	2946	1552
ADSSL1_+_105190984.23-P1P2	1499	2	614	1
ADSSL1_-_105190591.23-P1P2	2664	1602	2046	1748
ADSSL1_-_105190615.23-P1P2	2787	4942	1320	1932
AFG3L2_+_12377215.23-P1P2	0	0	27	0
AFG3L2_-_12377072.23-P1P2	0	0	0	0
AFG3L2_-_12377209.23-P1P2	0	0	77	0
AFG3L2_-_12377212.23-P1P2	0	0	100	0
AFG3L2_-_12377232.23-P1P2	0	0	0	0
AGTR1_+_148416039.23-P1P2	1626	2	328	2
AGTR1_+_148416061.23-P1P2	1571	2	2120	2080
AGTR1_-_148415743.23-P1P2	3	1	2539	1578
AGTR1_-_148415748.23-P1P2	1093	1	1657	2
AGTR1_-_148415793.23-P1P2	4	4115	2236	1619
AGTR2_+_115301983.23-P1P2	1775	0	138	1
AGTR2_+_115302459.23-P1P2	0	0	468	0
AGTR2_-_115301994.23-P1P2	0	0	870	0
AGTR2_-_115302232.23-P1P2	0	0	145	0
AGTR2_-_115302383.23-P1P2	1480	1	193	0
AGXT2_+_35048018.23-P1P2	1	0	449	0
AGXT2_-_35047934.23-P1P2	2747	1	678	1624
AGXT2_-_35047958.23-P1P2	3	1	1300	2180
AGXT2_-_35047966.23-P1P2	0	0	0	0
AGXT2_-_35048026.23-P1P2	4	1	703	1971
AGXT_+_241808192.23-P1P2	3	1154	1365	3640
AGXT_+_241808286.23-P1P2	2795	1	715	0
AGXT_+_241808483.23-P1P2	117	0	898	0
AGXT_+_241808706.23-P1P2	4	2431	1501	1610
AGXT_-_241808273.23-P1P2	878	0	1261	0
AHCY_-_32890731.23-P1P2	1182	1518	2515	2055
AHCY_-_32890950.23-P1P2	1514	2	1244	4
AHCY_-_32891095.23-P1P2	3535	5042	2462	3560
AHCY_-_32891101.23-P1P2	2	0	719	0
AHCY_-_32891145.23-P1P2	1818	0	2147	1639
AK1_+_130639930.23-P1P2	2502	3	1714	1363
AK1_+_130639945.23-P1P2	2139	1396	1058	1182
AK1_-_130639512.23-P1P2	2	0	415	0
AK1_-_130639710.23-P1P2	2616	0	1352	1238
AK1_-_130639906.23-P1P2	2548	2717	2003	1478
