	Diff	Lower	T0	Upper
	Rep1	Rep1	Rep1	Rep1
sgId				
AADACL2_+_151451732.23-P1P2	0	0	304	0
AADACL2_+_151451926.23-P1P2	3	0	610	0
AADACL2_+_151452121.23-P1P2	3	1	607	1877
AADACL2_-_151451828.23-P1P2	1214	2	1554	3
AADACL2_-_151451961.23-P1P2	0	0	0	0
AADAT_+_171010904.23-P1P2	1974	2054	1724	5
AADAT_+_171010929.23-P1P2	827	1	1138	3
AADAT_+_171011392.23-P1P2	2221	0	978	2391
AADAT_-_171011321.23-P1P2	11	5447	1481	1
AADAT_-_171011368.23-P1P2	7631	1699	898	469
AAK1_+_69870290.23-P1P2	2045	2727	2102	2495
AAK1_+_69870701.23-P1P2	2995	8	1907	5538
AAK1_-_69870541.23-P1P2	2556	4	620	1090
AAK1_-_69870791.23-P1P2	2154	6	2396	2955
AAK1_-_69870794.23-P1P2	1591	1	231	0
AANAT_+_74463718.23-P1P2	1	1	876	0
AANAT_+_74463735.23-P1P2	10	5765	1784	3530
AANAT_+_74464088.23-P1P2	1768	1	426	1
AANAT_-_74464175.23-P1P2	1502	6	1048	3968
AANAT_-_74464185.23-P1P2	0	0	350	0
AARS2_+_44280650.23-P1P2	1476	2297	1456	2159
AARS2_+_44281006.23-P1P2	1	4	293	1078
AARS2_+_44281027.23-P1P2	0	0	91	0
AARS2_+_44281044.23-P1P2	0	0	0	0
AARS2_+_44281056.23-P1P2	0	0	139	0
AARS_+_70323318.23-P1P2	0	0	0	0
AARS_+_70323322.23-P1P2	0	0	0	0
AARS_+_70323353.23-P1P2	0	0	0	0
AARS_+_70323362.23-P1P2	0	0	0	0
AARS_-_70323332.23-P1P2	0	0	0	0
AASS_+_121784000.23-P1P2	1	1	762	0
AASS_+_121784219.23-P1P2	1484	4474	860	2336
AASS_+_121784247.23-P1P2	5	3	587	3473
AASS_-_121784277.23-P1P2	465	2	3317	2066
AASS_-_121784328.23-P1P2	1217	0	834	0
AATK_+_79139571.23-ENST00000326724.4	1436	0	579	0
AATK_+_79139589.23-ENST00000326724.4	10	4351	2253	2862
AATK_+_79139592.23-ENST00000326724.4	5651	7	1724	1709
AATK_-_79139586.23-ENST00000326724.4	1	0	917	0
AATK_-_79139956.23-ENST00000326724.4	340	1	1463	1
ABAT_+_8768492.23-P1	2075	5985	1793	1110
ABAT_+_8768682.23-P1	1585	0	1102	0
ABAT_+_8807445.23-P2	1209	1655	2415	4149
ABAT_+_8807450.23-P2	7032	2	2253	3
ABAT_+_8807464.23-P2	3998	0	2813	0
ABAT_+_8807492.23-P2	1	0	365	0
ABAT_+_8807696.23-P2	1956	2	775	3454
ABAT_-_8768504.23-P1	2045	0	1708	1055
ABAT_-_8768523.23-P1	791	1362	1417	4103
ABAT_-_8768533.23-P1	1283	0	1320	2651
ABCC2_+_101542515.23-P1P2	6	6253	271	3
ABCC2_+_101542910.23-P1P2	1	0	924	0
ABCC2_+_101542914.23-P1P2	2	1	599	0
ABCC2_+_101542981.23-P1P2	1436	3	1	1517
ABCC2_-_101542808.23-P1P2	0	0	121	2
ABCC8_+_17497953.23-P1P2	1309	9179	2670	10
ABCC8_+_17498387.23-P1P2	1978	3	1162	1453
ABCC8_-_17497979.23-P1P2	588	2	1556	1637
ABCC8_-_17497997.23-P1P2	843	0	316	333
ABCC8_-_17498220.23-P1P2	1	0	787	1
ABCC9_+_22093672.23-P1P2	1551	5	1976	2871
ABCC9_+_22093678.23-P1P2	6	3437	939	3948
ABCC9_+_22093937.23-P1P2	1	0	868	0
