	differentiation	differentiation	differentiation	differentiation	lower	lower	lower	lower	upper	upper	upper	upper	upper_vs_lower	upper_vs_lower	upper_vs_lower	upper_vs_lower
ABL1	0.658655219218065	-1.9109046172066018	5	5	0.41336568607601687	13.114340413852075	5	5	0.3451572999726943	-8.555367677760819	4	4	0.13337240979269685	-19.1542383724871	4	4
ABL2	0.6741779552583458	-7.621357773066628	10	10	0.0580491303599756	1.161090065426693	7	7	0.791037566990791	-3.0742794481550253	8	8	0.059518904482867625	-3.626829290462475	7	7
ABO	0.6520487777239974	-9.658186506881508	10	10	0.4917323348562713	10.541684014936564	7	7	0.09993002248459801	4.162458632132911	10	10	0.6249986819936313	-9.007166544889671	9	9
ACACA	0.596461338685674	-2.4612897399429206	2	2	0.5375629227149763	9.267752152298502	1	1	0.28553710900058427	-9.609806301822237	1	1	0.16445942242404576	-18.719242855847156	1	1
ACACB	0.7720303420692891	-7.41168668980912	10	10	0.28201542909520005	8.369049244581385	8	8	0.025861085942513816	-9.978762605656485	7	7	0.328979664361046	-12.396373872801197	4	4
ACAD8	0.796238686445729	-5.14204013418271	5	5	0.16866955242440906	-1.242129858850366	3	3	0.4527416801848736	3.137936917853368	5	5	0.016994668148383563	2.579770821663857	4	4
ACADS	0.8425318555109911	-1.7742285519416683	4	4	0.03827739578683361	12.796152770019631	4	4	0.4410869463680115	0.1625082246383279	4	4	0.13483850080849313	-12.570974818591894	4	4
ACADSB	0.8179220033841036	-5.326693921431429	5	5	0.07676469029104925	10.52831554721977	3	3	0.4424382529993408	-5.762260553507013	3	3	0.02292368297956147	-16.132260502453196	3	3
ACAN	0.32098872758613173	-8.348745459788764	5	5	0.46515576062352537	6.433114083537904	3	3	0.9747526697951306	-3.3845153204549128	2	2	0.6820945368121456	-8.992469147875829	2	2
ACAT1	0.5399564771635108	-2.148116687112178	5	5	0.7821079573131526	3.023360808810915	4	4	0.5127365733454055	-1.6452337421676086	4	4	0.28372586387635934	-1.140103205422473	3	3
ACAT2	0.9826255065052809	-3.8237627927443456	5	5	0.531361845536493	5.061881221609792	4	4	0.12833514248344893	-6.813331360388502	3	3	0.5362947692730948	-9.266966139833414	2	2
ACCS	0.9281118048858265	-2.543827974689905	5	5	0.531361845536493	6.436742745465054	4	4	0.8551349242950246	-4.577830767659136	4	4	0.9478833410736787	-7.856687387172559	3	3
ACE	0.033316776519987906	-4.109479696296987	10	10	0.2937924051390467	11.71531249616801	9	9	0.9756540071521708	-4.194023284215988	10	10	0.4565074082352919	-8.922433257523135	8	8
ACE2	0.873933557973914	-7.958562292423246	5	5	0.6091632486488154	4.794568965038268	3	3	0.45478430734899733	-3.8778733104364975	3	3	0.29446852463267126	-10.34982820949026	1	1
ACHE	0.7570740684601178	-4.989148842866423	10	10	0.5506965586058419	13.594679390385132	9	9	0.5557578559897689	-9.379973727786355	8	8	0.27569348742988853	-17.026633459105028	7	7
ACOT13	0.42037863746455084	-1.6085951601841242	5	5	0.5968850098355618	9.301971800765097	4	4	0.4202528969014685	-6.212360583086563	4	4	0.17395866300991503	-11.963618807502579	3	3
ACOX1	0.6385193141827058	-1.9949551683203548	5	5	0.7000975714835349	12.634811065347348	5	5	0.21083350165903247	-9.03107497670659	4	4	0.028072903917628345	-15.743043830961417	3	3
ACP1	0.3593493008586295	-0.8211800972615991	4	4	0.7149683940145535	5.948391973950602	3	3	0.7298092230405315	-2.75136487532608	3	3	0.4101670005354886	-8.541441251003102	3	3
ACP2	0.510087515498811	-5.5102199094417434	4	4	0.5552410132851231	4.838610259768108	3	3	0.35872597602841694	-5.001125076568911	2	2	0.9104736464053713	-8.218645528962917	2	2
ACP5	0.21922635057735262	-3.974665470920346	10	10	0.4855389112003845	15.804492058515406	10	10	0.4235123840134718	1.3152350383686244	9	9	0.7982248751916963	-15.782745774484395	10	10
ACP6	0.706591112613975	-2.490531914927034	5	5	0.16970231506403877	9.627877853190268	4	4	0.5127365733454055	-3.651017566496742	4	4	0.07366207176847364	-12.747833502559402	4	4
ACPP	0.5947320564768949	-5.424741431023339	5	5	0.05683018584747356	-1.7372074079816393	3	3	0.6464833221017146	-3.239257015249144	4	4	0.08136226093604486	2.4481119821555346	2	2
ACPT	0.49234556290117515	-7.999642160065425	4	4	0.09632196066064434	13.865149769068568	2	2	0.45131459036533306	4.498825728763509	2	2	0.3268512455657838	-9.473147848906175	3	3
ACSL1	0.7089048878151754	-1.0624134991922278	5	5	0.6495149198167876	4.440904842416745	5	5	0.5172694057571987	-3.713845609836751	5	5	0.8158285203497877	-3.425923347318724	2	2
ACSL3	0.48393449537870303	-1.616075985144372	5	5	0.3851007357897961	1.6640875996874438	4	4	0.09852606466405768	-9.175306144361134	4	4	0.7844784035957554	-8.054289758903238	1	1
ACSL4	0.9429565476279621	-4.424222612369181	5	5	0.33425458174009104	12.29151782150704	4	4	0.2852170096486085	4.172871084424615	5	5	0.600832625879296	-12.582914957386263	5	5
ACSS2	0.5115451476448174	-8.224750317177115	5	5	0.8529114166419892	5.226364335724162	3	3	0.046551960407658466	10.037086490982801	5	5	0.11189482153329385	-1.0951760392658862	5	5
ACTA1	0.4445098965370734	-9.031793322535458	10	10	0.9972922244427597	15.578534833764685	8	8	0.7623699218056076	3.735654062486708	8	8	0.6912582948946397	-19.4399036223578	7	7
ACTR2	0.12662916676606095	-9.470566383876752	5	5	0.90661939510372	7.786194279286483	2	2	0.9747526697951306	-0.10406011977633867	2	2	0.8732478202697368	-7.367601690521833	1	1
ACVR1	0.13617225857894616	-9.326510159614717	5	5	0.5032906715876146	-0.5963441747130744	2	2	0.5818549377811695	-4.418069048617424	2	2	0.23597275505870985	2.3544198605162663	1	1
ACVR1B	0.7353151878576605	-4.794451064102783	4	4	0.7984851849034864	4.531053268303638	2	2	0.6612646542662587	-3.0979433543255444	3	3	0.8408646898041267	-8.188900604696816	2	2
ACVR1C	0.2099302869161621	-8.934651044005731	5	5	0.585768495801301	6.0956070126814295	3	3	0.49948906399740156	0.7466122188210172	3	3	0.4721312575287234	-3.750036497291044	3	3
ACVR2A	0.3426850656797221	-5.909491534469981	5	5	0.13070404827038273	-1.4314536340454591	3	3	0.5070415521207191	3.218177821532803	5	5	0.013481143870562104	2.8179688588817395	3	3
ACVR2B	0.873933557973914	-5.050663556391396	5	5	0.7487826623978457	6.155994334462355	3	3	0.5127365733454055	3.430458584381011	4	4	0.9594980633084279	-5.455590577524485	4	4
ACVRL1	0.07879024968458276	-9.294157400430898	5	5	0.48585162938057114	9.04453197162958	2	2	0.14746855455587582	4.621342886723592	3	3	0.8343169373703494	-5.140696993204769	3	3
ACY1	0.7770952342274552	-5.127329633769623	5	5	0.6571523066131331	6.016321009779318	3	3	0.47893417805677974	1.3751830307949156	4	4	0.7053899464614647	-8.26984366731674	4	4
ACY3	0.9530991676245056	-3.9811864024703763	10	10	0.8284394640883563	9.586373243787213	6	6	0.9334387352730737	-3.7252342618978993	7	7	0.7858808682082163	-8.28553922934745	5	5
ACYP2	0.7298480599090271	-5.599107844588635	5	5	0.585768495801301	-0.027320279269738457	3	3	0.8406659733061108	-2.6189733681712286	3	3	0.43594688289199346	1.3981317195864609	2	2
ADAM33	0.14114747584819154	-0.9167162400141707	5	5	0.23739063242182845	5.171492619064591	5	5	0.0031541549628372975	-10.564334735302396	4	4	0.09169818378552001	-20.64557927957022	1	1
ADAMTS5	0.8446126894882864	-2.6299092587083135	5	5	0.1868253721323272	13.683351266237501	5	5	0.9398308330388704	-3.2432766929997214	5	5	0.15018878442626313	-13.047793534991575	4	4
ADC	0.3554942292779245	-4.638299368722184	5	5	0.6490481557326151	6.056825186272835	3	3	0.26752395380466343	-3.717883406872558	4	4	0.30787314950254463	-11.978946265132565	3	3
ADCK1	0.14114747584819154	0.6302739613185674	5	5	0.7851132742816158	9.615507380921384	5	5	0.14927057381833403	-9.624840370447897	5	5	0.12345510863444276	-19.0820321530957	4	4
ADCK2	0.796238686445729	-2.262444581487693	5	5	0.6873156375072493	7.8320289344257565	5	5	0.7839919419285195	-3.3761013036701155	5	5	0.7339331001497869	-4.481649765901612	3	3
ADCK3	0.9528643831895542	-5.262640987918663	5	5	0.7402807379176981	5.76441770266482	3	3	0.09132986707090514	7.116316744936305	5	5	0.45653844114365516	-4.841059520967504	5	5
ADCK4	0.8690335729624106	-5.1972734728861125	5	5	0.044883505087621074	-1.8185136015666838	3	3	0.2218154584556069	-6.27821087400346	3	3	0.11582216212918461	3.2901255125841296	1	1
ADCK5	0.8300299660958327	-4.127853948765028	5	5	0.6943011151394684	8.377231435498544	4	4	0.725001421612616	-3.164049771927742	4	4	0.46486056438592327	-8.65245348938758	2	2
ADH1B	0.039147534940472385	-8.635437106038747	5	5	0.12931924184002297	18.806274017765393	1	1	0.2397319779840591	9.210700323486899	1	1	0.5794599973297945	-8.690765456808254	2	2
ADH1C	0.2285972334382833	-4.258367470281203	5	5	0.49661958459110656	2.136316755235759	3	3	0.7143658371036914	-0.6105973646135837	3	3	0.8959888013798673	-2.588598521575761	3	3
ADH4	0.6379971054031058	-3.9318065904722332	4	4	0.37773454538502194	9.244328440397522	3	3	0.8811649947325965	-2.203464038343422	3	3	0.4328167340199195	-11.955931464066884	3	3
ADH5	0.2694082673095187	-8.483856350174785	5	5	0.6571523066131331	5.090470974855278	3	3	0.722073372123303	0.4427838054975688	3	3	0.5389301710621042	-4.489371571084129	3	3
ADK	0.4316429900360934	-9.710581023125064	10	10	0.7738128048761411	15.912074070907915	7	7	0.5432984793919298	-5.878961762289449	5	5	0.2597848020125052	-16.062938235356942	5	5
ADORA1	0.8106778782225714	-4.9569097056875995	5	5	0.9651679075663795	8.314051319383964	4	4	0.6853174527291608	0.96007256799203	4	4	0.6970246999387522	-8.69053268346489	4	4
ADORA2A	0.46471863326889606	-5.577399542485144	5	5	0.12166114286132601	12.758960883242338	4	4	0.18585870361918444	3.7151044984877655	5	5	0.5731285292641912	-12.354851614909387	5	5
ADORA2B	0.31718938408384667	-1.4170200226426684	4	4	0.8705722637434026	2.207304073397559	3	3	0.5596674997425853	0.6091206177334011	4	4	0.44958322052773625	-4.6116009759234355	4	4
ADORA3	0.09476256739800376	-9.882386418445767	10	10	0.5624615145618221	11.16345239158993	6	6	0.7695090447895393	-3.0072968528551236	6	6	0.5066480587419633	-9.038714863235572	5	5
ADRA1A	0.5990484181778248	-1.7871948823430355	5	5	0.4290012439357622	1.5338153633300073	4	4	0.49568156501967586	-6.023829065547513	4	4	0.30017237238335026	-1.9439395468681502	2	2
ADRA1B	0.144541133606292	-1.187123971531668	5	5	0.6309687826646742	5.346042403797589	4	4	0.8956952855414111	-0.3509305821850921	5	5	0.8562820880306701	-8.795798273774933	5	5
ADRA1D	0.873933557973914	-3.16890639154618	5	5	0.7231833113381831	5.798245857324342	4	4	0.8551349242950246	-1.9230055561098212	4	4	0.6757011822409351	-5.3496800479249655	3	3
ADRA2A	0.21599672477313026	1.4510053667879959	4	4	0.05053351544657331	-2.2185384356498354	4	4	0.10221059487827824	-10.139796611646732	4	4	0.5688364963789199	1.3101417087669667	1	1
ADRA2B	0.4515240424353515	-2.9561046342324464	5	5	0.6144610494100067	-0.5969515803255128	2	2	0.5430016242013347	0.8833835323043795	3	3	0.23774939943037998	1.8255588927361996	2	2
ADRA2C	0.47812480327385365	-3.3968054730822534	5	5	0.2792385652861885	-1.020040663328541	4	4	0.6194744728092239	-1.8540336490677432	5	5	0.08208567204304086	2.080367155390569	3	3
ADRB1	0.8446126894882864	-2.926822378722323	5	5	0.29237836000836925	9.038950183348026	4	4	0.18323001736012856	3.4844415320031477	5	5	0.7936284835066508	-8.745205689672593	5	5
ADRB2	0.1779515858761347	1.1139194089030076	5	5	0.5417009389231748	4.802586363754377	5	5	0.3186852277923856	-6.935159814996119	5	5	0.6639393382542758	-8.280507700464751	4	4
ADRB3	0.3301748442224587	0.41632790894319927	5	5	0.8219370945956337	6.379266660803283	5	5	0.17805546782801218	2.045207344580557	5	5	0.15020444600610283	-4.744975952303201	5	5
ADRBK1	0.9132920403032543	-5.026288719145625	5	5	0.7598437280264725	9.508721515415898	4	4	0.5883241854428083	-3.147266305840585	3	3	0.3882370910564902	-8.975495628774844	3	3
ADRBK2	0.23960251709653968	-1.3719568686259909	5	5	0.5571290120059167	4.884992712028592	4	4	0.9325747039386475	-1.4431825355491006	4	4	0.8789105686766774	-6.169859649304111	4	4
ADSSL1	0.06971654038254288	1.154159936490074	5	5	0.8253056747074253	5.240131517073779	5	5	0.4527416801848736	-3.5934259359247123	5	5	0.73919931021022	-5.501015423701699	4	4
AFG3L2	0.47916614986689643	-6.347989993440124	2	2			0	0			0	0			0	0
AGTR1	0.5565387849780812	-5.390258847403967	5	5	0.8804356894793568	5.512654507156506	4	4	0.5808017667124457	3.187132074478873	5	5	0.39546642589326464	-1.6627892917114842	3	3
AGTR2	0.9578211305664799	-8.486115669297854	5	5	0.08328164753933488	-1.8987399854640543	2	2	0.049009047156787854	-10.153412448645202	2	2			0	0
AGXT	0.5904297515026957	-6.650062446587931	5	5	0.7454858949282303	10.89288088404332	5	5	0.8581149213665248	-3.1518020867457204	5	5	0.7419352927113232	-7.564872900349735	2	2
AGXT2	0.5011749479368746	-8.218611782969216	4	4	0.10221247318357417	-2.659482517106701	1	1	0.15331732986472651	6.406752736004239	3	3	0.011850774517032332	2.8037775549076698	3	3
AHCY	0.8446126894882864	-2.895282099880552	5	5	0.7159237878916427	5.445591288218563	4	4	0.7518818941316937	-2.075790866506815	4	4	0.6661707096834564	-4.558166635838567	3	3
AK1	0.3554942292779245	-1.7858842366222252	5	5	0.5000252127677114	4.805263190623237	4	4	0.6337432528827855	-0.42755079823838815	4	4	0.8258231017016949	-5.044101487712429	4	4
AK2	0.3957036096375639	-5.596880947513032	5	5	0.8090992011947153	3.0813123604593358	3	3	0.52427417285245	1.1228242147866583	4	4	0.6928555383452981	-4.96354421258267	4	4
AK3	0.03855970884801189	1.7740661976284853	5	5	0.44881407361318837	5.707086624294685	5	5	0.03289410893204459	-10.25584035564883	5	5	0.13312527278221614	-13.745066561525864	2	2
AK4	0.13617225857894616	1.1124285841523964	5	5	0.6309401810778674	5.82960916295299	5	5	0.14266209793969242	-9.590384537249166	5	5	0.21317480563693292	-9.715710963387775	2	2
AK5	0.8935800401313878	-2.341585704118463	5	5	0.48052522116739704	8.814011489092854	5	5	0.8768704073296054	-3.34625305162101	5	5	0.8789105686766774	-8.718708291733735	4	4
AK7	0.144541133606292	-8.42327865785669	5	5	0.4194790066791383	5.565907441060967	2	2	0.6900654181700063	0.6650007305797487	2	2	0.7663400909455875	-4.742591112207636	2	2
AK8	0.5776096057176283	-5.180499917860583	5	5	0.4282529077397984	-0.7642598596918747	3	3	0.4305968039387904	1.1628034907166387	4	4	0.11073291951661242	1.9433832722454636	3	3
AKAP1	0.3939751512759767	-5.850529394030571	5	5	0.11259058949745608	12.784886132486657	4	4	0.36131975848283715	1.296279975121629	4	4	0.34028579875010123	-11.330290559091447	4	4
AKAP10	0.13947377694672577	-0.12645745386644425	5	5	0.9961285525583008	8.70353041397111	4	4	0.19504224842376872	-6.694712502082294	4	4	0.2250684015537232	-15.239927317779824	4	4
AKAP11	0.991657807549707	-2.3184205284926525	4	4	0.5704074343351997	2.52003528681507	3	3	0.7722437277315011	-2.716781935570834	4	4	0.6703485954696016	-2.7345930348071157	2	2
AKAP12	0.9167244218169188	-9.459857575636322	10	10	0.7078836605687635	10.74247336914148	7	7	0.3178483337445568	-10.525964005825688	7	7	0.12126460427525626	-12.595584973548348	5	5
AKAP13	0.2667197221875778	0.685819233998692	5	5	0.46451908390559005	2.2205213607084073	5	5	0.7117797418322476	-2.1357024010656662	5	5	0.21239151851507987	-0.8897016483230612	4	4
AKAP14	0.2973166090763525	-1.8778764124810632	5	5	0.33668897571575884	1.604750558186795	4	4	0.44797363655519107	1.0977848897620308	5	5	0.2042318760697932	-1.124135969782894	4	4
AKAP3	0.7225367342472866	-8.606026469774795	10	10	0.5885107207714262	8.578130212357548	5	5	0.7790667922440223	-1.2445383788811668	4	4	0.8700179988420107	-8.40774168980851	4	4
AKAP4	0.12662916676606095	-8.452127807090895	5	5	0.38085195277815376	5.829944197794692	2	2	0.4202528969014685	3.3451683145708073	4	4	0.8343169373703494	-2.4925210595266556	3	3
AKAP5	0.2667197221875778	-6.209431680939013	5	5	0.17217300469416408	-1.3710163739069714	3	3	0.06207175060571841	4.911566136759306	4	4	0.0023550770860028872	3.3180626217706286	4	4
AKAP6	0.1250905407901824	-9.048240552690123	5	5	0.2139449508800998	-1.8985096975483877	1	1	0.6343255443666005	0.8560275826606398	1	1	0.13253452702666654	2.9128528784826084	1	1
AKAP7	0.2144901757783808	1.1522756099945906	5	5	0.2514186754143072	9.555806934892813	5	5	0.920884946588816	-0.9732601688768847	5	5	0.33408711249686085	-10.876056578139776	5	5
AKAP8	0.527684126430728	-2.1867072702180104	5	5	0.8804356894793568	5.9230008708920225	4	4	0.8065247000992642	-2.9734790130646798	4	4	0.5133369238656149	-5.895417842874887	3	3
AKAP8L	0.7723299480302798	-5.495394265442493	5	5	0.5062131185383894	8.987248907799174	4	4	0.9467455917978067	-2.697149732427126	4	4	0.39546642589326464	-8.651931161528998	3	3
AKAP9	0.4257812785281928	-1.766243958729257	5	5	0.13889768053346235	0.7457344619227081	4	4	0.09494837221736437	-7.55764981126362	4	4	0.7636590663535476	-5.564211706801494	3	3
AKR1A1	0.897395526008232	-4.489026046880544	4	4	0.30136537035113253	15.185783906839385	4	4	0.39504049271710706	3.9960583050727307	4	4	0.7648956320274692	-11.031410003493072	4	4
AKR1B1	0.09602911203390911	1.2937203115853715	5	5	0.7984529001193882	8.909866603690036	5	5	0.2642739645270643	-4.529989205745275	5	5	0.523724542072301	-9.242079940476053	4	4
AKR1B10	0.3620106242520005	-0.9929728895600322	5	5	0.42173115071459977	2.057274017700488	3	3	0.6085891595427434	0.6163149332257907	4	4	0.16001850604132772	-4.405958770167669	4	4
AKT1	0.28592959058318146	-9.14695660529459	5	5	0.3771129288901399	-1.0386923000037651	2	2	0.34562263485542233	1.4063563736432418	2	2	0.09640835542469206	2.6029873906610472	2	2
AKT2	0.8446126894882864	-4.463543093437485	5	5	0.29342942129780336	1.6101693244274145	3	3	0.7657358484301142	3.3088915629953366	5	5	0.09951703389258404	-0.5277106629135145	3	3
AKT3	0.2694082673095187	-1.2960075688644788	5	5	0.3198858120301791	2.3825235852931193	4	4	0.9841520134956872	-1.3073157957245032	5	5	0.9594980633084279	-2.4757758170907738	4	4
ALAS1	0.5236251773832263	-5.653672411581755	5	5	0.8004034878177372	5.705108041963221	3	3	0.9573850560846172	-2.2780671067853944	4	4	0.7143319843313938	-8.09004591872556	3	3
ALAS2	0.2535542104872802	-4.407709200922981	5	5	0.7377767445996932	8.529071972118802	4	4	0.83261298102165	-0.36942020741604686	3	3	0.7821734453778042	-10.24054599326647	4	4
ALDH18A1	0.8592488606084292	-4.988530008790183	5	5	0.04404672135171795	13.580248011447628	4	4	0.7767779949035605	-2.7389772260223917	3	3	0.030686166969931733	-16.130999322010513	4	4
ALDH1A2	0.5482166560638387	0.37486778214677235	5	5	0.9413482612877725	5.847229874810014	5	5	0.870610354342453	-2.686304748836873	5	5	0.5310988688678855	-5.702830787075989	4	4
ALDH1B1	0.35874312396687147	-6.567978326695214	5	5	0.3198858120301791	10.33043806501348	4	4	0.5013327091844778	0.999389618522884	4	4	0.22941178941125662	-9.839492721269663	4	4
ALDH1L1	0.10504718952114757	-1.286713772061861	5	5	0.1446962403447562	12.056871792890973	5	5	0.8831381715323786	2.8794368453230703	5	5	0.15894611628304312	-9.605259535542158	5	5
ALDH3A1	0.3332743349837033	-1.795399322853064	5	5	0.8286773003410399	12.27633942987761	5	5	0.3167608188120613	-2.7214081546896085	5	5	0.07981101478978106	-14.632883195016674	3	3
ALDH3A2	0.9578211305664799	-2.906813598765749	5	5	0.48052522116739704	9.470052783134792	5	5	0.19812902219344897	-9.33139305690378	4	4	0.27789506920762963	-11.63843767626826	3	3
ALDH3B1	0.6732379294219856	-6.029606939032933	4	4	0.20618525730562753	9.306352575914515	3	3	0.6914202086128467	2.769692386120663	3	3	0.39546642589326464	-6.378705238144966	3	3
ALDH4A1	0.5035733777282381	-1.7599981170751526	5	5	0.49136071381051816	9.131529073628032	5	5	0.977814219447674	-3.272328636517496	5	5	0.8611418352622409	-8.55689199426899	4	4
ALDH5A1	0.088802283445378	0.5597166604363415	5	5	0.7065208124412616	9.926119685388473	5	5	0.9588108368263932	-5.105380439855133	5	5	0.523724542072301	-12.35702436483013	4	4
ALDH9A1	0.7818689219529655	-5.313010718814014	5	5	0.30919237979861824	-0.983405851088671	3	3	0.4410869463680115	0.8792844124240812	4	4	0.10783944423394784	1.979259735161709	3	3
ALK	0.873933557973914	-7.491749836150368	5	5	0.018337090813683073	18.8208687688079	5	5	0.7654382284752708	2.2386686138975205	4	4	0.026174358586860468	-15.608404846307776	5	5
ALLC	0.32403203580901174	-8.519789350586297	5	5	0.3423673177460389	8.749517396100618	3	3	0.514432631121607	-0.9551685764549169	2	2	0.13273684784334738	-9.99391009993654	3	3
ALOX5	0.14799697279868418	1.5776858593419225	5	5	0.6186843620292639	6.646219745124713	5	5	0.07066770854040416	-9.921947015967634	5	5	0.05463938506298668	-13.518366657013367	3	3
ALPI	0.15509756432830935	-6.447774393184083	5	5	0.08323427312921106	14.087850910427825	4	4	0.10589678650481536	3.8707430103905414	5	5	0.5869048553378209	-12.825595445100548	5	5
ALPK1	0.971049885950665	-4.1055693101393755	3	3	0.9614759412019189	8.270215175897826	2	2	0.16972264386418157	-10.108359388159826	1	1	0.11582216212918461	-19.14135296299159	1	1
ALPK2	0.3274124270112525	-8.451993263817263	4	4	0.2139449508800998	-1.8868930132097734	1	1	0.430286183439199	3.2025520004696784	3	3	0.26426000763479185	1.768278443527028	2	2
ALPK3	0.3669466236168283	-3.890620248311641	5	5	0.4549198007785964	-0.6385769975055796	3	3	0.5596674997425853	1.4509968827397046	4	4	0.16582651897716705	1.7649035443164511	3	3
ALPL	0.9704595718714305	-4.806082816675475	10	10	0.4167060791301379	15.926899494072515	10	10	0.27675188343088486	-3.5461001913820893	9	9	0.8011996245294921	-15.15304947222779	9	9
ALPPL2	0.6654235908170907	-4.781172914402747	5	5	0.4817049394434679	11.4794100032141	4	4	0.5260452095634913	-3.2440501510682846	3	3	0.27789506920762963	-11.482466827070608	3	3
AMHR2	0.6231349535713715	-1.7762287704770232	4	4	0.5250157796189969	9.570061060454767	4	4	0.32946384672574525	3.426675353827195	4	4	0.7908534206355673	-5.903971352652635	4	4
AMN	0.3967850363432356	-1.921938231067309	10	10	0.0031933689241489508	-2.9469723586262613	9	9	0.6591242666114815	-10.516470090204935	10	10	0.0019004624769933345	2.929257344465657	7	7
AMT	0.5115451476448174	-3.2117060978647984	5	5	0.842310842686326	0.5935231023300949	4	4	0.8894132602842247	-2.899911372448228	5	5	0.4080983516415546	1.4134196843562243	2	2
AMY2A	0.98053646037388	-5.574535450490465	4	4	0.25824327399626645	15.493647401510108	4	4	0.9042749324668504	-3.636247364049026	2	2	0.25202305813534265	-17.73364344395912	4	4
AMY2B	0.006424522136296886	-9.555470680454542	5	5	0.1559181641394998	17.842309485703804	1	1	0.0019401179599190634	11.28979155438646	4	4	0.10535511690318651	-0.7157813109081287	4	4
ANKK1	0.8753759336580621	-4.293039317084001	4	4	0.5391364576005482	2.8158927365628994	2	2	0.2519350825721134	-5.294514686941884	2	2	0.7844784035957554	-7.807907739405756	1	1
ANXA2	0.6208411793888435	-0.8371036704628811	5	5	0.5885107207714262	7.935848228138828	5	5	0.8956952855414111	-1.2709151814725725	5	5	0.6799540307796483	-9.442239293691815	5	5
ANXA3	0.3332743349837033	-1.2978656235459123	5	5	0.8591576798181733	8.744447644251647	5	5	0.5972374256688835	-2.7522468313388306	5	5	0.40277651607707676	-8.67942951193217	3	3
ANXA5	0.9132920403032543	-4.267710466803319	5	5	0.9265462741340409	8.61463143001621	4	4	0.7790667922440223	-0.13116159029671937	4	4	0.8959888013798673	-5.431423847002402	3	3
APCS	0.33434530761715864	-8.605840409527053	4	4	0.35255407769204716	10.045787591166047	1	1	0.4666706897740691	4.5867308990579065	2	2	0.7298278002076196	-3.6599266372361132	2	2
APOE	0.5155555965670764	-8.381168572867239	5	5	0.7772466586084936	4.2015850567812745	2	2	0.3507994958490671	1.456054801958287	3	3	0.3399166751811209	-4.1080725302787	3	3
APOH	0.055307900728818686	-1.4410823003248623	9	9	0.1292707601455969	5.384515086243671	8	8	0.2711675038543353	-9.528044103187662	8	8	0.6689288169587854	-8.14870381578859	5	5
