	differentiation	differentiation	differentiation	differentiation	lower	lower	lower	lower	upper	upper	upper	upper	upper_vs_lower	upper_vs_lower	upper_vs_lower	upper_vs_lower
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1
	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene																
AADACL2	0.17966110967786508	-7.736502665871058	4	4	0.7172975569028444	-0.4813940282865268	1	1	0.634985296512836	0.8238972829265219	2	2	0.1510564044067528	2.7779370237742267	1	1
AADAT	0.31495831564176435	-0.8103619784820374	5	5	0.968928919342471	11.04480616163516	5	5	0.4734211612804661	-6.409089996946048	4	4	0.2614889143752971	-15.746464093703354	4	4
AAK1	0.08093185751056277	1.9500728420172777	5	5	0.6873156375072493	2.2507665499051916	5	5	0.9714778256351019	-2.5883247278051345	5	5	0.8170453009277164	-2.0126577883833043	4	4
AANAT	0.6385193141827058	-8.445878504279326	5	5	0.8882978938943152	5.569347891791562	3	3	0.76888768244667	0.2019501775563762	3	3	0.9679675506516953	-3.765485218414084	2	2
AARS			0	0			0	0			0	0			0	0
AARS2	0.3360931159693231	-7.1587170851078445	4	4	0.4511476761767489	9.402216813286682	1	1	0.12402452153152456	5.820973160996233	2	2	0.8283248036226699	-4.103898986358104	2	2
AASS	0.6519148178577222	-6.304020534802649	5	5	0.8441079932691453	3.257721624814684	3	3	0.3520268998704098	0.9566597737916128	4	4	0.4101670005354886	-1.6789079939410172	3	3
AATK	0.9132920403032543	-6.46345132428107	5	5	0.9574341219700276	4.970633114103378	4	4	0.5184887870266476	-3.069551304946319	4	4	0.7663400909455875	-4.432646703654311	2	2
ABAT	0.3683026545808209	-1.7208587233226915	10	10	0.085441883498772	9.68590334020047	9	9	0.5517589318443081	-10.754218656673194	9	9	0.27793649039738066	-7.934244804235267	6	6
ABCC2	0.4330475902276022	-2.406290209427032	5	5	0.3104243728495618	9.325405062013196	2	2	0.6995687521740319	0.5887325050629073	1	1	0.34737875868023205	-9.117939626888697	2	2
ABCC8	0.9677393280591112	-3.0790383935972137	5	5	0.8804356894793568	3.338794842211794	4	4	0.9751334888782764	-1.7888213244580446	4	4	0.9146227418967077	-5.178108606105014	4	4
ABCC9	0.30166375944226953	-8.479447574001043	5	5	0.51095919398674	5.965927404119131	3	3	0.23373783717869356	3.747513578961041	3	3	0.8959888013798673	-2.060098226884507	3	3
ABCE1	0.3474494805304691	1.3410884867688007	3	3	0.5762179454301578	-0.742862457545999	2	2	0.9143101396284091	-3.486963997424122	2	2	0.12676783142241782	2.9247040278475644	1	1
ABCG1	0.4312244042766943	-3.8783039781624886	5	5	0.544169601042237	11.294156993600671	4	4	0.2415489981495571	3.431443615993515	4	4	0.7735205110925591	-7.815773925552016	4	4
