	lower	upper
	Rep1	Rep1
sgId		
ABO_-_136130959.23-P2		
ABO_-_136130966.23-P2		
ABO_-_136150219.23-P1		
ABO_-_136150600.23-P1	11.099489340065537	3.08126610639024
ABO_-_136150606.23-P1	-1.5432238969730374	0.562610233991722
ACACA_+_35715534.23-P1P2	9.526423615527403	-9.004285696974188
ACACA_+_35715655.23-P1P2		
ACACA_-_35715847.23-P1P2		
ACACA_-_35715992.23-P1P2		
ACACA_-_35716002.23-P1P2		
ACACB_+_109569160.23-P1		
ACACB_+_109569170.23-P1	-1.924319728875787	-0.8106193846102377
ACACB_+_109592574.23-P2	-1.3478572656091625	-7.670637132599086
ACACB_+_109592655.23-P2		
ACACB_+_109592908.23-P2		
ACACB_-_109569178.23-P1	0.29490968663485617	-6.609426079632973
ACACB_-_109569231.23-P1	-1.6228282912106557	-9.530570658921734
ACACB_-_109569639.23-P1	10.543860378946631	-9.993436683291193
ACACB_-_109592496.23-P2	-1.5863485969439246	0.06049788702263392
ACACB_-_109592519.23-P2	-0.6896968592417689	-8.595718660212377
ACAD8_+_134123511.23-P1P2	-1.8068925938880032	0.19825437463087897
ACAD8_-_134123448.23-P1P2	-1.0229295201846291	1.484321583152695
ACAD8_-_134123455.23-P1P2	-0.12055307279176652	-9.028295440502845
ACAD8_-_134123502.23-P1P2		
ACAD8_-_134123507.23-P1P2		
ACADSB_+_124768874.23-P1P2	10.836597383157025	1.6586608180392863
ACADSB_+_124768891.23-P1P2		
ACADSB_+_124768941.23-P1P2	10.101624021624898	-9.169157976342694
ACADSB_+_124768944.23-P1P2		
ACADSB_-_124768552.23-P1P2	11.422739626564084	-7.9597226876734775
ACADS_+_121163685.23-P1P2	10.94165841294773	-8.491185233479593
ACADS_+_121164090.23-P1P2		
ACADS_-_121163653.23-P1P2	9.660844788056867	1.9813457420838767
ACADS_-_121163657.23-P1P2	10.426844938880114	1.694408127631355
ACADS_-_121163671.23-P1P2	17.795969347917747	8.81392597985485
ACAN_+_89347139.23-P1P2	-0.06728227846623369	-7.977669367432877
ACAN_+_89347148.23-P1P2		
ACAN_+_89347151.23-P1P2		
ACAN_-_89346701.23-P1P2		
ACAN_-_89347101.23-P1P2	0.11593954558953534	2.4196799362191515
ACAT1_+_107992288.23-P1P2		
ACAT1_+_107992310.23-P1P2	1.4871227552789525	2.904810778361543
ACAT1_+_107992321.23-P1P2	-0.6919877609393286	-8.599730128650409
ACAT1_-_107992364.23-P1P2	-1.2637276204099024	2.57577993833019
ACAT1_-_107992733.23-P1P2	9.622701681250394	1.5115327185097067
ACAT2_+_160183436.23-P1P2		
ACAT2_+_160183505.23-P1P2	-1.4958230144753362	-10.403565382186414
